Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,98,15,1154.1,1318.4,2009.1,2009.6,2011.2,2010.7,721.8,612.1,656.2,641.2,49.0,51.0,54.1,53.9,71.0,62.8,76.3,74.7,252.8,183.7,69.2,19439.2,14172.2,5267.0,19812.4,14444.3,5368.1
General cargo,31,14,323.7,435.1,2006.8,2006.6,2008.3,2008.3,1428.1,1755.2,1504.8,1469.6,140.0,164.3,200.1,199.3,71.0,78.7,107.3,107.9,77.6,61.9,15.7,5944.3,4763.7,1180.6,6058.5,4855.2,1203.3
Chemical tanker,27,7,107.1,162.1,2008.5,2007.3,2008.0,2007.9,851.0,787.6,902.9,904.8,93.0,88.4,94.8,94.5,35.0,36.1,39.2,39.4,43.0,32.5,10.5,3285.9,2496.4,789.4,3348.9,2544.3,804.6
Oil tanker,24,1,138.8,180.4,2001.0,2001.0,2001.0,2001.0,939.7,939.7,931.9,931.9,95.0,95.0,103.7,103.7,35.0,35.0,37.7,37.7,58.0,46.3,11.7,4446.7,3565.4,881.2,4532.1,3633.9,898.2
Liquefied gas tanker,13,1,29.4,29.9,2011.0,2011.0,2011.0,2011.0,524.2,524.2,605.7,605.7,64.0,64.0,69.7,69.7,22.0,22.0,27.7,27.7,16.1,12.0,4.1,1234.6,923.7,310.8,1258.3,941.5,316.8
Vehicle,12,1,198.1,53.8,2010.0,2010.0,2010.0,2010.0,810.1,810.1,816.8,816.8,70.0,70.0,71.5,71.5,23.0,23.0,22.1,22.1,32.5,29.7,2.8,2500.5,2293.2,207.3,2548.5,2337.3,211.2
Ro-Ro,11,4,564.2,258.6,2002.5,2004.2,2005.4,2005.5,3798.0,3736.5,3746.7,3741.7,270.0,275.8,282.1,280.8,73.0,64.2,65.6,66.7,121.1,114.2,6.9,9260.2,8739.8,520.4,9438.0,8907.6,530.4
Service - other,8,4,29.9,15.1,1984.6,1995.2,2004.1,2004.4,506.8,864.4,1109.1,905.3,199.0,378.8,459.5,478.9,56.5,69.5,63.1,74.6,14.1,11.5,2.5,1063.5,872.3,191.3,1084.0,889.0,194.9
Offshore,5,3,78.2,73.8,2011.6,2012.0,2011.9,2012.2,1461.0,4287.9,4330.8,4707.2,607.0,977.3,1354.6,1423.3,40.0,394.3,730.6,784.4,35.9,28.9,7.0,2733.6,2200.5,533.1,2786.1,2242.7,543.3
Cruise,3,2,49.2,6.2,2015.3,2014.0,2014.4,2014.7,684.0,1018.9,938.9,963.5,58.0,83.2,106.7,110.0,24.0,21.5,18.9,19.8,11.6,10.0,1.6,880.7,758.3,122.4,897.6,772.9,124.7
Service - tug,3,3,2.3,1.1,2017.3,2017.3,2017.5,2017.4,2023.2,1777.0,1985.4,1922.8,223.0,181.3,240.0,232.8,376.0,1559.0,500.3,566.0,8.9,4.9,4.0,666.9,364.8,302.1,679.7,371.8,307.9
Bulk carrier,2,2,30.3,53.4,2011.5,2011.5,2011.7,2011.8,1066.8,1066.8,652.3,634.8,161.0,161.0,106.9,98.8,60.0,60.0,39.0,35.8,3.4,3.1,0.3,258.6,237.2,21.4,263.6,241.8,21.8
Other liquids tankers,1,1,45.9,59.3,1994.0,1994.0,1994.0,1994.0,3015.2,3015.2,3015.2,3015.2,175.0,175.0,175.0,175.0,19.0,19.0,19.0,19.0,12.3,12.2,0.1,950.2,940.1,10.1,968.5,958.2,10.3
