Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,98,15,1141.5,1287.6,2009.1,2009.6,2011.7,2011.3,556.1,541.5,649.1,626.2,40.5,43.7,61.3,60.4,22.0,24.5,29.6,29.1,213.3,185.6,27.7,16434.6,14328.5,2106.1,16750.1,14603.6,2146.5
General cargo,32,15,209.0,275.4,2006.9,2006.7,2008.2,2008.3,455.2,1385.1,948.1,911.2,41.5,136.7,225.8,220.2,25.5,161.8,124.3,116.9,54.0,42.7,11.4,4137.0,3283.4,853.6,4216.4,3346.4,870.0
Chemical tanker,26,7,110.5,167.1,2008.5,2007.3,2008.4,2008.3,808.1,1126.3,956.8,956.1,71.0,113.9,128.6,126.1,32.0,34.9,46.5,46.0,58.2,44.2,14.0,4442.0,3390.4,1051.6,4527.3,3455.5,1071.8
Oil tanker,23,1,142.5,185.3,2001.0,2001.0,2001.0,2001.0,977.8,977.8,998.7,998.7,154.0,154.0,153.8,153.8,42.0,42.0,45.1,45.1,66.8,52.0,14.9,5113.5,3991.3,1122.2,5211.7,4067.9,1143.8
Liquefied gas tanker,13,1,38.2,38.8,2011.0,2011.0,2011.0,2011.0,789.0,789.0,787.4,787.4,56.0,56.0,73.1,73.1,30.0,30.0,35.3,35.3,22.3,15.7,6.6,1707.5,1206.7,500.7,1740.3,1229.9,510.4
Vehicle,12,1,179.6,48.8,2010.0,2010.0,2010.0,2010.0,726.3,726.3,740.5,740.5,61.0,61.0,60.9,60.9,4.5,4.5,8.7,8.7,30.1,29.0,1.1,2321.4,2238.4,83.0,2366.0,2281.4,84.6
Ro-Ro,10,4,312.2,137.3,2003.3,2004.2,2001.5,2001.1,3155.9,2836.1,2207.1,2116.7,280.0,227.8,264.3,264.9,21.5,19.8,28.7,29.9,71.2,68.3,2.9,5413.7,5193.4,220.3,5517.6,5293.1,224.6
Service - other,8,4,25.1,14.6,1984.6,1995.2,2003.2,2000.4,586.8,753.9,932.6,878.6,130.0,185.9,320.8,660.8,96.5,79.6,65.2,125.1,22.5,20.2,2.3,1692.9,1518.8,174.1,1725.4,1548.0,177.4
Cruise,3,2,47.9,5.7,2015.3,2014.0,2011.5,2011.7,618.9,823.0,914.4,886.3,86.0,73.8,84.0,83.7,8.0,7.0,8.0,7.9,12.3,11.8,0.5,949.5,907.4,42.0,967.7,924.9,42.8
Offshore,2,2,4.6,3.7,2011.0,2011.0,2008.6,2008.5,821.9,821.9,709.5,706.0,114.5,114.5,68.9,67.0,38.0,38.0,34.8,34.6,3.0,2.8,0.2,224.5,209.1,15.4,228.8,213.1,15.7
Bulk carrier,2,2,22.4,40.5,2011.5,2011.5,2011.9,2011.9,502.0,502.0,481.8,480.9,45.0,45.0,45.0,45.0,51.5,51.5,12.7,10.9,1.8,1.5,0.3,135.7,115.2,20.5,138.3,117.4,20.9
Service - tug,2,2,0.5,0.3,2016.5,2016.5,2016.8,2016.9,528.3,528.3,595.7,642.6,407.5,407.5,198.1,167.2,42.0,42.0,65.4,68.8,2.1,2.0,0.1,155.8,151.3,4.5,158.8,154.2,4.6
Other liquids tankers,1,1,41.9,54.1,1994.0,1994.0,1994.0,1994.0,2753.9,2753.9,2753.9,2753.9,166.0,166.0,166.0,166.0,63.0,63.0,63.0,63.0,11.1,10.0,1.1,862.2,775.4,86.8,878.7,790.2,88.5
