Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Trinidad and Tobago,57,14,872.1,957.4,2011.7,2010.4,2012.4,2012.2,730.4,806.8,737.4,736.6,52.0,135.8,60.2,58.7,83.0,66.6,85.0,85.2,194.3,144.9,49.5,14965.2,11183.5,3781.7,15252.5,11398.2,3854.3
Guyana,47,9,191.4,258.6,2005.7,2006.2,2005.0,2004.9,420.7,407.6,419.3,418.0,40.0,40.4,44.5,44.2,35.0,36.7,38.4,38.9,51.6,34.3,17.3,3923.1,2626.6,1296.4,3998.4,2677.1,1321.3
Suriname,21,10,32.4,42.7,2000.0,2004.4,2008.1,2007.7,285.1,342.8,285.7,281.8,29.0,80.2,63.3,64.8,34.0,472.0,59.7,49.8,21.2,10.9,10.2,1599.2,829.6,769.6,1629.9,845.5,784.4
Martinique,19,7,121.8,150.8,2003.1,2006.6,2004.0,2003.3,878.1,926.0,917.9,888.9,93.0,199.1,178.5,126.5,39.0,43.7,42.3,41.9,42.7,33.4,9.3,3260.6,2564.4,696.2,3323.2,2613.7,709.6
Guadeloupe,17,3,131.2,111.6,2004.4,2007.3,2005.5,2003.1,957.9,922.8,936.8,957.5,94.0,85.0,95.1,103.3,35.0,35.7,34.8,36.2,42.2,34.8,7.4,3237.6,2681.5,556.1,3299.8,2733.0,566.8
Saint Lucia,17,4,62.9,70.1,2009.9,2009.5,2009.8,2009.6,826.2,807.5,835.4,849.5,93.0,83.6,91.6,93.4,33.0,24.5,27.8,32.2,21.0,16.0,5.0,1608.7,1230.8,377.9,1639.6,1254.5,385.1
Colombia,8,6,113.7,156.6,2009.6,2009.8,2009.5,2009.5,1627.3,1624.6,1632.5,1632.2,175.5,207.2,188.5,189.7,112.0,113.3,126.3,126.0,27.5,20.5,7.0,2099.7,1571.5,528.2,2140.0,1601.6,538.3
Brazil,5,5,43.7,61.7,2009.4,2009.4,2010.5,2010.1,585.1,635.3,584.6,574.6,45.0,48.2,45.1,44.7,47.0,35.6,28.2,23.0,7.8,5.5,2.3,595.3,420.0,175.3,606.7,428.0,178.7
France,5,3,194.6,76.3,1999.8,2001.3,2000.9,1999.4,3811.0,3723.4,3729.3,3751.3,257.0,270.8,269.0,263.3,94.0,71.3,74.4,83.4,48.9,46.0,2.9,3708.5,3491.4,217.1,3779.7,3558.4,221.3
Virgin Islands (U.S.),4,1,23.6,37.0,2007.0,2007.0,2007.0,2007.0,1119.7,1119.7,1134.5,1134.5,98.5,98.5,98.7,98.7,35.0,35.0,37.4,37.4,10.3,8.4,1.8,786.1,648.4,137.8,801.2,660.8,140.4
Grenada,4,1,61.6,16.7,2010.0,2010.0,2010.0,2010.0,764.8,764.8,762.1,762.1,65.5,65.5,65.9,65.9,17.0,17.0,19.4,19.4,9.8,9.0,0.8,757.8,696.1,61.6,772.3,709.5,62.8
Spain,3,3,58.2,78.0,2012.0,2012.0,2009.2,2009.1,2674.4,2842.6,2986.6,2994.1,278.0,268.3,262.0,261.7,109.0,123.7,161.2,162.7,15.1,12.6,2.5,1151.7,965.1,186.6,1173.8,983.6,190.2
"Bonaire, Sint Eustatius and Saba",3,1,16.3,25.5,2007.0,2007.0,2007.0,2007.0,1042.1,1042.1,1042.2,1042.2,91.0,91.0,94.3,94.3,46.0,46.0,57.1,57.1,7.3,5.8,1.5,561.9,445.8,116.0,572.7,454.4,118.3
