Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Tripoli,282,46,514.2,614.5,2006.3,2001.6,2005.9,2005.6,171.3,400.2,359.7,363.6,38.0,47.9,98.4,94.5,16.5,77.2,119.9,120.7,243.8,114.9,128.9,18510.4,8727.3,9783.1,18865.8,8894.9,9970.9
Bouri Oil Field,205,13,97.8,126.1,2007.2,2004.5,2007.2,2007.1,97.2,229.0,169.7,188.7,13.0,55.7,82.7,96.7,10.0,10.4,21.3,19.8,51.1,40.5,10.6,3874.5,3077.5,797.0,3948.9,3136.6,812.3
Misurata,125,61,510.2,663.1,2000.8,1999.2,2003.2,2003.2,204.8,672.8,355.2,354.2,18.0,104.7,251.2,176.6,38.0,103.7,193.4,139.2,165.1,96.3,68.8,12586.2,7353.1,5233.1,12827.9,7494.3,5333.6
Benghazi,81,43,624.4,565.3,2001.0,1999.8,2001.6,2000.5,360.7,504.5,481.9,501.0,28.0,64.5,83.7,106.6,35.0,95.7,76.8,96.2,126.8,78.9,47.9,9703.4,6055.3,3648.1,9889.7,6171.6,3718.1
Khoms,67,26,407.4,566.7,1998.2,1997.8,2000.3,2000.6,304.2,344.6,417.6,417.9,12.0,25.8,38.7,38.3,140.0,140.7,155.8,158.2,202.5,39.7,162.8,15525.4,3057.8,12467.6,15823.5,3116.5,12707.0
Mellitah,49,17,87.7,111.3,2005.6,2002.9,2005.9,2004.6,231.2,682.4,233.0,213.1,36.0,139.4,131.3,128.3,24.0,209.3,155.5,91.3,77.3,48.4,28.9,5838.0,3658.5,2179.5,5950.1,3728.7,2221.4
El Choms,38,28,191.3,185.0,1998.6,1998.2,1997.5,1998.8,312.2,399.2,326.3,278.7,115.0,132.8,135.7,137.2,80.5,118.7,129.3,131.5,100.6,59.1,41.5,7613.3,4478.4,3134.8,7759.4,4564.4,3195.0
Az Zawiyah,28,15,232.6,366.4,2004.9,2005.9,2004.4,2004.4,278.3,309.9,359.1,356.2,31.5,48.7,98.8,98.2,63.0,61.8,61.6,61.4,94.7,49.7,45.0,7329.6,3847.2,3482.4,7470.4,3921.1,3549.3
Tobruk,18,13,128.7,202.5,1993.6,1996.4,1997.5,1998.0,496.7,592.0,596.5,601.2,38.5,80.9,97.0,98.0,71.0,180.8,132.0,119.8,43.1,18.9,24.2,3287.2,1453.7,1833.5,3350.4,1481.6,1868.7
Al Burayqah,18,14,125.4,122.4,2005.7,2003.9,2005.3,2006.0,364.6,356.9,370.1,335.4,30.0,115.6,50.5,44.5,49.5,103.2,63.4,79.9,24.5,15.1,9.4,1877.6,1163.9,713.7,1913.7,1186.3,727.4
Zuwara,17,5,26.3,15.6,1986.9,1998.8,1987.4,1996.2,178.5,372.4,157.5,95.8,22.0,455.0,86.7,61.3,22.0,58.8,33.8,45.9,13.8,8.9,4.9,1046.9,673.0,374.0,1067.0,685.9,381.1
Marsa Brega,11,6,79.0,120.7,2009.1,2008.7,2007.3,2007.2,374.0,552.1,454.8,454.7,42.0,125.1,104.2,104.5,43.0,62.1,36.3,34.7,21.4,15.7,5.7,1652.9,1216.4,436.5,1684.6,1239.7,444.9
Tajoura,5,5,8.7,12.3,2000.6,2000.6,2003.8,2003.8,268.3,265.4,246.5,238.7,12.0,15.6,15.8,15.3,7.0,44.8,37.7,34.8,4.0,1.0,3.0,303.2,73.4,229.8,309.0,74.8,234.2
Soussah,3,3,27.7,52.1,2003.0,2003.0,2014.5,2015.1,296.3,284.7,296.0,295.5,23.0,21.7,26.7,27.0,16.0,27.7,19.3,18.5,2.3,1.7,0.6,180.5,131.6,48.8,183.9,134.2,49.8
Derna,3,3,37.2,59.2,1998.7,1998.7,2001.8,2001.7,382.9,557.9,808.5,799.8,37.0,39.0,66.4,66.1,28.0,115.7,261.2,259.4,6.3,2.8,3.5,488.1,215.7,272.4,497.5,219.8,277.6
Bardiyah,1,1,0.8,1.6,2003.0,2003.0,2003.0,2003.0,63.5,63.5,63.5,63.5,21.0,21.0,21.0,21.0,10.0,10.0,10.0,10.0,0.1,0.1,0.0,9.9,8.5,1.3,10.1,8.7,1.3
Sirte,1,1,0.5,0.3,2006.0,2006.0,2006.0,2006.0,286.5,286.5,286.5,286.5,36.0,36.0,36.0,36.0,193.0,193.0,193.0,193.0,0.5,0.1,0.3,35.2,9.3,25.9,35.8,9.5,26.4
As Sidr,1,1,33.0,63.8,2009.0,2009.0,2009.0,2009.0,405.0,405.0,405.0,405.0,30.0,30.0,30.0,30.0,26.0,26.0,26.0,26.0,2.1,1.5,0.5,159.1,117.8,41.4,162.2,120.0,42.2
Ras Lanuf,1,1,43.0,82.8,2009.0,2009.0,2009.0,2009.0,462.0,462.0,462.0,462.0,35.0,35.0,35.0,35.0,7.0,7.0,7.0,7.0,1.9,1.6,0.3,144.2,120.2,24.0,146.9,122.5,24.5
