Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Yongdang Dong,1961,597,9840.7,14062.2,2002.1,2002.1,2004.4,2003.8,592.6,1133.2,713.3,759.4,40.0,129.2,235.5,233.8,29.0,73.3,152.0,164.4,3396.9,2026.3,1370.6,258844.1,154703.3,104140.8,263813.9,157673.6,106140.3
Onsan,1832,759,18495.1,25369.1,2003.1,2005.4,2006.4,2006.0,575.5,955.9,833.4,843.3,43.0,94.2,260.5,263.4,25.0,60.7,112.6,127.4,3913.4,2497.5,1415.9,299872.7,191535.9,108336.8,305630.3,195213.4,110416.9
Pohang,1317,437,13048.0,20212.2,2001.9,2004.5,2006.6,2006.2,437.8,1136.6,895.2,868.0,26.0,84.4,344.1,222.9,22.0,66.6,110.5,90.1,2531.1,1770.9,760.2,192017.3,134028.4,57989.0,195704.0,136601.7,59102.3
Ulsan,1170,514,10875.2,14634.0,2002.2,2004.7,2007.1,2006.1,513.2,1294.7,699.7,761.7,35.0,106.4,206.6,170.5,26.0,55.6,123.3,124.2,2073.2,1304.1,769.2,158733.2,99728.5,59004.7,161780.9,101643.3,60137.6
Gamcheon/Busan,1164,457,6337.9,8543.1,1998.1,1999.4,2003.5,2002.9,515.3,1308.5,897.5,842.6,32.0,197.0,365.8,295.5,29.0,132.3,103.6,99.3,1915.0,1189.2,725.9,145591.9,90294.1,55297.8,148387.2,92027.7,56359.5
Gwangyang,1047,387,7591.1,8220.8,2006.9,2007.5,2011.3,2010.5,240.2,578.8,419.3,401.1,25.0,80.6,429.5,348.4,17.0,43.9,38.1,39.8,1380.4,1058.2,322.2,103083.1,78500.9,24582.3,105062.3,80008.1,25054.2
Jisepo,1022,479,10824.5,13302.9,2001.1,2002.2,2003.8,2003.4,661.0,1109.8,890.3,945.5,38.0,100.7,180.4,182.5,24.0,60.5,109.8,107.0,2108.6,1299.7,809.0,158871.2,97222.8,61648.4,161921.6,99089.5,62832.0
Busan,1020,402,4032.0,6446.6,1998.9,2000.2,2002.9,2002.8,465.3,1281.3,839.9,891.8,53.0,232.1,411.2,413.8,24.0,130.5,148.5,140.7,1807.9,1220.3,587.7,136987.5,92606.7,44380.9,139617.7,94384.7,45233.0
Daesan,623,358,10511.4,16392.3,2003.9,2005.7,2007.3,2007.4,721.5,1172.3,1175.3,1190.3,58.0,114.5,440.5,503.7,43.0,86.1,105.8,107.1,1855.6,1185.5,670.1,142523.6,91311.8,51211.8,145260.1,93065.0,52195.1
Yosu,599,427,9255.7,12491.2,2004.6,2006.1,2006.4,2006.7,459.1,832.1,875.0,868.6,33.0,74.5,257.8,278.2,25.0,58.2,118.1,93.7,1704.0,1078.3,625.7,130500.7,82457.2,48043.5,133006.3,84040.4,48965.9
Donghae,530,134,3455.6,5949.8,1997.9,2002.5,2003.3,2003.3,427.4,730.1,726.1,735.2,38.0,84.5,138.5,142.0,15.5,67.4,76.5,76.2,577.3,461.9,115.4,44210.5,35386.3,8824.2,45059.4,36065.8,8993.6
Busan New Port,521,316,5679.6,5474.2,2002.0,2003.0,2004.6,2004.3,362.4,1092.9,593.6,516.0,33.0,142.3,433.8,386.3,13.0,85.3,87.1,85.0,1032.4,772.0,260.4,75726.7,56294.9,19431.8,77180.7,57375.8,19804.9
Tongyeong,492,338,4485.0,6735.8,2003.0,2002.9,2006.2,2005.6,450.3,1086.9,930.3,993.1,25.0,95.7,341.9,404.3,18.0,48.2,92.6,97.3,865.5,602.0,263.6,65666.6,45699.8,19966.8,66927.4,46577.2,20350.2
Jeju,475,146,5017.7,3868.9,1998.2,2000.7,1998.2,2000.1,478.2,1790.3,1765.8,1272.7,41.0,180.2,489.1,472.4,19.0,103.8,254.1,247.6,2272.8,1554.8,717.9,174654.5,119441.6,55212.9,178007.9,121734.9,56273.0
Mokpo,410,248,6281.6,6389.1,2002.0,2003.4,2004.0,2005.3,536.2,1184.9,921.9,848.1,40.0,118.8,606.7,395.7,20.0,59.5,72.9,80.6,1748.0,1331.8,416.3,134505.2,102521.7,31983.5,137087.7,104490.1,32597.6
Incheon,387,160,5053.5,7883.9,2003.2,2006.3,2008.0,2008.1,533.5,1144.3,832.2,829.3,48.0,115.1,239.0,230.5,26.0,66.8,70.8,72.6,826.4,647.3,179.2,63443.4,49721.2,13722.2,64661.6,50675.9,13985.7
