Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Yongdang Dong,9209,1601,120801.1,154135.6,2003.4,2004.5,2007.6,2007.7,581.3,1536.3,1092.6,1109.6,50.0,155.1,237.6,237.0,11.0,54.0,42.4,45.9,21772.2,19653.2,2119.0,1673101.6,1512428.9,160672.7,1705225.1,1541467.5,163757.6
Onsan,5430,2371,314270.7,499614.5,2007.0,2007.4,2008.9,2009.0,732.7,2101.5,2907.1,2974.7,74.0,201.7,445.8,443.6,23.0,53.2,137.9,156.4,29351.0,25839.6,3511.4,2264650.1,1995517.4,269132.8,2308131.4,2033831.3,274300.1
Busan New Port,3619,1235,571515.5,610422.3,2007.6,2007.8,2009.8,2009.8,677.5,2261.4,2307.3,2308.9,59.0,155.4,349.2,345.9,20.0,32.2,48.1,47.5,63670.1,61609.8,2060.3,4892044.3,4734427.3,157617.1,4985971.6,4825328.3,160643.3
Busan,3255,1334,82566.3,125053.1,2001.7,2004.2,2008.8,2009.4,467.2,2129.9,1820.9,2522.8,44.0,241.3,517.8,492.9,16.0,93.6,104.9,110.4,10385.1,8999.3,1385.8,793787.3,688609.2,105178.1,809028.0,701830.5,107197.5
Gamcheon/Busan,2988,1528,85532.2,117528.7,1998.0,2000.8,2007.6,2008.6,676.8,2399.4,2653.8,2771.9,71.0,311.7,532.3,524.1,29.0,94.9,89.4,93.7,13874.2,12111.4,1762.8,1055943.9,922874.0,133069.9,1076218.1,940593.2,135624.8
Ulsan,1618,978,78953.4,104848.9,2008.4,2007.3,2010.4,2011.1,742.0,2053.0,2797.3,2726.4,73.0,199.2,487.3,492.7,25.0,59.0,67.9,79.3,7976.4,7128.5,847.9,613381.9,548632.3,64749.6,625158.8,559166.0,65992.8
Jisepo,1550,1039,272622.6,280381.5,2006.6,2006.6,2008.4,2008.6,864.2,2300.8,3021.9,2977.0,82.0,172.1,477.3,465.1,23.0,49.3,139.6,123.5,32716.7,29686.4,3030.2,2363969.7,2165205.3,198764.5,2409358.0,2206777.2,202580.8
Daesan,1449,887,114709.1,191455.3,2007.9,2007.9,2010.2,2010.5,716.2,2005.1,2997.1,3126.9,78.0,189.6,497.5,515.4,30.0,69.6,106.4,108.7,9731.0,8365.6,1365.4,740736.4,635845.1,104891.3,754958.5,648053.3,106905.2
Gwangyang,1249,581,53190.2,76692.6,2010.0,2008.7,2013.1,2013.1,632.6,1685.3,1967.6,2083.2,70.0,161.5,347.8,344.5,25.0,61.0,94.7,103.6,4820.4,4236.3,584.1,366442.4,321742.0,44700.4,373478.1,327919.4,45558.6
Yosu,1131,909,126711.1,197833.9,2008.9,2009.0,2011.6,2011.2,1111.8,2536.0,3312.6,3299.0,118.0,239.1,516.9,511.4,32.0,67.6,80.8,83.2,10728.9,9660.0,1068.9,803129.5,721046.1,82083.4,818549.6,734890.2,83659.4
