Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,3897,678,50007.5,87388.6,2000.3,2008.5,2004.8,2004.8,532.6,811.5,911.8,916.8,35.0,75.7,216.1,223.1,23.0,67.6,89.6,90.0,6036.6,4173.0,1863.6,463555.8,320504.9,143051.0,472456.1,326658.6,145797.6
General cargo,3027,615,12162.8,17950.9,2001.5,2002.0,2001.5,2001.3,474.2,675.5,910.1,901.9,36.0,65.7,291.2,297.6,26.0,56.3,155.1,150.3,2959.9,1927.1,1032.8,225565.5,146914.0,78651.6,229896.4,149734.7,80161.7
Chemical tanker,2888,515,18437.8,29292.7,2004.4,2007.5,2007.4,2007.3,581.7,703.4,998.1,1005.8,49.0,62.9,250.0,254.9,23.0,44.2,110.6,111.7,5826.8,3838.7,1988.0,446531.7,294783.0,151748.6,455105.1,300442.9,154662.2
Oil tanker,2390,293,18442.3,33316.4,2001.7,2007.9,2007.0,2007.0,581.3,739.7,769.6,761.9,49.0,92.2,249.6,247.0,26.0,65.8,105.3,104.7,5223.4,3258.3,1965.1,398211.7,248450.0,149761.7,405857.3,253220.3,152637.1
Container,1447,370,14886.5,17523.2,2009.3,2007.6,2009.3,2009.1,170.7,352.0,386.2,385.4,20.0,52.9,308.7,294.1,12.0,24.2,149.9,158.6,2480.2,1882.5,597.7,191118.0,145245.3,45872.7,194787.5,148034.0,46753.5
Ro-Ro,1001,21,5396.5,5360.2,2001.0,1999.3,1999.0,1999.2,268.6,1109.5,878.7,792.6,17.0,55.0,357.6,346.9,16.0,34.6,185.5,171.6,2659.9,1715.8,944.1,205788.8,132744.1,73044.7,209739.9,135292.8,74447.2
Service - tug,735,88,418.0,286.7,1994.9,1998.8,2000.5,1999.4,680.4,2032.2,1711.9,1734.9,119.0,499.0,1077.1,952.4,55.0,271.7,391.2,398.7,1203.1,841.8,361.3,90390.7,63257.9,27132.9,92126.2,64472.4,27653.8
Liquefied gas tanker,724,164,15855.2,13374.6,2000.2,2008.8,2007.6,2007.9,525.2,900.9,1186.1,1151.4,46.0,102.9,593.9,576.6,27.0,46.0,96.2,97.4,2724.5,1897.4,827.2,195046.2,132995.7,62050.5,198791.1,135549.2,63241.9
Vehicle,428,181,15528.1,5310.4,2008.2,2007.5,2008.3,2007.8,424.7,706.2,604.1,614.4,35.0,53.0,71.6,72.1,11.0,20.7,27.6,27.5,883.6,699.9,183.6,68433.6,54212.0,14221.6,69747.5,55252.8,14494.7
Miscellaneous - fishing,281,92,767.0,492.2,1996.3,1993.0,2000.7,1998.5,1141.7,2874.8,2790.8,2864.4,96.0,504.9,1192.5,1304.6,99.0,325.4,533.4,625.9,744.5,513.5,231.0,55962.0,38592.7,17369.3,57036.4,39333.7,17702.8
Service - other,256,36,790.9,628.3,1999.8,1999.6,1997.4,1993.1,471.0,1451.4,817.8,766.8,35.5,163.4,451.8,596.2,55.0,172.6,379.9,416.1,524.8,325.8,199.0,39644.8,24648.3,14996.5,40406.0,25121.6,15284.4
Ferry-RoPax,74,16,5477.1,2164.9,1997.0,2000.6,1996.7,1997.2,2777.4,12421.0,5398.8,5764.8,113.5,716.8,1137.2,1095.6,42.0,332.0,255.5,210.0,3103.9,2272.7,831.2,237781.5,174045.9,63735.6,242346.9,177387.6,64959.3
Refrigerated bulk,67,43,530.3,616.8,1991.0,1990.8,1989.3,1989.1,515.1,1128.8,1492.8,1548.5,40.0,145.7,354.0,353.1,24.0,73.8,189.5,193.6,314.2,199.5,114.8,23818.7,15145.9,8672.9,24276.0,15436.7,8839.4
Offshore,61,9,2213.1,1769.0,2002.5,2010.1,2017.6,2017.5,690.8,2542.9,997.9,1010.5,71.0,224.7,289.6,281.6,32.0,198.2,301.5,304.7,136.1,86.0,50.1,9387.7,5752.4,3635.3,9567.9,5862.9,3705.1
Ferry-pax only,56,10,169.3,25.9,2003.3,2001.1,2014.7,2014.6,1288.4,2374.3,7273.5,5094.7,31.5,103.4,4074.0,3223.0,20.0,53.0,80.5,121.2,213.1,175.4,37.7,16001.3,13172.9,2828.5,16308.6,13425.8,2882.8
Cruise,4,4,62.1,5.8,2000.5,2000.5,2002.6,2002.2,181.1,191.8,195.2,195.7,16.0,16.0,17.3,17.0,10.5,15.5,10.2,9.9,16.5,12.9,3.6,1277.5,997.4,280.1,1302.1,1016.6,285.5
