Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,593,53,1701.1,2185.3,2001.0,2003.9,1999.1,1999.3,422.2,416.1,495.0,492.8,49.0,65.9,161.5,170.3,45.0,62.6,113.3,121.6,494.5,377.6,117.0,37765.3,28936.3,8829.0,38490.4,29491.9,8998.5
Ro-Ro,563,20,360.3,467.0,2008.0,2006.0,2004.6,2004.2,294.1,653.7,616.4,608.2,49.0,120.2,431.9,428.1,37.0,95.7,291.6,293.9,1126.3,638.4,487.9,84564.9,47933.0,36631.9,86188.5,48853.3,37335.2
Container,508,37,3124.1,3856.7,2008.8,2008.7,2010.1,2009.9,451.4,577.5,508.2,504.2,45.0,58.2,69.5,68.1,36.5,37.4,45.6,45.0,839.1,634.9,204.2,64284.7,48836.3,15448.4,65519.0,49774.0,15745.0
Chemical tanker,179,34,1525.6,2433.9,2008.4,2012.3,2010.7,2010.9,563.1,509.6,631.0,625.8,67.0,54.9,165.7,164.0,28.0,53.2,101.1,100.5,363.4,237.7,125.7,27853.0,18284.7,9568.3,28387.8,18635.8,9752.0
Oil tanker,135,15,441.8,675.6,2006.5,2008.3,2008.0,2007.9,436.4,444.1,433.9,411.0,48.0,44.2,80.7,74.6,29.0,75.3,63.3,65.9,200.3,102.9,97.4,15250.8,7787.6,7463.3,15543.6,7937.1,7606.6
Bulk carrier,134,46,882.8,1355.2,2000.7,1999.9,2002.0,2001.5,440.9,545.6,528.2,507.7,68.5,154.3,293.9,283.3,70.5,140.0,472.6,440.6,222.3,135.7,86.6,16822.1,10309.9,6512.2,17145.1,10507.9,6637.2
Service - tug,96,11,40.2,25.4,2008.7,2002.5,2009.1,2007.1,388.4,665.5,510.5,542.9,208.0,598.5,655.2,613.7,44.0,91.0,174.3,222.9,71.8,61.8,10.1,5393.4,4636.8,756.5,5496.9,4725.8,771.1
Ferry-pax only,80,1,57.7,20.6,2014.0,2014.0,2014.0,2014.0,475.4,475.4,625.6,625.6,53.5,53.5,78.6,78.6,18.0,18.0,33.6,33.6,43.5,38.6,4.8,3262.5,2901.4,361.1,3325.2,2957.1,368.1
Cruise,80,16,539.7,68.2,1997.3,1997.6,1995.9,1995.7,293.6,357.4,316.4,319.6,39.0,42.9,31.6,32.3,9.0,21.0,14.3,12.6,251.7,164.9,86.8,19171.8,12608.1,6563.8,19539.9,12850.2,6689.8
Miscellaneous - fishing,51,18,348.9,275.2,2001.5,2000.4,2000.3,2001.0,4633.4,5241.7,6094.6,6011.6,645.0,716.1,1381.2,1426.4,99.0,70.0,473.0,437.0,280.0,230.5,49.5,21025.0,17307.3,3717.7,21428.6,17639.6,3789.1
Offshore,44,2,29.9,36.2,2013.2,2013.5,2013.1,2013.0,508.7,798.2,697.5,673.5,62.5,124.5,231.9,204.2,50.0,39.5,207.6,210.5,59.8,42.8,17.0,4490.8,3214.5,1276.3,4577.0,3276.2,1300.8
Service - other,26,4,43.8,17.4,2010.0,2005.8,2009.6,2007.4,302.7,747.4,662.2,451.1,105.0,158.2,341.4,294.6,7.0,49.6,30.6,41.5,22.2,20.7,1.6,1673.1,1555.0,118.1,1705.2,1584.9,120.3
Liquefied gas tanker,17,2,43.9,45.6,2011.7,2013.0,2011.8,2011.9,786.4,803.1,676.4,677.0,67.0,64.5,63.3,63.2,39.0,54.5,56.3,57.3,31.0,17.9,13.1,2361.9,1378.8,983.1,2407.2,1405.3,1002.0
Refrigerated bulk,15,7,23.9,29.9,1984.2,1985.1,1985.5,1985.5,820.0,789.8,738.8,721.5,153.0,197.6,215.9,203.5,256.0,489.1,524.5,512.0,105.2,37.5,67.7,7908.5,2822.7,5085.8,8060.3,2876.9,5183.4
Vehicle,12,9,437.1,153.0,2005.0,2003.4,2005.0,2004.9,808.0,853.3,856.5,857.5,62.0,62.6,73.4,73.8,13.0,19.1,17.9,18.0,31.4,29.2,2.1,2430.5,2265.4,165.1,2477.2,2308.9,168.3
Ferry-RoPax,6,1,1.2,0.4,1999.0,1999.0,1999.0,1999.0,290.4,290.4,413.9,413.9,54.0,54.0,132.4,132.4,116.5,116.5,400.2,400.2,10.6,1.5,9.2,798.1,108.9,689.2,813.4,111.0,702.4
Yacht,4,1,5.6,3.0,1986.0,1986.0,1986.0,1986.0,355.4,355.4,798.7,798.7,42.0,42.0,2406.8,2406.8,45.5,45.5,112.6,112.6,1.6,1.6,0.0,119.7,119.0,0.7,122.0,121.3,0.7
