Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,7370,1340,11234.9,15755.8,1989.6,1992.8,1997.6,1998.1,202.9,399.4,386.6,403.5,36.0,61.5,307.3,330.3,41.0,47.0,63.6,63.2,3070.7,2268.2,802.4,233181.9,172866.8,60315.2,237659.0,176185.8,61473.2
Bulk carrier,2172,1242,55235.4,96787.3,2004.3,2007.6,2009.4,2009.4,416.5,1049.8,1019.0,1032.6,59.0,146.0,357.7,365.4,10.0,47.5,75.6,74.6,5536.7,5098.8,437.8,427964.9,394385.9,33579.0,436181.8,401958.1,34223.7
Chemical tanker,1046,293,4684.9,7403.1,2006.0,2006.7,2007.1,2007.0,221.8,581.0,604.4,628.6,36.0,72.5,240.8,246.7,19.0,28.6,40.2,40.1,1431.8,950.2,481.5,109132.4,72810.6,36321.8,111227.7,74208.6,37019.2
Oil tanker,806,166,1448.3,2272.8,2000.9,1997.9,2003.3,2003.8,187.3,453.4,345.1,367.5,28.0,70.7,222.5,215.6,16.0,75.4,88.3,86.8,750.1,370.1,380.1,56510.8,27941.2,28569.6,57595.8,28477.7,29118.2
Ferry-RoPax,546,13,3263.0,1280.2,1989.6,1990.6,1985.6,1984.5,329.4,368.9,414.5,400.7,28.0,39.6,53.0,55.6,19.0,49.7,26.9,28.6,931.2,706.9,224.2,70953.1,54109.2,16843.9,72315.4,55148.1,17167.3
Container,545,115,6690.9,8117.7,2003.9,2004.8,2006.6,2006.4,368.2,425.1,369.7,372.5,31.0,39.0,47.2,47.2,22.0,24.2,23.7,23.7,1078.2,889.6,188.6,83109.7,68700.6,14409.1,84705.4,70019.6,14685.7
Service - tug,233,69,32.0,16.6,1989.9,1991.7,1992.2,1993.9,207.1,422.7,351.9,359.6,68.0,387.6,586.3,582.9,36.0,196.7,322.5,360.0,114.8,81.2,33.6,8619.7,6094.3,2525.4,8785.2,6211.3,2573.9
Liquefied gas tanker,215,34,1244.1,1403.6,2002.5,2003.4,2009.1,2009.2,369.9,396.1,449.0,449.7,32.0,42.2,86.0,86.5,37.0,34.0,38.0,37.9,369.7,206.0,163.7,28173.1,15858.9,12314.2,28714.1,16163.4,12550.7
Miscellaneous - fishing,163,30,136.0,104.5,1984.0,1985.5,1989.5,1990.4,302.4,400.0,867.9,913.0,45.0,284.2,695.6,591.7,20.0,143.8,100.7,103.6,148.3,117.9,30.5,11175.4,8873.4,2302.1,11390.0,9043.7,2346.3
Ro-Ro,81,12,479.9,328.4,1980.5,1981.8,1978.6,1978.7,330.0,725.0,466.5,468.6,43.0,101.5,86.7,92.7,30.0,224.5,72.2,73.6,156.0,94.8,61.2,11905.6,7266.3,4639.3,12134.2,7405.8,4728.4
Vehicle,54,6,338.4,101.5,1992.3,1996.5,2002.6,1999.5,311.8,304.9,361.8,361.3,35.5,36.8,91.5,149.5,26.5,30.8,46.4,50.7,128.4,96.4,31.9,9698.3,7292.1,2406.2,9884.5,7432.2,2452.3
Service - other,21,18,69.0,101.1,1985.5,1986.6,1990.2,1989.3,258.0,1236.5,1587.9,2155.0,149.0,1527.0,4346.8,4738.1,139.0,346.2,446.3,426.0,84.9,70.8,14.1,6376.4,5318.0,1058.4,6498.8,5420.1,1078.7
Offshore,17,5,19.8,21.8,1985.5,1989.0,1993.8,1992.1,145.9,2764.4,1687.7,1459.6,109.0,463.2,455.8,495.4,21.0,1352.2,3899.8,3197.6,40.5,22.1,18.4,3037.1,1655.9,1381.2,3095.4,1687.7,1407.8
Cruise,14,3,36.7,8.7,1974.7,1985.0,1971.4,1971.6,374.9,360.3,379.2,382.7,62.0,85.3,210.5,208.8,34.0,32.7,133.8,129.0,76.9,50.8,26.1,5800.9,3840.5,1960.4,5912.3,3914.2,1998.1
Refrigerated bulk,9,8,34.2,38.0,1991.7,1991.0,1991.2,1991.2,400.2,652.7,700.2,715.9,37.0,51.8,67.3,68.0,11.0,34.7,41.0,43.2,16.6,11.4,5.2,1264.4,870.3,394.1,1288.7,887.0,401.7
Ferry-pax only,6,4,1.1,0.2,1989.2,1990.2,1988.3,1988.3,197.5,1341.0,1211.7,1221.9,49.0,202.2,584.0,582.8,74.0,162.5,65.2,65.8,3.2,2.3,0.9,238.8,170.6,68.1,243.3,173.9,69.4
