Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,2123,621,1360.1,1907.6,1986.5,1991.8,1991.7,1992.3,109.4,147.8,155.8,153.1,14.0,36.8,79.2,77.1,46.0,92.0,89.8,89.4,730.2,307.6,422.6,55084.0,23342.1,31741.9,56141.6,23790.3,32351.3
Bulk carrier,803,366,1463.7,2366.5,2000.7,2002.9,2004.0,2004.0,81.4,111.5,104.8,103.7,10.0,24.7,40.2,39.9,80.0,101.4,100.1,101.1,354.7,148.8,205.9,27079.5,11445.8,15633.6,27599.4,11665.6,15933.8
Service - tug,647,47,77.4,36.6,2002.4,1992.5,2001.1,1998.4,152.1,768.2,334.8,342.7,43.0,1176.6,1077.9,1107.3,22.0,200.5,238.7,278.6,247.8,183.5,64.3,18616.1,13784.1,4832.1,18973.6,14048.7,4924.8
Chemical tanker,144,83,282.0,437.1,2003.6,2006.9,2000.0,2000.0,84.0,202.2,180.1,176.2,11.0,28.4,246.8,238.6,61.0,84.0,179.9,178.1,291.3,78.7,212.7,22211.8,5951.5,16260.3,22638.3,6065.8,16572.5
Service - other,117,16,97.3,99.6,1990.0,1988.3,1991.2,1988.7,218.8,855.1,624.5,632.5,26.0,1147.6,1052.6,950.4,39.0,492.5,225.4,185.2,167.8,112.6,55.2,12602.3,8454.8,4147.5,12844.3,8617.2,4227.1
Liquefied gas tanker,63,2,31.6,31.6,1986.7,1989.0,1988.8,1989.4,191.1,240.3,260.5,272.1,30.0,33.5,122.2,123.6,32.0,32.2,80.5,72.7,105.3,35.3,70.0,7906.4,2649.8,5256.6,8058.2,2700.7,5357.5
Oil tanker,62,30,141.9,231.1,1992.1,1998.6,1988.7,1988.1,327.9,417.8,632.0,723.6,48.5,157.4,1527.1,1656.2,21.5,42.2,349.5,380.1,119.6,90.9,28.7,8984.6,6826.8,2157.8,9157.1,6957.9,2199.2
Container,52,5,41.3,51.5,1996.2,1996.0,1998.3,1998.2,91.4,127.3,168.6,164.3,12.0,23.1,61.4,62.3,21.0,44.7,39.3,37.7,30.7,16.1,14.6,2319.6,1222.4,1097.3,2364.2,1245.8,1118.3
Miscellaneous - fishing,37,11,7.4,4.4,1985.3,1983.8,1981.5,1982.9,162.4,603.1,316.1,195.0,25.0,88.3,174.3,129.1,59.0,261.1,817.7,752.4,20.3,5.1,15.2,1523.4,384.0,1139.4,1552.7,391.4,1161.3
Cruise,32,2,101.4,11.8,1978.6,1977.5,1978.9,1978.7,370.6,484.0,671.0,662.7,61.5,349.2,194.0,236.8,5.5,5.8,133.3,123.3,110.5,69.3,41.3,8312.2,5211.6,3100.5,8471.8,5311.7,3160.1
Offshore,6,2,0.4,0.7,1980.0,1978.0,1981.9,1982.1,171.1,178.1,188.7,197.0,33.0,41.2,588.2,600.9,74.5,82.0,144.9,146.0,6.8,5.1,1.7,514.2,383.0,131.2,524.0,390.3,133.7
Ferry-pax only,3,2,1.6,0.2,1987.0,1986.5,1986.2,1986.5,1481.5,1488.9,1487.2,1488.9,56.0,152.0,186.7,162.6,458.0,2024.0,2505.9,2129.7,7.8,0.6,7.2,586.3,47.6,538.7,597.6,48.5,549.1
Refrigerated bulk,1,1,0.3,0.3,1997.0,1997.0,1997.0,1997.0,74.0,74.0,74.0,74.0,8.0,8.0,8.0,8.0,80.0,80.0,80.0,80.0,1.2,0.1,1.1,91.1,10.4,80.6,92.8,10.6,82.2
