Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,2353,514,176363.6,194941.3,2005.2,2006.2,2008.4,2008.3,665.4,1267.1,1507.2,1482.5,55.0,86.0,183.9,182.3,28.0,33.1,30.9,30.8,20336.6,18870.2,1466.4,1573545.4,1460658.0,112887.3,1603757.4,1488702.7,115054.8
General cargo,2125,933,19645.9,26553.8,1993.9,1997.4,2000.2,2000.4,846.7,1420.0,1573.6,1539.6,105.0,170.4,295.6,294.7,94.0,113.6,136.4,141.0,4726.2,3854.2,872.0,361195.9,295524.5,65671.4,368130.9,301198.6,66932.3
Bulk carrier,1640,1141,118733.4,210516.6,2005.9,2008.0,2009.8,2009.8,1324.0,2432.0,2492.2,2524.7,152.0,246.0,432.0,437.7,112.0,143.9,146.8,145.4,10884.5,9765.4,1119.1,841390.8,755124.1,86266.7,857545.5,769622.5,87923.0
Oil tanker,951,563,174770.4,329025.1,2007.0,2008.6,2007.7,2007.7,1299.9,2201.0,2203.6,2221.1,148.0,226.7,308.3,308.0,42.0,59.7,55.4,55.0,13403.8,10601.3,2802.5,1037672.2,820767.7,216904.5,1057595.5,836526.4,221069.0
Chemical tanker,811,513,21788.4,35185.3,2007.5,2008.1,2008.8,2008.8,842.2,1512.6,1446.9,1452.8,100.0,174.9,342.0,343.2,51.0,66.6,72.5,72.8,4290.6,3395.6,895.0,331115.7,262239.3,68876.4,337473.1,267274.3,70198.8
Ferry-RoPax,427,14,2167.5,652.3,1991.7,1989.4,1985.4,1986.6,175.6,1705.0,353.4,332.0,10.0,262.9,548.3,532.6,29.0,198.6,147.1,91.6,936.8,455.0,481.8,71146.5,34686.9,36459.6,72512.5,35352.9,37159.6
Ro-Ro,415,46,4799.0,3084.2,1994.8,1998.5,2006.3,2005.9,262.8,1248.0,774.8,815.1,14.0,214.5,212.8,196.8,30.0,66.3,56.5,61.6,991.4,615.4,376.0,76279.1,47400.6,28878.5,77743.6,48310.7,29433.0
Liquefied gas tanker,399,171,33773.7,30648.3,2007.6,2009.1,2011.0,2010.6,1078.9,2558.3,2553.6,2422.3,132.0,211.8,316.9,314.4,46.0,75.9,73.7,81.6,4693.1,3999.2,693.9,318757.5,266678.7,52078.9,324877.7,271798.9,53078.8
Vehicle,211,105,17101.2,5860.5,2005.3,2007.5,2007.8,2007.3,631.6,2176.1,1632.0,1627.1,49.0,150.3,256.8,258.1,9.0,13.9,13.5,13.8,1086.9,1039.2,47.7,84150.5,80470.0,3680.5,85766.2,82015.0,3751.2
Service - tug,105,59,166.4,137.1,2001.5,2000.1,2006.0,2004.6,837.7,1669.5,1287.2,1247.5,166.0,477.9,575.6,565.7,41.0,230.0,261.3,270.2,174.2,150.9,23.3,13091.3,11343.5,1747.7,13342.6,11561.3,1781.3
Offshore,81,47,1294.2,1248.2,2006.1,2007.2,2008.9,2008.4,625.3,1778.4,1926.5,1842.5,147.0,438.1,326.3,328.3,72.0,295.8,514.0,557.3,375.0,291.6,83.4,28393.9,22110.7,6283.2,28939.1,22535.2,6403.8
Service - other,49,31,450.7,585.1,2002.2,2001.6,2002.2,2002.3,921.3,1989.6,2233.5,2624.4,127.0,342.7,452.1,357.9,80.0,350.0,221.8,242.1,181.4,147.8,33.6,13740.5,11210.3,2530.2,14004.3,11425.5,2578.8
Cruise,43,27,2071.7,242.2,1999.2,1999.4,2003.1,2002.3,517.4,1219.8,1378.6,1371.6,62.0,80.8,131.2,133.4,18.0,18.1,11.8,12.6,505.5,456.5,49.0,39082.8,35305.4,3777.3,39833.2,35983.3,3849.9
Refrigerated bulk,13,9,109.3,114.2,1991.2,1990.8,1991.0,1990.9,751.6,971.9,1128.8,1127.5,71.0,84.0,458.1,442.3,98.0,102.1,69.7,72.8,80.6,56.2,24.4,6091.0,4261.7,1829.3,6207.9,4343.5,1864.4
Ferry-pax only,2,2,245.2,51.1,1992.0,1992.0,1966.4,1966.1,21220.6,21220.6,34228.7,38197.9,1758.5,1758.5,3393.7,3408.3,529.5,529.5,1015.1,1019.4,82.4,77.2,5.2,6332.9,5939.2,393.7,6454.5,6053.2,401.3
Miscellaneous - other,1,1,27.5,45.8,1972.0,1972.0,1972.0,1972.0,1338.5,1338.5,1338.5,1338.5,135.0,135.0,135.0,135.0,132.0,132.0,132.0,132.0,5.1,4.8,0.4,396.0,367.8,28.2,403.6,374.8,28.8
Other liquids tankers,1,1,155.5,215.9,2014.0,2014.0,2014.0,2014.0,5506.7,5506.7,5506.7,5506.7,481.0,481.0,481.0,481.0,90.0,90.0,90.0,90.0,14.6,13.0,1.6,1131.4,1008.8,122.6,1153.1,1028.1,125.0
