Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Miscellaneous - fishing,124,15,161.4,182.7,1979.0,1981.1,1983.3,1983.6,968.7,2264.4,2104.3,2306.1,124.5,230.9,820.2,778.3,23.5,101.0,290.7,438.0,99.3,73.0,26.3,7457.6,5485.0,1972.6,7600.8,5590.3,2010.5
Bulk carrier,63,51,318.0,556.1,2010.0,2010.5,2010.2,2010.2,144.4,164.0,159.4,159.1,14.0,45.6,49.7,49.1,125.0,127.2,130.6,130.4,57.3,28.2,29.1,4435.0,2180.7,2254.3,4520.2,2222.5,2297.6
Service - tug,56,20,201.1,172.0,2006.3,2004.6,2008.5,2008.3,973.8,1245.0,1304.2,1345.2,427.5,881.0,1150.5,1138.5,36.5,84.2,178.0,175.3,126.7,102.5,24.2,9513.1,7697.4,1815.7,9695.8,7845.2,1850.6
Container,31,17,131.0,168.7,2005.5,2005.8,2005.6,2005.5,152.0,157.3,154.9,155.8,18.0,33.5,41.2,41.6,23.0,30.4,32.9,32.7,35.7,22.7,13.0,2752.2,1749.6,1002.6,2805.0,1783.2,1021.8
Offshore,26,13,114.5,107.9,2012.7,2012.7,2013.9,2013.8,489.3,687.3,917.3,915.5,208.5,297.2,1453.1,1490.4,61.5,98.5,339.8,296.5,68.7,51.5,17.2,5164.3,3872.2,1292.1,5263.5,3946.6,1316.9
Refrigerated bulk,21,5,14.9,19.9,1985.1,1992.0,1986.8,1986.2,173.4,170.4,204.4,207.2,32.0,49.6,140.1,145.0,151.0,121.0,183.7,188.9,85.6,32.1,53.5,6434.3,2415.6,4018.7,6557.8,2461.9,4095.9
General cargo,15,14,29.6,40.7,2008.6,2008.7,2011.5,2011.7,151.1,173.7,170.1,170.0,16.0,36.3,41.7,42.9,103.0,87.5,104.9,110.4,12.9,5.5,7.4,979.3,421.0,558.3,998.1,429.1,569.0
Ro-Ro,13,6,124.5,54.3,2013.8,2012.8,2014.0,2014.0,134.5,135.3,136.1,136.1,12.0,16.0,18.3,18.3,21.0,28.2,25.6,25.6,13.0,8.2,4.7,1004.8,639.0,365.9,1024.1,651.2,372.9
Oil tanker,9,3,31.2,48.9,2005.9,2005.7,2004.7,2004.5,335.7,324.4,308.0,293.2,53.0,47.3,135.4,125.5,33.0,54.0,35.5,35.9,10.1,6.0,4.1,766.6,454.8,311.9,781.3,463.5,317.8
Service - other,7,4,35.2,32.1,2008.7,2004.0,2013.5,2014.2,592.6,907.4,1464.8,1881.3,310.0,1451.8,899.7,657.5,78.0,328.2,225.0,175.9,21.6,17.0,4.6,1624.2,1275.2,349.0,1655.3,1299.7,355.7
Chemical tanker,5,4,6.7,10.4,1997.2,2000.2,1995.0,1994.1,233.6,242.5,257.4,261.0,49.0,57.4,88.8,91.5,60.0,51.9,64.7,65.0,6.4,3.2,3.3,483.9,239.7,244.1,493.2,244.3,248.8
Cruise,4,2,12.0,1.6,1996.0,1996.0,1996.5,1996.9,135.4,149.4,151.3,154.7,12.5,13.0,13.4,13.6,22.5,23.0,25.4,28.0,7.2,3.1,4.0,554.3,241.6,312.7,564.9,246.2,318.7
Vehicle,2,2,25.5,7.8,2011.0,2011.0,2010.1,2009.8,191.0,191.0,185.1,188.1,22.5,22.5,24.4,25.0,7.5,7.5,6.7,6.4,1.1,0.9,0.2,83.2,70.6,12.6,84.8,72.0,12.8
Liquefied gas tanker,1,1,9.9,11.9,2009.0,2009.0,2009.0,2009.0,272.8,272.8,272.8,272.8,73.0,73.0,73.0,73.0,85.0,85.0,85.0,85.0,3.4,1.2,2.3,267.2,89.5,177.7,272.3,91.2,181.2
