Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Offshore,1365,74,1360.5,1287.1,2012.2,2011.1,2012.7,2013.0,221.5,1158.2,410.7,388.9,52.0,234.0,566.0,500.3,26.0,118.6,255.4,264.3,1745.0,1256.3,488.7,131094.8,94399.6,36695.2,133611.8,96212.0,37399.8
Service - tug,838,58,698.1,590.7,2008.1,2009.0,2010.1,2009.7,203.7,534.6,395.7,370.5,57.5,290.0,736.4,709.7,19.0,52.4,133.6,125.2,400.7,335.7,65.0,30108.7,25226.2,4882.5,30686.8,25710.5,4976.3
Miscellaneous - fishing,412,46,611.6,332.2,1998.6,1998.5,1992.6,1992.8,613.9,1466.1,1692.8,1809.2,132.0,332.7,578.5,658.2,19.0,63.3,293.5,269.9,452.6,330.5,122.0,34107.9,24900.4,9207.5,34762.8,25378.5,9384.3
Chemical tanker,344,14,866.8,1343.0,2008.7,2008.4,2008.9,2008.9,249.0,240.2,300.4,301.2,40.0,67.2,151.4,154.0,46.0,57.9,71.1,71.6,719.7,418.9,300.9,54589.0,31868.7,22720.3,55637.1,32480.5,23156.5
Oil tanker,288,49,1719.1,3148.3,2005.9,2010.6,2009.5,2009.6,210.5,206.9,168.0,165.9,41.5,99.7,85.1,83.5,41.0,53.0,55.1,53.5,964.1,505.2,458.9,73655.8,38568.4,35087.3,75069.9,39308.9,35761.0
Container,126,26,554.4,729.4,2002.2,2002.8,2000.9,2000.8,253.2,277.2,299.7,301.9,28.0,27.8,39.0,39.3,51.0,41.7,57.1,57.3,202.9,110.3,92.6,15431.0,8446.3,6984.7,15727.3,8608.5,7118.8
Service - other,105,11,145.5,115.5,1992.2,2001.0,1999.7,1999.3,452.9,1111.8,1175.3,1248.1,67.0,225.2,749.2,745.9,36.0,46.2,115.4,117.4,126.4,96.0,30.4,9497.4,7212.8,2284.6,9679.8,7351.3,2328.5
General cargo,99,39,230.3,300.3,2005.2,2006.8,2005.1,2005.2,237.8,272.7,273.9,271.3,24.0,42.7,112.6,107.8,38.0,67.6,74.6,73.1,73.7,50.9,22.8,5611.0,3901.2,1709.8,5718.7,3976.1,1742.6
Liquefied gas tanker,99,7,396.8,443.3,2002.8,2009.6,2007.9,2008.0,282.8,197.4,245.8,244.7,44.0,45.7,93.4,94.5,61.0,61.5,216.9,215.3,439.0,170.7,268.4,33514.9,12979.5,20535.4,34158.4,13228.7,20929.7
Ro-Ro,82,5,25.2,34.0,2002.0,2003.6,2001.4,2001.6,214.1,268.9,461.3,508.6,29.5,42.0,131.0,122.5,116.0,147.7,429.8,435.0,208.3,35.6,172.7,15643.0,2674.9,12968.0,15943.3,2726.3,13217.0
Refrigerated bulk,19,15,39.4,46.6,1988.7,1990.0,1991.1,1991.3,473.8,436.9,418.0,431.4,54.0,97.8,126.2,128.5,68.0,154.3,105.5,106.3,79.6,31.1,48.5,5990.3,2348.4,3641.9,6105.3,2393.5,3711.8
Bulk carrier,7,7,39.1,65.3,2007.1,2007.1,2007.7,2007.6,254.2,238.8,244.3,244.5,23.0,72.6,75.1,76.2,131.0,170.3,152.4,152.3,8.2,4.2,4.0,630.2,327.0,303.3,642.3,333.2,309.1
Cruise,2,1,7.9,0.7,1994.0,1994.0,1994.0,1994.0,232.7,232.7,232.7,232.7,18.5,18.5,18.5,18.5,7.0,7.0,7.0,7.0,3.1,2.5,0.6,240.7,195.3,45.4,245.3,199.0,46.2
Ferry-pax only,1,1,0.0,0.0,1988.0,1988.0,1988.0,1988.0,95.9,95.9,95.9,95.9,22.0,22.0,22.0,22.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.7,3.3,0.3,3.8,3.4,0.4
