Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,340,48,13916.1,1322.4,2007.4,2006.0,2007.2,2006.9,240.3,375.0,400.5,415.3,16.0,27.5,40.3,41.3,9.0,10.7,18.0,20.0,2941.9,2473.7,468.2,227102.0,191017.6,36084.4,231462.4,194685.1,36777.2
Container,134,24,2176.8,2654.6,2005.4,2008.5,2010.6,2010.4,798.7,928.9,975.8,980.0,63.5,85.4,103.5,103.7,25.0,43.7,60.6,61.4,346.2,274.7,71.5,26731.9,21236.3,5495.6,27245.2,21644.0,5601.1
General cargo,88,26,382.3,491.6,2007.3,2007.5,2008.5,2008.5,743.4,1440.1,975.5,1034.4,56.5,146.9,165.1,172.3,18.5,41.7,44.1,43.9,95.7,89.1,6.5,7286.0,6793.8,492.1,7425.9,6924.3,501.6
Chemical tanker,33,9,263.9,404.9,2006.6,2007.0,2006.5,2006.5,1052.7,1000.5,946.7,942.2,94.0,105.4,126.3,125.9,33.0,101.4,89.9,89.5,103.9,71.2,32.8,7896.4,5428.6,2467.8,8048.0,5532.8,2515.2
Service - tug,32,3,2.3,2.4,1968.7,1975.0,1971.6,1972.7,61.9,845.7,363.0,421.8,9.0,380.0,330.0,377.4,10.0,174.7,175.3,234.0,8.0,6.4,1.6,597.8,478.8,119.1,609.3,488.0,121.4
Bulk carrier,6,6,370.5,668.5,2006.5,2006.5,2006.9,2007.1,1388.0,2627.0,3205.6,3326.1,420.0,416.5,518.6,513.8,57.0,62.3,101.8,103.5,32.8,31.2,1.6,2520.8,2403.0,117.8,2569.2,2449.1,120.1
Oil tanker,4,2,31.5,49.0,2007.5,2007.0,2007.3,2007.3,1068.2,1341.1,1195.1,1183.8,84.5,211.0,172.9,167.9,16.5,194.0,143.2,135.9,16.1,10.1,6.0,1221.9,771.4,450.4,1245.3,786.2,459.1
Ferry-RoPax,2,1,5.3,0.4,2007.0,2007.0,2007.0,2007.0,227.1,227.1,227.1,227.1,37.5,37.5,37.6,37.6,10.0,10.0,10.7,10.7,1.8,1.6,0.3,140.6,119.7,20.9,143.3,122.0,21.3
Offshore,1,1,9.4,4.4,2011.0,2011.0,2011.0,2011.0,748.6,748.6,748.6,748.6,312.0,312.0,312.0,312.0,194.0,194.0,194.0,194.0,1.6,1.1,0.5,117.1,80.3,36.8,119.4,81.9,37.5
Ro-Ro,1,1,110.1,62.9,2002.0,2002.0,2002.0,2002.0,4739.0,4739.0,4739.0,4739.0,294.0,294.0,294.0,294.0,8.0,8.0,8.0,8.0,28.9,28.8,0.1,2237.7,2228.5,9.1,2280.6,2271.3,9.3
