Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,627,550,79655.6,144234.0,2010.9,2010.9,2011.1,2011.0,3489.8,3207.7,3449.0,3491.4,337.0,334.0,538.7,544.9,32.0,75.0,69.9,71.1,6145.6,5909.4,236.2,475840.6,457590.7,18249.8,484976.7,466376.5,18600.2
Container,262,54,8743.3,11013.7,1999.8,2002.1,2001.7,2001.5,1164.5,1596.4,1443.1,1429.6,92.0,142.8,199.3,198.0,45.5,43.9,50.2,50.0,1506.1,1319.3,186.8,116254.8,101998.3,14256.5,118486.9,103956.7,14530.2
General cargo,140,88,3757.0,5541.9,2006.2,2007.7,2011.5,2011.8,652.9,1916.5,1836.7,1870.3,90.0,218.8,395.4,399.4,41.5,84.5,71.3,72.7,515.3,460.4,54.9,39555.4,35427.7,4127.7,40314.8,36107.9,4207.0
Chemical tanker,136,100,8208.8,13276.9,2009.0,2009.6,2009.5,2009.7,2865.1,2572.6,2568.6,2567.0,240.0,247.4,336.2,336.2,47.0,61.6,63.2,63.0,1094.8,952.9,141.9,84677.0,73724.7,10952.3,86302.8,75140.2,11162.5
Oil tanker,73,53,5576.8,9423.8,2005.2,2007.0,2007.3,2007.3,3177.5,2778.1,2703.1,2728.1,291.0,291.2,355.8,356.4,36.0,62.5,61.4,60.7,765.6,687.1,78.6,59261.9,53198.2,6063.7,60399.7,54219.6,6180.1
Vehicle,55,44,4178.3,1341.6,2008.2,2008.3,2007.6,2007.2,1373.0,1345.9,1294.0,1291.6,80.0,90.7,176.6,178.5,25.0,32.7,22.7,22.4,262.5,244.2,18.2,20331.3,18917.7,1413.5,20721.6,19280.9,1440.7
Cruise,44,10,1634.0,174.3,1998.1,1993.1,2002.8,2002.6,338.7,738.9,649.2,640.1,37.5,52.0,73.9,73.2,9.0,20.0,16.6,16.8,380.5,327.5,53.0,29460.8,25361.9,4098.8,30026.4,25848.9,4177.5
Liquefied gas tanker,35,11,1598.9,1844.1,2011.2,2011.5,2013.7,2013.6,1136.1,2182.5,1789.4,1786.7,95.0,194.0,444.4,445.7,47.0,80.4,47.5,46.9,226.8,175.7,51.1,17444.0,13575.3,3868.7,17778.9,13836.0,3943.0
Refrigerated bulk,27,21,404.0,446.5,1992.7,1992.9,1993.2,1993.2,1666.4,1991.1,2012.6,2063.2,165.0,197.3,281.9,284.1,129.0,174.3,137.2,137.1,254.5,171.1,83.3,19289.4,13030.6,6258.7,19659.7,13280.8,6378.9
Miscellaneous - fishing,19,11,33.1,25.4,1980.3,1987.6,1991.6,1991.0,2239.4,6401.2,3241.6,4468.4,699.0,1249.5,2100.4,2370.8,128.0,361.0,381.0,314.2,70.5,56.3,14.2,5296.3,4230.7,1065.6,5398.0,4311.9,1086.1
Ro-Ro,18,4,1152.9,1054.8,2012.1,2012.0,2012.1,2012.1,1394.9,1293.4,1262.8,1265.1,96.5,94.1,97.4,97.5,70.0,67.4,91.1,91.0,134.6,112.2,22.4,10426.5,8694.2,1732.3,10626.7,8861.2,1765.6
Service - other,11,9,71.2,91.1,1999.4,1998.6,1999.3,1999.3,1241.9,2150.3,3378.1,4358.2,353.0,1222.5,1513.9,1471.0,59.0,130.1,71.3,70.9,44.6,42.3,2.3,3350.9,3175.3,175.6,3415.3,3236.3,179.0
Service - tug,7,3,2.4,2.9,2003.9,1998.3,1999.0,1992.0,501.0,1246.6,735.7,803.5,114.0,881.0,738.2,626.6,75.0,64.0,108.4,85.8,5.1,4.4,0.7,386.3,332.1,54.2,393.7,338.5,55.2
Offshore,5,4,12.8,12.6,2000.2,1996.2,2005.9,2003.9,1235.0,2834.2,2501.5,2550.8,800.0,726.8,1181.7,1009.3,417.0,685.2,330.3,372.7,32.3,23.8,8.5,2426.6,1788.2,638.5,2473.2,1822.5,650.7
