Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Rajaei,1170,478,40340.1,54452.5,2002.1,2004.4,2007.6,2007.6,426.5,1261.7,1296.6,1349.7,55.0,142.8,261.0,272.3,58.0,113.5,100.1,107.4,5690.1,4722.9,967.1,439219.1,365169.1,74050.1,447652.1,372180.3,75471.8
Lengeh,809,140,3190.4,5645.8,2003.7,2001.2,2007.9,2008.7,117.9,805.5,1085.9,1091.2,14.0,85.6,238.0,234.0,20.0,50.3,18.4,15.8,612.0,310.6,301.4,46482.3,23789.7,22692.7,47374.8,24246.4,23128.4
Asaluyeh,738,250,11818.5,18283.1,2002.0,2000.6,2002.3,2003.0,323.5,953.1,1087.1,1040.0,47.0,141.8,283.5,276.8,63.5,116.3,101.4,102.9,1607.6,1077.0,530.6,123518.7,82921.8,40596.9,125890.3,84513.9,41376.4
Lavan,693,277,14632.8,25957.4,1999.9,2001.2,2006.1,2006.3,207.4,982.9,1583.4,1601.5,35.0,154.4,344.6,345.9,33.0,67.1,51.2,45.4,1440.3,1073.8,366.5,110753.7,82781.9,27971.8,112880.2,84371.3,28508.9
Amirabad,685,137,1720.9,2067.6,1994.6,1990.8,1997.1,1997.2,606.9,711.4,711.5,708.2,87.0,123.1,220.4,216.7,64.0,70.1,106.7,106.7,457.8,338.3,119.5,34518.2,25531.9,8986.4,35181.0,26022.1,9158.9
Kish,669,313,21631.1,37751.2,2000.6,2001.9,2006.4,2006.5,237.7,1053.4,1724.0,1757.8,36.0,139.1,371.3,385.5,30.0,59.7,21.1,19.9,1710.0,1402.3,307.7,130472.5,107166.2,23306.2,132977.5,109223.8,23753.7
Queshm,598,321,19290.3,29343.9,2001.6,2002.7,2005.4,2005.3,496.1,1205.1,1410.9,1373.9,45.5,149.3,377.4,388.7,41.0,100.9,147.0,150.2,2652.8,1948.1,704.7,204564.7,150430.2,54134.5,208492.3,153318.4,55173.9
Tombak,533,124,6299.9,11521.8,2005.5,1999.0,2005.0,2005.3,141.8,1179.2,1294.5,1301.4,22.0,204.2,392.1,369.4,43.0,113.4,71.5,68.2,880.7,495.7,385.0,67450.4,38122.0,29328.4,68745.4,38853.9,29891.5
Abu Musa,513,330,7553.0,11922.1,2004.1,2003.9,2006.1,2006.3,195.5,619.8,743.3,738.2,27.0,119.0,220.9,225.8,10.0,41.2,65.5,70.3,925.4,772.3,153.2,70841.1,59064.6,11776.5,72201.2,60198.6,12002.6
Sirri,512,271,6907.9,12190.8,2002.7,2001.6,2007.8,2008.1,201.3,740.7,1232.8,1295.1,40.0,126.1,374.8,388.4,10.5,67.7,50.4,49.8,657.9,482.1,175.7,50598.8,37116.5,13482.3,51570.3,37829.1,13741.2
Bushehr,506,133,4159.3,7101.8,1993.0,1995.2,1999.7,1999.8,386.1,1030.5,1222.0,1378.2,35.0,124.3,358.2,384.4,99.0,169.6,194.6,207.0,845.1,504.7,340.4,64510.9,38747.5,25763.4,65749.5,39491.4,26258.1
Bandar Abbas,457,100,893.1,1199.4,2002.0,2001.5,2002.6,2005.9,167.2,559.0,558.9,798.7,18.0,80.9,220.6,269.5,42.0,261.2,193.6,222.2,581.4,184.5,396.9,43930.5,14025.5,29905.0,44773.9,14294.8,30479.2
Khark,397,238,44158.3,84702.4,2004.5,2004.4,2007.4,2007.4,536.0,1301.6,1347.0,1359.2,52.0,140.0,294.3,296.7,34.0,60.7,53.5,53.4,3451.1,2378.2,1073.0,267209.8,184142.4,83067.4,272340.2,187677.9,84662.3
Anzali,384,121,689.6,892.9,1987.9,1988.7,1990.6,1990.3,610.8,616.6,723.6,727.7,97.0,126.1,186.8,189.4,63.5,83.2,258.5,287.3,197.8,139.4,58.4,14896.3,10505.6,4390.7,15182.3,10707.3,4475.0
Soroosh,373,249,9708.5,17751.6,2003.6,2003.9,2009.8,2010.0,217.2,733.7,764.4,783.2,50.0,136.0,362.2,371.7,13.0,39.9,33.1,32.9,870.9,765.0,105.9,67220.1,59077.2,8142.9,68510.8,60211.5,8299.3
Bandar Khomeyni,366,183,9041.9,15511.0,1998.6,2001.6,2005.1,2005.3,500.6,1440.2,1589.0,1644.8,44.0,151.2,461.4,478.3,58.0,125.3,152.8,156.5,1150.4,775.5,374.9,88721.9,59918.2,28803.7,90425.4,61068.6,29356.7
Bandar Imam Khomeini,297,213,16559.3,30072.8,2003.8,2004.7,2008.4,2008.4,645.9,1671.2,2060.3,2124.6,78.0,228.5,666.4,676.8,128.0,137.6,186.8,188.0,1739.5,1415.4,324.1,134596.4,109571.9,25024.5,137180.6,111675.6,25505.0
Hengam,272,196,8606.2,14521.8,2000.9,2001.8,2005.1,2005.1,381.4,1104.1,1528.8,1546.1,46.0,129.6,419.6,445.9,12.0,52.3,51.7,49.3,805.6,672.6,133.0,61890.4,51737.0,10153.4,63078.7,52730.3,10348.4
Jask,187,148,14185.3,23587.2,2004.0,2004.0,2004.8,2004.9,1182.8,2465.2,2364.3,2382.4,118.0,242.2,354.0,340.9,7.0,24.3,39.8,42.9,1368.7,1257.0,111.8,105699.2,97060.5,8638.8,107728.6,98924.0,8804.6
Khorramshahr,159,44,99.7,146.4,1992.4,1991.2,1991.3,1990.3,188.8,1178.0,405.0,487.8,14.0,136.5,753.9,1547.4,56.0,205.2,222.0,293.1,73.5,38.7,34.8,5527.2,2912.2,2615.0,5633.3,2968.1,2665.2
Nowshahr,149,73,271.3,329.3,1989.5,1989.6,1991.4,1991.5,675.1,715.3,678.9,684.5,106.0,129.0,159.3,163.4,43.0,56.1,60.3,60.0,70.9,58.0,12.9,5348.0,4377.6,970.5,5450.7,4461.6,989.1
Abadan,128,57,107.3,146.5,1993.5,1992.9,1994.8,1996.4,324.4,669.3,446.8,413.0,23.0,133.7,161.0,168.7,62.0,434.8,339.6,321.4,140.8,57.4,83.4,10605.0,4341.5,6263.5,10808.6,4424.9,6383.7
Chabahar,93,56,4543.8,8325.4,2002.3,2002.2,2006.5,2006.7,626.9,1377.6,2183.6,2325.9,55.0,175.5,368.3,374.8,33.0,69.5,31.1,28.1,357.8,306.9,50.8,27561.7,23696.8,3864.9,28090.8,24151.7,3939.1
Astara,75,23,62.6,84.8,1987.5,1988.4,1991.5,1990.9,341.5,530.6,510.7,497.9,36.0,119.2,155.8,151.6,109.0,107.4,112.6,117.4,21.5,13.3,8.2,1616.4,997.3,619.1,1647.4,1016.4,631.0
Bandar Khomeini,58,41,1075.8,1595.8,2000.7,2002.0,2002.8,2002.6,630.3,865.7,839.4,782.5,70.5,110.5,168.3,161.0,43.0,87.9,81.4,90.4,180.3,131.7,48.6,13884.5,10164.4,3720.2,14151.1,10359.5,3791.6
Mahshahr,49,21,1215.4,2227.7,2005.0,2005.6,2000.4,2000.4,256.8,410.9,789.2,799.5,17.0,45.0,242.0,243.6,57.0,63.1,61.0,61.0,177.2,87.9,89.4,13721.0,6803.1,6917.9,13984.4,6933.7,7050.7
Hormuz,32,31,2838.2,5311.8,2003.2,2003.3,2007.4,2007.4,756.3,1296.0,1530.4,1542.3,78.0,141.3,378.6,384.4,86.0,140.5,296.5,295.3,250.5,198.3,52.2,19379.2,15348.6,4030.6,19751.3,15643.3,4108.0
Ganaveh,25,13,89.8,151.4,1997.8,1997.5,1997.9,1998.2,393.3,846.1,797.9,800.7,51.0,117.9,177.5,151.7,67.0,129.8,24.9,21.9,22.3,13.2,9.1,1687.9,1002.0,685.9,1720.3,1021.2,699.1
Qeshm Island,21,14,48.7,78.8,2007.4,2007.8,2009.1,2009.0,350.2,1922.8,560.2,572.5,40.0,338.4,860.5,841.7,68.0,192.5,338.8,333.5,77.3,42.3,35.0,5816.2,3186.0,2630.2,5927.9,3247.2,2680.7
Imam Hasan,10,9,129.0,252.4,2000.5,2003.3,2006.7,2006.8,478.0,456.4,519.6,520.2,84.5,495.6,119.7,114.5,43.0,669.1,35.6,34.3,39.0,23.1,15.9,2947.3,1749.3,1198.0,3003.9,1782.9,1221.0
Bandar Neka,2,2,5.4,6.9,1995.5,1995.5,2002.8,2002.1,650.6,650.6,713.2,704.1,113.5,113.5,99.8,101.1,15.0,15.0,16.3,16.2,0.9,0.8,0.1,71.1,60.6,10.6,72.5,61.7,10.8
Bandar Amirabad,2,2,8.6,10.8,2002.0,2002.0,2004.5,2004.3,942.0,942.0,1004.0,996.1,87.0,87.0,71.6,72.7,94.0,94.0,131.3,128.6,1.7,0.8,0.9,129.5,59.8,69.7,132.0,60.9,71.0
Bandar Mashur,1,1,9.9,17.0,2016.0,2016.0,2016.0,2016.0,155.0,155.0,155.0,155.0,15.0,15.0,15.0,15.0,23.0,23.0,23.0,23.0,1.6,0.6,1.0,123.7,46.4,77.3,126.0,47.2,78.8
