Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Port Bouet,606,68,365.9,382.8,2008.4,1999.5,1999.8,2000.1,51.9,1145.3,169.3,161.0,10.0,217.6,234.8,204.0,7.0,91.3,142.7,121.7,204.3,131.3,73.0,15439.1,9932.5,5506.7,15735.6,10123.2,5612.4
Baobab Marine Terminal,376,29,111.6,112.7,2011.0,2002.2,2009.7,2009.0,49.8,634.1,122.2,124.4,9.0,240.2,576.0,587.6,19.0,93.4,183.6,185.6,98.6,64.5,34.1,7423.4,4858.1,2565.3,7565.9,4951.4,2614.6
Abidjan,168,74,745.2,845.8,1999.1,2000.4,1997.5,1998.8,194.0,2556.6,345.3,298.2,28.5,367.1,766.7,601.0,31.0,125.6,279.8,238.3,359.8,273.5,86.3,27165.5,20643.2,6522.3,27687.1,21039.6,6647.5
Espoir Marine Terminal,164,24,74.5,66.0,2010.0,2005.5,2006.1,2007.1,55.9,110.9,94.4,96.3,18.5,42.5,71.4,73.7,4.0,39.9,32.2,35.6,26.7,19.6,7.0,2025.3,1486.2,539.1,2064.2,1514.7,549.5
San Pedro,87,44,529.5,776.4,2003.3,2005.5,2008.1,2008.0,202.8,644.7,246.1,246.9,55.0,353.6,352.1,395.8,79.0,191.1,258.7,213.8,204.6,130.0,74.6,15705.4,10014.9,5690.5,16007.0,10207.2,5799.8
Grand Lahou,42,7,13.2,14.3,1997.1,2004.1,2010.9,2011.1,96.6,305.1,130.2,119.5,27.0,56.6,59.5,51.2,30.0,120.6,38.7,36.8,14.3,7.8,6.5,1074.5,584.5,490.0,1095.1,595.7,499.4
Sassandra,7,7,14.7,14.8,1996.4,1996.4,1999.6,2001.2,262.3,823.9,193.8,160.7,22.0,128.0,198.0,129.8,35.0,40.9,39.3,37.1,6.2,4.6,1.7,470.6,343.3,127.4,479.7,349.8,129.8
Assinie-Mafia,6,6,18.3,23.8,1999.7,1999.7,2001.1,2000.8,224.4,254.9,176.0,181.7,22.0,30.8,17.2,16.7,47.0,47.0,48.3,49.3,5.0,2.6,2.5,386.2,196.8,189.4,393.6,200.6,193.0
Fresco,4,4,15.7,10.4,2008.0,2008.0,2010.7,2008.9,742.6,1476.0,419.4,257.3,76.0,87.5,141.3,109.1,25.0,143.0,46.3,43.8,4.8,2.5,2.3,364.2,187.7,176.5,371.2,191.3,179.9
Jacqueville,4,4,1.8,1.6,1997.2,1997.2,2003.4,2003.7,244.4,240.4,199.3,178.4,22.5,48.2,23.9,23.1,22.5,30.8,28.5,30.5,1.9,0.8,1.1,145.0,58.9,86.1,147.8,60.0,87.8
Dabou,2,2,86.2,40.2,1995.5,1995.5,1990.1,1990.4,10292.9,10292.9,7645.6,4047.3,1098.5,1098.5,2075.7,2036.9,64.0,64.0,117.5,115.4,3.9,3.7,0.2,290.5,274.3,16.2,296.1,279.6,16.5
