Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Port Bouet,595,59,575.6,588.7,2009.0,2002.4,2002.0,2003.5,52.8,2954.2,334.9,313.8,12.0,452.9,1008.6,882.1,14.0,189.1,531.9,503.9,367.4,275.6,91.8,27654.2,20730.6,6923.6,28185.2,21128.6,7056.5
Baobab Marine Terminal,373,25,78.9,75.3,2011.0,1999.8,2004.2,2005.2,50.5,1106.3,101.4,94.4,9.0,151.9,197.2,179.9,6.0,134.8,94.8,79.7,63.5,38.4,25.2,4772.5,2882.1,1890.4,4864.1,2937.5,1926.7
Abidjan,165,84,661.4,808.3,2001.3,2001.7,2002.1,2004.4,187.3,1049.9,265.2,248.6,72.0,318.9,623.7,542.1,69.0,129.3,140.5,132.6,278.8,175.2,103.6,21271.5,13404.8,7866.8,21680.0,13662.1,8017.8
Espoir Marine Terminal,156,18,45.7,44.2,2010.5,2008.9,2007.9,2008.6,44.6,883.9,72.4,66.3,9.0,198.1,262.3,209.3,5.0,23.4,30.2,32.2,37.3,33.5,3.9,2831.6,2540.2,291.3,2885.9,2589.0,296.9
San Pedro,115,48,541.7,708.4,1998.1,2001.8,1999.9,2000.0,188.2,275.2,198.3,197.8,19.0,149.1,38.5,35.3,34.0,78.3,45.3,46.3,147.3,87.2,60.1,11271.3,6694.5,4576.8,11487.7,6823.1,4664.6
Grand Lahou,43,7,13.9,15.1,1997.0,2004.1,2011.1,2011.1,93.4,476.0,136.6,125.8,12.0,105.6,63.0,41.4,19.0,11.4,11.2,10.1,9.9,6.1,3.7,742.4,462.5,279.9,756.7,471.4,285.3
Sassandra,6,6,5.1,3.5,1994.7,1994.7,2001.0,2000.3,341.5,689.1,575.8,414.0,35.0,96.0,285.5,246.0,11.0,13.3,8.2,9.2,3.7,3.6,0.1,279.8,269.4,10.5,285.2,274.5,10.7
Fresco,3,3,1.0,1.1,1991.3,1991.3,2001.0,1998.7,115.7,167.5,171.2,161.0,17.0,16.3,17.8,17.6,7.0,11.7,14.9,13.9,0.2,0.1,0.0,11.8,8.1,3.6,12.0,8.3,3.7
Jacqueville,3,3,43.4,35.4,2000.0,2000.0,1998.5,1999.1,6256.4,6830.3,9816.6,9713.3,944.0,791.3,1255.6,1243.0,10.0,12.7,13.1,13.4,19.7,19.5,0.2,1479.1,1463.5,15.6,1507.5,1491.6,15.9
Assinie-Mafia,3,3,5.0,5.7,2008.3,2008.3,2012.4,2012.4,201.5,259.8,199.7,200.0,16.0,15.3,10.7,10.8,19.0,16.3,9.1,9.2,0.8,0.4,0.4,59.4,30.2,29.2,60.5,30.7,29.8
Kosagi,2,2,1.4,1.5,2001.0,2001.0,2001.0,2001.0,771.6,771.6,191.8,181.1,150.0,150.0,111.9,105.4,12.0,12.0,10.0,9.6,1.1,1.0,0.1,79.8,73.7,6.1,81.3,75.1,6.3
Dabou,1,1,2.9,1.3,1990.0,1990.0,1990.0,1990.0,705.4,705.4,705.4,705.4,17.0,17.0,17.0,17.0,43.0,43.0,43.0,43.0,0.1,0.0,0.1,7.3,2.1,5.2,7.5,2.1,5.3
Gbabam,1,1,0.7,0.5,1991.0,1991.0,1991.0,1991.0,309.4,309.4,309.4,309.4,16.0,16.0,16.0,16.0,9.0,9.0,9.0,9.0,0.4,0.2,0.1,29.1,18.6,10.5,29.7,19.0,10.7
