Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Martinique,84,30,63.1,35.9,1995.1,1991.5,2002.4,2001.4,72.0,162.4,93.9,76.1,10.0,30.2,25.4,30.7,10.0,10.7,12.8,9.1,27.6,18.6,8.9,2090.9,1413.8,677.1,2131.1,1441.0,690.1
Guadeloupe,77,37,137.8,36.8,1996.4,1996.6,2007.1,2004.0,92.0,623.7,107.3,104.3,13.0,61.2,148.0,80.7,9.0,22.9,16.9,23.9,45.5,32.5,12.9,3455.7,2469.1,986.7,3522.1,2516.5,1005.6
Saint Kitts and Nevis,65,17,81.6,90.4,1998.1,1995.9,2002.8,2002.7,152.4,150.5,162.5,164.7,16.0,19.1,16.6,15.7,9.0,33.2,10.3,10.0,36.4,25.0,11.5,2794.3,1922.4,871.9,2847.9,1959.3,888.7
Saint Lucia,59,29,85.6,53.8,2000.9,2000.6,2008.9,2005.6,115.1,139.4,143.2,122.3,12.0,15.8,21.5,13.5,7.0,15.9,9.3,10.8,30.8,19.7,11.2,2351.8,1506.2,845.6,2397.0,1535.1,861.8
Sint Maarten (Dutch part),58,16,208.4,119.9,2007.9,2004.1,2006.4,2007.7,205.8,215.4,213.0,221.4,20.0,21.8,18.2,22.6,15.5,14.3,12.4,19.1,61.3,48.6,12.7,4723.4,3754.8,968.5,4814.1,3826.9,987.1
Saint Vincent and the Grenadines,43,20,81.9,38.6,1991.4,1997.2,2011.0,2005.6,152.4,157.0,169.4,158.4,15.0,61.5,29.2,59.0,8.0,20.0,10.4,13.2,34.6,27.2,7.3,2633.6,2077.3,556.3,2684.2,2117.2,567.0
Antigua and Barbuda,41,17,93.6,35.9,2003.1,2004.9,2007.1,2005.4,136.0,160.9,182.9,154.0,14.0,21.8,26.0,20.6,8.0,12.6,8.5,11.9,21.0,15.8,5.3,1619.4,1213.0,406.4,1650.4,1236.3,414.2
Barbados,19,12,211.2,27.4,1997.2,2002.3,2011.7,2007.7,199.4,194.9,189.0,190.7,16.0,17.0,15.9,15.7,9.0,8.9,8.8,9.0,46.3,35.3,11.0,3575.0,2731.1,843.9,3643.7,2783.6,860.1
Virgin Islands (U.S.),18,7,226.7,42.7,2002.2,2008.0,1996.8,2003.3,277.3,308.3,282.8,290.5,18.5,26.4,18.4,24.1,8.0,18.5,8.5,16.0,64.4,55.4,9.0,4943.0,4245.6,697.4,5037.9,4327.1,710.8
Trinidad and Tobago,14,9,17.5,25.5,1988.2,1996.6,2001.5,2002.8,319.8,299.3,327.1,330.0,34.0,64.7,35.7,36.1,13.5,29.6,14.9,15.6,7.8,5.7,2.1,592.9,432.3,160.7,604.3,440.6,163.8
