Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,137,62,10051.2,17312.9,1996.9,1998.2,1997.3,1997.3,3298.0,3196.9,3431.6,3436.9,301.0,323.5,342.1,341.9,13.0,73.4,202.0,205.5,860.4,769.8,90.6,66451.2,59478.6,6972.6,67727.0,60620.6,7106.4
General cargo,97,37,1974.8,2468.3,2002.2,2004.5,2002.4,2002.1,1305.9,1958.7,1735.6,1747.2,151.0,185.9,233.0,238.5,41.0,92.1,84.1,96.2,337.1,298.2,38.9,25915.3,22981.3,2934.0,26412.9,23422.5,2990.3
Container,92,24,1078.7,1391.3,2009.3,2008.2,2009.5,2009.2,719.9,807.2,803.6,812.8,60.0,69.0,91.9,94.1,29.0,30.7,29.3,29.5,258.7,226.6,32.1,19865.5,17446.5,2419.0,20246.9,17781.4,2465.5
Miscellaneous - fishing,56,46,346.2,334.3,2008.4,2008.2,2010.6,2010.6,6138.9,7338.1,6477.7,6415.1,1122.5,1198.8,1265.2,1221.7,14.5,69.2,201.1,225.8,164.8,159.3,5.5,12376.7,11961.0,415.7,12614.3,12190.6,423.7
Chemical tanker,31,26,2393.1,3988.2,2013.5,2013.6,2013.4,2013.4,3245.5,2771.5,2752.1,2744.4,258.0,333.3,283.9,279.5,29.0,152.4,47.1,43.6,303.5,267.4,36.1,23449.4,20688.4,2761.0,23899.6,21085.6,2814.0
Refrigerated bulk,16,13,183.0,211.4,1988.0,1987.9,1988.0,1987.9,1632.1,2371.8,2727.0,2815.8,257.5,296.0,345.7,340.5,138.0,253.1,315.3,317.0,172.3,111.2,61.1,13037.0,8449.3,4587.7,13287.3,8611.6,4675.8
Oil tanker,15,11,835.1,1302.0,2000.8,2001.4,2005.1,2005.0,3699.6,5162.1,3256.8,3262.7,334.0,654.7,586.9,584.3,31.0,133.9,52.6,57.5,192.5,155.0,37.5,14777.5,11941.1,2836.4,15061.3,12170.4,2890.9
Liquefied gas tanker,13,2,44.4,46.9,2011.9,2013.0,2012.5,2012.6,727.9,1144.2,887.4,898.2,63.0,100.5,93.0,94.6,34.0,40.5,38.8,39.1,27.1,19.3,7.8,2070.7,1487.5,583.2,2110.5,1516.1,594.4
Cruise,10,9,149.2,21.7,1995.8,1996.1,1996.1,1995.4,468.0,524.5,548.1,547.9,41.0,50.5,52.6,51.7,9.0,7.8,8.2,8.3,35.3,32.1,3.2,2725.1,2479.5,245.6,2777.4,2527.1,250.3
Service - other,5,5,43.2,20.2,1995.0,1995.0,1995.4,1993.8,1822.1,2152.9,2247.1,2245.8,277.0,341.8,370.7,348.3,70.0,101.0,65.1,69.3,19.7,18.8,0.9,1493.4,1422.8,70.5,1522.0,1450.2,71.9
Vehicle,4,3,532.5,173.5,2006.0,2005.0,2006.5,2006.7,3054.0,3099.4,3152.7,3177.5,186.0,209.3,239.4,248.8,70.0,85.7,82.9,76.8,45.5,42.9,2.6,3519.1,3318.3,200.7,3586.6,3382.1,204.6
Service - tug,1,1,1.0,0.6,2008.0,2008.0,2008.0,2008.0,2862.6,2862.6,2862.6,2862.6,899.0,899.0,899.0,899.0,37.0,37.0,37.0,37.0,3.0,3.0,0.0,224.2,222.0,2.2,228.5,226.2,2.2
