Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Honiara,284,153,5491.5,6538.0,2006.2,2006.3,2005.5,2006.2,1182.4,5136.9,1484.2,1442.3,96.0,533.3,343.9,333.8,27.0,346.2,154.2,114.7,1410.5,1130.1,280.5,107717.6,86552.7,21164.9,109785.8,88214.5,21571.3
Noro,155,78,6751.2,10889.3,1998.7,1999.6,1997.4,1997.3,3164.6,3131.0,2924.7,2950.8,303.0,322.9,353.4,354.0,65.0,95.2,121.1,120.9,803.2,746.5,56.7,61893.3,57614.9,4278.3,63081.6,58721.2,4360.5
Rannell Island,23,11,3091.1,5758.2,1998.3,1997.5,1998.4,1998.4,3836.4,3792.2,3515.7,3514.2,369.0,470.5,468.0,467.7,82.0,63.8,89.0,89.4,257.4,239.9,17.4,19933.7,18582.4,1351.3,20316.4,18939.2,1377.3
Gizo,9,7,929.1,1674.4,2002.2,2002.0,2002.9,2002.9,3465.1,2599.6,2646.1,3164.8,320.0,266.3,307.6,314.6,122.0,196.1,268.8,276.2,93.7,77.8,15.9,7247.7,6020.6,1227.1,7386.9,6136.2,1250.7
Ringgi Cove,8,6,220.1,363.0,2005.1,2003.8,2003.9,2004.0,3121.9,3944.6,3586.3,3574.4,316.0,388.8,406.3,406.1,133.0,99.8,101.1,99.9,47.8,44.3,3.5,3668.3,3405.9,262.4,3738.7,3471.3,267.5
Lever Harbour,5,5,297.2,478.0,2000.2,2000.2,2001.0,2001.0,3290.0,3444.2,3457.0,3458.8,352.0,414.4,418.6,420.0,64.0,179.4,161.0,159.1,36.4,33.2,3.3,2804.3,2557.6,246.7,2858.1,2606.7,251.5
Aola Bay,4,4,34.7,53.4,1993.2,1993.2,1995.6,1996.2,2631.0,2849.8,2449.9,3393.0,388.0,655.0,742.8,853.5,15.0,124.5,122.7,147.9,30.9,26.4,4.5,2330.1,1993.9,336.2,2374.9,2032.2,342.7
Nemba,2,2,1.4,0.4,1994.0,1994.0,1991.4,1988.9,403.0,403.0,402.5,427.8,62.0,62.0,67.0,71.8,15.0,15.0,15.5,15.9,2.4,1.9,0.5,182.8,145.2,37.6,186.3,148.0,38.4
Choiseul Bay,2,2,7.7,10.4,2009.5,2009.5,2014.4,2013.8,1068.2,1068.2,369.2,326.2,140.0,140.0,181.9,176.9,26.0,26.0,11.1,12.9,2.1,2.0,0.1,163.1,153.5,9.6,166.2,156.4,9.8
Viru Harbour,1,1,1.8,0.3,1991.0,1991.0,1991.0,1991.0,425.7,425.7,425.7,425.7,39.0,39.0,39.0,39.0,15.0,15.0,15.0,15.0,0.8,0.5,0.3,58.2,39.2,19.0,59.4,40.0,19.4
Yandina,1,1,30.4,50.2,2001.0,2001.0,2001.0,2001.0,5735.3,5735.3,5735.3,5735.3,875.0,875.0,875.0,875.0,8.0,8.0,8.0,8.0,9.0,8.9,0.1,692.4,684.7,7.7,705.7,697.9,7.8
