Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Noro,134,71,826.7,1327.3,1997.9,1998.9,1996.7,1996.7,346.1,772.9,427.5,425.7,130.0,171.6,360.7,364.1,8.0,98.5,72.7,46.3,169.2,135.7,33.5,12859.6,10339.8,2519.9,13106.6,10538.3,2568.3
Honiara,97,54,467.6,693.7,1999.8,1998.9,1999.0,1998.8,236.7,362.0,308.3,316.0,27.0,192.4,252.4,260.1,105.0,119.6,116.7,125.2,139.5,95.3,44.2,10581.0,7248.1,3332.9,10784.2,7387.3,3396.9
Viru Harbour,46,34,249.3,406.9,1998.8,1998.4,1996.1,1996.1,197.7,370.8,409.2,413.7,25.5,154.9,374.1,375.6,83.0,119.2,134.6,135.0,52.2,36.1,16.0,3964.1,2758.8,1205.4,4040.2,2811.7,1228.5
Tulagi,27,19,117.6,192.9,1997.8,1996.9,1995.7,1995.7,278.6,309.6,332.9,333.2,118.0,122.0,180.4,181.5,85.0,89.2,104.3,105.1,36.3,30.3,6.0,2743.4,2294.6,448.7,2796.0,2338.7,457.3
Kirakira,23,21,142.4,232.3,1995.8,1996.0,1994.6,1994.5,268.9,351.7,376.9,377.4,114.0,155.7,277.7,277.2,150.0,191.6,194.9,195.9,28.9,18.2,10.7,2196.1,1390.6,805.5,2238.3,1417.3,821.0
Choiseul Bay,23,20,150.7,246.8,1996.4,1996.8,1995.7,1995.5,432.1,460.5,444.1,445.0,97.0,200.2,353.0,354.9,91.0,125.9,131.5,132.4,31.4,24.0,7.4,2379.9,1824.4,555.5,2425.6,1859.4,566.2
Rannell Island,21,20,168.2,278.1,1998.8,1999.0,1998.1,1998.2,366.7,540.8,446.6,440.6,37.0,177.2,293.8,291.8,173.0,247.5,230.8,232.8,37.3,21.9,15.3,2837.2,1677.9,1159.2,2891.6,1710.2,1181.5
Aola Bay,17,17,99.0,159.2,1999.6,1999.6,1999.4,1999.5,399.9,482.3,574.5,589.0,44.0,219.7,496.0,509.3,73.0,74.4,79.2,81.2,23.9,19.1,4.8,1811.6,1453.4,358.2,1846.3,1481.3,365.0
Gizo,11,9,116.0,185.1,1999.0,2000.1,2000.4,2000.0,314.0,308.4,303.8,317.4,31.0,65.2,106.1,120.9,6.0,33.7,14.7,14.6,18.1,16.6,1.6,1400.8,1282.2,118.6,1427.7,1306.9,120.8
Yandina,10,8,27.1,42.2,1995.2,1996.0,1996.4,1996.8,259.3,310.4,256.0,270.4,43.5,72.8,124.8,131.9,16.0,30.8,44.5,46.6,5.9,4.6,1.4,448.5,346.4,102.0,457.1,353.1,104.0
Nemba,8,8,71.8,109.5,1997.9,1997.9,1999.2,1999.4,605.7,613.8,633.4,633.9,145.0,172.6,233.8,236.7,235.5,187.9,243.9,250.3,13.8,10.0,3.8,1049.9,764.4,285.5,1070.1,779.1,291.0
Lever Harbour,6,6,36.6,58.8,1998.7,1998.7,2000.2,2000.2,304.0,349.7,353.8,354.2,113.5,165.8,214.6,214.9,63.0,72.0,89.1,89.9,6.0,4.8,1.1,453.1,369.6,83.5,461.8,376.7,85.1
Ringgi Cove,4,4,11.5,18.1,1993.8,1993.8,1996.0,1996.2,191.5,242.9,292.4,293.1,242.0,211.2,302.1,304.1,86.0,111.8,209.4,209.8,6.7,4.0,2.7,508.2,302.7,205.5,517.9,308.5,209.4
