Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Honiara,266,147,6657.0,8691.1,2005.5,2005.5,2006.9,2007.4,1231.4,3616.0,1899.2,1966.0,147.0,506.7,292.7,286.1,32.0,81.9,59.9,56.6,1255.8,1073.9,181.9,96206.9,82456.4,13750.6,98054.1,84039.5,14014.6
Noro,161,81,6872.2,11118.2,2000.1,2000.6,1998.2,1998.0,3179.5,2796.2,2888.2,2975.2,278.0,281.3,333.7,336.8,12.0,49.9,142.8,143.3,737.5,678.7,58.8,56833.2,52358.4,4474.8,57924.4,53363.7,4560.7
Rannell Island,24,7,3506.9,6577.7,1999.0,1999.7,1999.1,1999.1,3699.6,3608.3,3609.8,3611.3,324.0,317.2,326.5,326.5,311.0,287.6,283.7,283.9,263.4,217.7,45.6,20402.2,16866.1,3536.1,20793.9,17189.9,3604.0
Gizo,7,6,153.3,170.3,1999.7,2000.8,1997.0,1998.3,385.7,1295.3,810.6,1382.6,39.0,141.9,380.6,516.1,6.0,88.2,292.4,406.6,23.6,19.5,4.0,1803.6,1497.8,305.8,1838.3,1526.6,311.7
Ringgi Cove,6,4,91.3,154.1,2007.3,2006.5,2007.4,2007.4,2095.8,2622.8,2246.8,2238.2,178.5,236.2,221.1,221.0,296.5,283.2,277.9,276.5,25.4,17.2,8.2,1940.0,1322.3,617.7,1977.2,1347.7,629.5
Aola Bay,4,4,104.3,165.1,1998.0,1998.0,1996.0,1996.0,6542.6,9929.4,11230.7,11009.7,1142.5,1504.5,2207.3,2155.1,34.5,36.2,32.7,32.8,52.1,51.2,0.9,3981.5,3911.2,70.3,4057.9,3986.3,71.6
Choiseul Bay,2,2,16.1,20.8,2000.5,2000.5,2017.7,2017.9,2745.2,2745.2,3419.4,4673.8,1541.0,1541.0,3045.6,3063.4,1300.5,1300.5,2571.4,2586.4,21.2,11.9,9.4,1597.3,893.6,703.7,1628.0,910.8,717.2
Kirakira,2,2,112.5,192.4,1993.5,1993.5,1987.1,1987.0,3593.9,3593.9,3380.3,3512.0,177.0,177.0,296.7,298.3,347.0,347.0,434.5,435.6,10.8,5.3,5.5,831.0,411.0,419.9,846.9,418.9,428.0
Yandina,2,2,39.0,51.0,1989.5,1989.5,1989.4,1989.4,4257.2,4257.2,4248.3,4251.5,293.0,293.0,292.8,292.9,17.0,17.0,18.3,17.8,18.1,17.5,0.5,1382.1,1341.3,40.9,1408.7,1367.0,41.6
Viru Harbour,2,2,14.7,24.2,2008.0,2008.0,2002.2,2002.2,1705.9,1705.9,2184.7,2179.8,142.5,142.5,201.9,201.7,156.5,156.5,36.4,36.8,5.1,4.5,0.7,392.6,343.4,49.2,400.1,350.0,50.2
Lever Harbour,1,1,65.2,106.3,2002.0,2002.0,2002.0,2002.0,3737.8,3737.8,3737.8,3737.8,498.0,498.0,498.0,498.0,333.0,333.0,333.0,333.0,7.0,6.2,0.8,534.6,474.9,59.7,544.9,484.1,60.8
