Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Port Elizabeth,538,273,7184.2,8785.8,2004.6,2006.9,2007.9,2008.3,412.6,541.7,422.6,446.3,39.0,84.3,121.5,129.7,28.0,59.2,42.1,47.7,1239.0,908.0,330.9,95192.6,69953.4,25239.3,97020.3,71296.5,25723.8
Island View,369,187,5549.9,7617.5,2008.0,2006.8,2007.9,2008.0,403.1,689.7,535.2,631.3,45.0,141.1,309.5,393.3,43.0,89.9,71.6,80.2,967.7,699.3,268.5,74331.3,53766.7,20564.7,75758.5,54799.0,20959.5
Cape Town,352,201,8324.5,11777.7,2004.8,2005.5,2008.0,2008.5,811.9,1281.3,826.0,884.6,64.0,191.2,256.9,299.2,41.0,148.0,113.1,79.1,1326.5,1013.3,313.3,102045.5,78091.3,23954.2,104004.8,79590.7,24414.2
Port Of Ngqura,320,147,9692.2,11284.3,2008.5,2007.6,2010.0,2010.0,432.2,459.3,439.7,439.6,34.0,94.6,52.5,51.8,31.5,51.0,43.5,43.5,1271.3,1029.7,241.6,98151.7,79474.4,18677.3,100036.2,81000.3,19035.9
Durban,294,146,8345.8,9666.6,2007.5,2006.2,2009.8,2010.1,429.6,931.9,508.5,531.7,61.5,189.5,191.7,240.0,53.0,66.1,67.6,66.3,1140.8,858.7,282.1,88108.9,66322.0,21786.8,89800.5,67595.4,22205.1
Richards Bay,274,182,3177.9,5349.1,2009.1,2008.9,2011.2,2011.5,201.8,487.4,470.6,502.3,44.5,105.5,353.8,370.0,57.5,94.0,103.3,106.0,553.0,350.2,202.7,42588.9,27024.7,15564.2,43406.6,27543.5,15863.1
East London,262,126,2470.0,2141.9,2007.2,2007.5,2008.2,2008.7,277.4,311.4,282.6,310.8,31.0,89.8,68.4,90.3,22.0,37.3,24.8,30.6,454.7,325.4,129.3,34893.7,24998.3,9895.3,35563.6,25478.3,10085.3
Salt River,188,90,5282.5,6205.4,2007.1,2005.9,2009.8,2010.0,471.5,1003.0,535.9,536.4,63.0,217.2,118.0,112.7,46.0,210.1,61.3,56.2,815.3,636.6,178.7,62838.2,49114.4,13723.8,64044.7,50057.4,13987.3
Saldanha,142,117,2965.2,5000.3,2006.6,2008.7,2009.6,2009.8,975.9,995.3,784.4,763.5,142.0,224.4,195.2,188.0,88.0,103.6,108.9,107.8,374.1,311.6,62.5,28793.9,24018.0,4775.9,29346.7,24479.2,4867.6
Congella,120,71,1148.7,1684.3,2003.3,2006.5,2005.7,2006.7,818.4,1405.5,558.4,541.2,75.0,270.2,157.6,124.8,73.0,178.0,102.7,99.0,270.6,190.6,80.0,20630.2,14571.2,6059.1,21026.3,14850.9,6175.4
