Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Richards Bay,1342,1036,275250.6,499985.1,2010.4,2010.5,2010.0,2009.9,4547.7,4612.6,4778.7,4835.7,449.0,480.9,579.8,582.9,61.0,99.9,111.9,113.8,21150.8,20112.0,1038.7,1637541.7,1557265.2,80276.6,1668982.5,1587164.7,81817.9
Island View,1194,967,210154.0,323330.6,2008.4,2008.7,2009.4,2009.5,4121.8,4151.2,4203.7,4679.5,353.0,390.7,629.7,707.2,40.0,99.0,92.8,104.6,17757.3,16425.9,1331.5,1373022.9,1270399.7,102623.1,1399384.9,1294791.4,104593.5
Port Elizabeth,913,823,162275.7,249863.7,2009.8,2009.9,2010.1,2010.3,4838.6,4637.2,4567.9,4584.7,420.0,419.2,454.6,474.3,38.0,79.8,76.0,85.5,14171.9,13425.0,746.9,1093725.8,1036171.5,57554.3,1114725.3,1056066.0,58659.3
Cape Town,749,550,178295.2,282598.1,2006.1,2007.0,2009.2,2009.2,4452.1,4686.2,4717.1,4862.8,359.0,460.6,507.9,526.0,31.0,86.7,76.3,79.7,16837.2,15991.9,845.3,1263049.0,1198239.1,64809.9,1287299.6,1221245.3,66054.3
Durban,627,413,94886.6,115238.1,2007.4,2007.6,2009.8,2009.9,3640.4,3817.7,3419.8,3494.9,254.0,342.3,359.8,396.6,24.0,105.7,51.2,55.1,9353.2,8847.9,505.3,723085.7,684437.6,38648.1,736968.9,697578.8,39390.1
Saldanha,460,393,196263.8,374809.7,2010.2,2010.4,2010.3,2010.3,5758.1,5553.8,6193.7,6260.0,547.0,538.5,662.1,666.6,27.0,56.9,61.2,61.1,11490.9,11227.4,263.5,888542.5,868236.1,20306.4,905602.5,884906.3,20696.3
Salt River,299,151,68853.2,79309.7,2007.5,2006.8,2009.8,2010.0,4419.8,4426.2,4201.3,4160.7,252.0,467.3,287.7,285.6,21.0,113.1,28.0,24.6,7998.5,7822.4,176.1,618882.9,605392.0,13490.9,630765.5,617015.5,13749.9
Port Of Ngqura,287,209,83704.2,111517.9,2009.5,2008.9,2010.6,2010.4,5030.0,4252.6,4547.8,4538.1,350.0,363.9,365.4,379.1,24.0,62.9,40.7,46.7,7596.4,7384.8,211.6,588294.5,571943.8,16350.6,599589.7,582925.2,16664.5
Congella,245,176,17002.5,27076.0,2004.0,2006.2,2008.6,2009.0,2366.7,3986.7,3563.5,3582.8,282.0,473.3,561.7,560.7,51.0,102.0,99.0,101.2,1800.5,1705.9,94.6,138932.3,131720.1,7212.1,141599.8,134249.2,7350.6
East London,63,47,11031.7,5416.2,2004.3,2007.0,2006.7,2006.3,4161.4,4134.2,4384.5,3789.0,257.0,291.4,364.1,391.8,12.0,44.8,34.3,72.2,746.4,726.2,20.3,57771.8,56208.6,1563.3,58881.0,57287.8,1593.3
