Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,3055,2202,630716.4,1161638.9,2010.3,2010.3,2010.2,2010.2,4311.2,4285.0,4549.1,4580.8,384.0,412.4,521.1,523.9,55.0,77.6,82.6,82.5,39568.4,38267.3,1301.1,3064296.1,2963590.2,100705.9,3123130.6,3020491.2,102639.4
Container,936,259,192650.6,224511.8,2007.2,2008.0,2009.7,2009.7,3605.0,3579.8,3537.3,3533.7,248.0,249.4,284.5,285.3,40.5,57.1,49.3,49.2,22255.9,21476.2,779.7,1723342.5,1663164.4,60178.1,1756430.6,1695097.1,61333.5
Chemical tanker,496,340,48323.4,79000.9,2009.4,2009.8,2010.0,2010.0,4300.9,4272.1,4269.1,4271.7,371.0,370.5,441.9,441.5,55.0,63.3,66.5,66.4,7218.1,6590.1,628.0,558409.3,509938.0,48471.3,569130.8,519728.8,49402.0
Oil tanker,468,358,204831.4,389034.8,2008.8,2009.1,2009.6,2009.6,4269.2,4805.8,4913.2,4933.2,400.5,492.9,632.7,635.6,9.5,34.4,21.4,20.7,14050.0,13562.8,487.2,1087459.3,1049814.4,37644.9,1108338.5,1069970.8,38367.7
General cargo,466,277,24630.7,33565.1,2006.8,2007.9,2008.1,2008.4,2259.0,3633.9,3335.6,3330.7,268.5,350.9,476.1,473.4,34.0,59.9,54.8,55.9,3589.5,3447.6,141.9,276326.6,265669.1,10657.5,281632.0,270769.9,10862.1
Vehicle,338,231,82573.9,28154.4,2008.1,2007.9,2007.9,2007.6,4131.6,4115.1,4039.3,4086.9,270.5,270.9,346.0,346.7,26.0,31.3,28.9,28.4,5049.3,4942.0,107.3,390899.2,382585.5,8313.7,398404.5,389931.1,8473.4
Liquefied gas tanker,152,98,40009.8,37135.9,2011.6,2011.5,2012.8,2012.8,4352.9,4884.9,4638.8,4573.3,312.0,394.5,433.3,439.1,9.0,22.5,15.5,17.4,4395.6,4302.3,93.3,292610.9,285465.2,7145.7,298229.0,290946.1,7282.9
Refrigerated bulk,105,76,3340.7,3635.4,1994.9,1995.3,1997.0,1996.8,3451.5,3958.2,4243.9,4226.7,306.0,390.2,654.8,653.0,60.0,99.7,102.4,101.7,1687.5,1471.1,216.4,128254.6,112006.5,16248.1,130717.1,114157.0,16560.0
Cruise,60,22,3091.0,350.7,2002.4,2000.0,2003.5,2003.0,731.6,1136.8,864.7,891.6,44.5,74.3,96.6,101.6,10.0,34.4,23.9,24.5,709.9,608.4,101.5,54951.2,47092.9,7858.3,56006.3,47997.0,8009.2
Offshore,53,45,4311.9,3981.7,2006.4,2009.8,2007.8,2004.0,3508.9,3670.8,4189.8,3608.4,488.0,690.2,992.3,947.1,98.0,267.0,72.6,72.5,915.3,878.3,36.9,68023.5,65248.7,2774.8,69329.6,66501.5,2828.1
Miscellaneous - fishing,51,40,444.4,295.2,1989.3,1992.7,1990.2,1990.5,5458.0,8358.3,6740.0,6881.8,868.0,1358.6,1657.2,1734.2,73.0,399.5,709.8,741.1,261.6,226.4,35.3,19681.7,17034.3,2647.4,20059.6,17361.3,2698.2
Service - other,45,30,1249.6,705.9,1995.8,1998.0,1999.3,1998.9,3036.8,3894.7,4352.5,4414.6,455.0,813.4,1070.0,1134.8,103.0,330.7,405.2,357.9,470.7,415.0,55.6,35769.7,31589.3,4180.5,36456.5,32195.8,4260.7
Service - tug,31,29,363.1,297.2,2008.2,2008.0,2007.5,2007.7,3178.4,3546.4,3759.1,3883.6,559.0,743.0,807.4,903.0,78.0,372.2,236.2,209.3,233.9,213.3,20.6,17671.7,16122.4,1549.3,18011.0,16431.9,1579.1
Ro-Ro,18,4,1408.4,1287.1,2012.1,2012.0,2012.1,2012.1,1587.2,1586.4,1542.6,1543.8,103.0,104.0,104.4,104.4,55.0,50.8,51.7,51.7,154.3,139.5,14.8,11949.5,10803.1,1146.4,12178.9,11010.6,1168.4
Ferry-RoPax,1,1,0.4,0.0,1976.0,1976.0,1976.0,1976.0,963.0,963.0,963.0,963.0,182.0,182.0,182.0,182.0,49.0,49.0,49.0,49.0,1.4,1.2,0.2,106.8,90.2,16.5,108.8,92.0,16.9
Yacht,1,1,0.5,0.6,1911.0,1911.0,1911.0,1911.0,1698.4,1698.4,1698.4,1698.4,265.0,265.0,265.0,265.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids tankers,1,1,174.1,247.3,2016.0,2016.0,2016.0,2016.0,6308.6,6308.6,6308.6,6308.6,526.0,526.0,526.0,526.0,72.0,72.0,72.0,72.0,17.0,15.7,1.2,1316.7,1220.0,96.7,1341.9,1243.4,98.5
