Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,55,19,918.3,1213.1,2006.7,2005.2,2006.0,2005.9,743.7,1504.1,1747.9,1758.7,82.0,356.6,222.7,224.3,38.0,40.4,52.5,52.6,180.6,170.1,10.6,13908.5,13115.2,793.3,14175.5,13367.0,808.5
Container,13,7,408.4,508.6,2004.4,2003.9,2004.9,2004.8,3385.5,2222.1,2190.4,2162.4,249.0,186.4,250.2,251.4,76.0,71.6,83.4,84.7,90.2,77.3,12.9,6935.1,5960.3,974.8,7068.3,6074.8,993.6
Oil tanker,13,9,1950.1,3687.0,2007.5,2008.1,2007.4,2007.4,738.4,2224.7,2360.1,2347.6,188.0,416.6,727.4,732.6,12.0,19.3,37.4,38.2,134.4,130.6,3.8,10395.0,10105.5,289.5,10594.5,10299.5,295.0
Miscellaneous - fishing,11,10,151.7,125.2,1994.1,1994.4,2005.8,2006.6,3398.3,6516.0,7709.6,8263.4,484.0,621.2,1290.6,1295.3,32.0,267.1,1068.2,1179.1,80.7,57.9,22.8,6059.1,4343.7,1715.5,6175.5,4427.1,1748.4
Chemical tanker,10,5,140.6,222.8,2006.0,2007.0,2010.4,2010.6,772.1,1933.5,1977.4,1998.6,190.0,371.7,415.6,407.2,20.0,16.7,10.6,10.2,39.7,37.9,1.8,3028.2,2892.1,136.1,3086.4,2947.6,138.7
Liquefied gas tanker,6,4,1560.4,1285.0,2004.7,2006.5,2009.0,2009.0,294.4,2973.3,3481.4,3410.2,40.0,240.5,556.6,550.5,1.0,3.6,1.0,1.1,152.6,152.1,0.5,9290.1,9251.6,38.5,9468.5,9429.2,39.2
Ferry-pax only,5,1,1.1,0.2,1983.0,1983.0,1983.0,1983.0,476.5,476.5,488.9,488.9,70.0,70.0,182.2,182.2,83.0,83.0,106.4,106.4,2.3,1.5,0.9,175.4,110.2,65.2,178.8,112.3,66.5
Bulk carrier,3,3,337.1,639.8,2001.3,2001.3,1997.9,1997.6,2706.6,2422.8,2839.0,2851.6,176.0,165.0,211.5,209.6,8.0,8.0,10.4,10.5,27.2,26.2,1.0,2103.3,2025.8,77.6,2143.7,2064.7,79.1
Offshore,2,2,1.0,1.0,1981.5,1981.5,1983.1,1981.5,1991.2,1991.2,696.6,573.1,373.0,373.0,443.9,372.0,25.5,25.5,22.5,25.5,3.6,3.1,0.5,268.3,230.9,37.4,273.5,235.4,38.1
Cruise,2,2,55.3,5.7,2007.0,2007.0,2011.5,2012.1,605.0,605.0,646.8,659.1,49.0,49.0,54.4,55.2,8.5,8.5,9.2,9.3,9.7,9.0,0.7,748.5,693.4,55.1,762.8,706.7,56.2
Service - other,2,2,63.4,44.3,2006.5,2006.5,2001.7,2001.6,2904.9,2904.9,3850.4,3891.6,260.0,260.0,360.1,361.6,75.0,75.0,43.4,42.9,19.7,19.5,0.3,1521.2,1501.3,19.9,1550.4,1530.1,20.3
Service - tug,1,1,0.1,0.1,1975.0,1975.0,1975.0,1975.0,465.3,465.3,465.3,465.3,83.0,83.0,83.0,83.0,33.0,33.0,33.0,33.0,0.3,0.2,0.0,19.0,16.9,2.1,19.3,17.2,2.1
Other liquids tankers,1,1,0.3,0.3,1978.0,1978.0,1978.0,1978.0,1155.6,1155.6,1155.6,1155.6,173.0,173.0,173.0,173.0,188.0,188.0,188.0,188.0,3.8,1.3,2.5,285.1,100.4,184.7,290.6,102.4,188.2
Vehicle,1,1,78.4,25.1,2006.0,2006.0,2006.0,2006.0,1278.0,1278.0,1278.0,1278.0,219.0,219.0,219.0,219.0,16.0,16.0,16.0,16.0,2.6,2.4,0.2,199.7,186.1,13.6,203.5,189.7,13.9
Ro-Ro,1,1,0.6,0.7,2017.0,2017.0,2017.0,2017.0,434.4,434.4,434.4,434.4,84.0,84.0,84.0,84.0,38.0,38.0,38.0,38.0,0.7,0.4,0.3,50.1,30.6,19.4,51.0,31.2,19.8
