Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,683,136,3232.3,4075.9,2003.2,2005.2,2004.0,2003.9,260.1,263.5,280.8,281.8,23.0,33.3,59.7,58.5,17.0,24.2,32.9,33.3,757.6,532.8,224.8,58179.1,41003.7,17175.4,59296.1,41790.9,17505.2
Chemical tanker,383,96,1101.2,1736.7,2008.9,2007.6,2009.8,2009.9,275.7,421.0,388.0,393.9,25.0,49.5,119.1,123.3,42.0,65.4,77.6,78.2,547.9,265.0,282.8,41664.7,20223.4,21441.3,42464.6,20611.6,21853.0
General cargo,327,155,389.2,546.0,1999.5,2002.1,2000.7,2000.5,268.0,254.8,269.0,262.3,30.0,54.6,68.0,67.5,38.0,62.8,84.4,82.9,142.2,94.9,47.4,10784.2,7220.9,3563.4,10991.3,7359.5,3631.8
Miscellaneous - fishing,223,25,552.3,333.1,1992.4,1990.2,1989.1,1988.5,605.3,1956.9,2649.5,2566.2,114.0,445.4,673.2,924.6,34.0,256.5,326.1,350.2,245.8,158.4,87.4,18466.2,11902.6,6563.6,18820.8,12131.2,6689.6
Bulk carrier,155,120,1017.0,1712.2,2005.8,2008.7,2009.4,2009.4,256.8,267.8,278.6,280.3,49.0,149.8,204.5,206.4,68.0,99.2,118.6,119.9,168.4,115.4,53.1,12979.4,8893.7,4085.6,13228.6,9064.5,4164.1
Oil tanker,91,15,372.1,606.3,1999.6,2006.7,2007.6,2008.4,230.6,502.9,410.2,428.9,28.0,82.4,192.0,203.1,32.0,80.8,83.1,87.1,159.7,82.2,77.5,12198.1,6294.9,5903.2,12432.3,6415.8,6016.5
Vehicle,81,19,579.8,177.7,2005.7,2004.6,2006.4,2006.3,208.7,236.9,233.4,233.9,17.0,22.2,23.7,24.3,9.0,12.7,12.2,12.5,60.7,46.3,14.4,4686.2,3578.6,1107.6,4776.2,3647.3,1128.8
Service - tug,51,9,21.7,16.5,1982.7,1990.3,1984.4,1984.1,486.9,1707.9,1480.8,974.6,85.0,1142.5,1261.3,1194.5,46.0,259.7,558.6,551.2,79.3,49.4,29.9,5950.2,3706.2,2244.1,6064.5,3777.3,2287.2
Liquefied gas tanker,46,29,404.1,455.0,2008.4,2008.8,2011.5,2011.4,316.2,448.1,415.6,406.4,25.5,87.9,184.8,175.7,31.5,54.8,44.6,45.5,96.0,59.4,36.7,7366.5,4570.5,2796.0,7508.0,4658.3,2849.7
Service - other,44,15,108.8,85.9,1998.1,1996.4,2001.2,2000.1,803.2,1518.9,1323.4,989.2,293.5,641.6,728.0,851.7,30.0,134.6,299.2,357.5,81.7,63.5,18.2,6136.5,4767.5,1368.9,6254.3,4859.1,1395.2
Cruise,17,11,89.8,11.3,1987.6,1992.9,1995.8,1993.1,259.4,221.3,217.0,219.2,18.0,19.4,21.3,21.4,8.0,13.7,19.8,17.6,27.7,17.8,9.9,2133.8,1370.0,763.8,2174.8,1396.3,778.5
Ro-Ro,6,2,43.8,22.7,2000.7,2006.0,2005.2,2004.1,216.3,245.9,247.6,244.3,20.5,60.0,56.4,50.8,12.0,11.5,10.4,10.4,5.9,4.8,1.1,460.7,372.9,87.8,469.5,380.0,89.5
Offshore,3,3,15.0,11.7,1988.7,1988.7,2010.3,2010.0,1311.2,3573.5,6427.2,6225.7,216.0,714.3,1787.0,1774.0,52.0,75.0,25.5,25.7,11.2,10.3,0.9,840.7,771.7,69.0,856.9,786.5,70.4
Refrigerated bulk,2,2,1.8,2.1,1999.0,1999.0,1991.4,1991.1,235.6,235.6,297.3,312.4,19.5,19.5,30.9,31.3,115.0,115.0,51.0,48.6,2.8,0.6,2.2,213.7,48.9,164.9,217.9,49.8,168.0
Ferry-RoPax,2,1,54.4,4.3,1996.0,1996.0,1996.0,1996.0,613.9,613.9,613.9,613.9,122.0,122.0,155.8,155.8,45.5,45.5,41.9,41.9,16.7,13.0,3.7,1277.9,993.5,284.4,1302.4,1012.5,289.8
