Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,2874,547,231418.9,253848.3,2006.4,2007.1,2011.3,2011.0,764.1,1524.3,1801.9,1734.8,72.0,110.2,198.5,194.0,18.0,29.4,25.9,25.9,24650.1,23484.1,1166.1,1903844.4,1814731.8,89112.6,1940398.2,1849574.7,90823.6
General cargo,1260,636,6681.5,9712.3,2002.2,2003.8,2005.5,2005.6,557.2,990.6,1008.3,1021.9,73.0,138.1,223.7,229.7,37.0,58.0,77.1,77.4,1627.3,1374.3,253.0,124203.3,105123.4,19079.9,126588.0,107141.8,19446.2
Bulk carrier,997,806,55608.6,95356.6,2008.9,2009.6,2011.1,2011.1,1282.5,2031.1,2109.9,2128.1,190.0,272.2,485.1,487.6,28.0,80.4,121.8,121.3,5414.2,5097.2,317.0,417824.4,393575.3,24249.1,425846.6,401131.9,24714.7
Chemical tanker,892,404,13027.7,21173.8,2007.4,2008.1,2009.7,2009.7,715.5,1366.7,1394.6,1425.4,84.0,156.4,318.7,324.3,23.0,37.3,48.5,48.5,3090.2,2600.5,489.8,237330.6,200027.4,37303.2,241887.4,203867.9,38019.5
Vehicle,505,132,35194.6,11641.6,2004.3,2006.9,2007.3,2006.7,1055.7,2030.9,1637.1,1638.7,77.0,137.6,210.5,207.0,12.0,23.1,29.4,29.6,2293.1,2177.1,115.9,177299.9,168412.1,8887.8,180704.1,171645.6,9058.5
Ro-Ro,484,36,13354.6,6397.5,2000.5,2003.6,2010.7,2009.9,141.8,1419.5,1275.5,1115.7,10.0,100.4,143.7,143.7,4.0,32.4,31.4,32.3,1368.3,1244.0,124.3,105874.9,96272.7,9602.2,107907.7,98121.1,9786.6
Ferry-RoPax,325,21,4895.0,886.9,1996.2,1993.2,1995.6,1995.8,538.8,583.0,529.2,510.6,29.0,45.9,33.9,33.1,4.0,19.9,16.1,14.7,1037.6,943.4,94.2,79905.4,72763.4,7142.0,81439.6,74160.4,7279.1
Liquefied gas tanker,295,101,7013.6,7972.3,2009.2,2009.6,2011.6,2011.5,783.1,1338.9,1418.7,1414.7,89.0,141.9,254.1,256.1,28.0,45.6,52.5,52.7,1201.5,989.7,211.7,92079.1,76044.5,16034.6,93847.0,77504.5,16342.5
Oil tanker,225,101,6839.1,12311.2,2007.3,2007.9,2010.4,2010.5,386.0,1241.0,1496.0,1562.8,55.0,165.6,457.6,470.6,36.0,49.5,42.6,40.4,938.8,669.6,269.2,72110.1,51592.2,20517.8,73494.6,52582.8,20911.8
Cruise,154,55,3037.0,324.1,1996.3,1995.6,2002.2,2000.6,249.5,326.8,359.3,363.5,23.0,27.1,31.3,31.7,9.0,13.1,10.7,10.1,663.0,544.5,118.5,51320.4,42157.1,9163.3,52305.8,42966.5,9339.2
Refrigerated bulk,91,43,1442.5,1584.5,2000.7,1995.2,2000.3,2000.3,1418.4,1831.6,1847.2,1832.5,123.0,185.2,184.0,183.5,19.0,96.5,64.9,65.2,737.0,620.2,116.8,56142.9,47376.4,8766.5,57220.8,48286.0,8934.8
Miscellaneous - fishing,47,32,521.7,402.4,1985.4,1986.2,1986.1,1986.5,632.9,7126.5,4174.0,4965.9,81.0,1480.1,2209.4,2462.9,113.0,464.0,719.6,765.3,257.9,202.0,56.0,19469.2,15212.2,4257.0,19843.0,15504.2,4338.8
Service - other,40,25,109.8,94.6,2000.2,2000.1,2002.8,2003.4,572.3,2175.7,1030.3,920.9,85.5,493.3,567.0,560.7,30.5,339.7,463.4,229.5,76.2,58.6,17.6,5725.1,4403.7,1321.4,5835.0,4488.3,1346.7
Service - tug,33,23,18.6,14.0,1994.9,1993.8,2004.1,2003.5,756.6,947.8,1182.0,1159.3,101.0,417.4,496.8,583.4,52.0,104.3,109.6,112.1,32.6,25.9,6.6,2446.2,1947.3,498.9,2493.1,1984.7,508.4
Offshore,12,10,57.0,55.6,1996.8,1997.9,2004.0,2004.7,2375.6,4197.9,1596.3,1635.4,607.0,1025.0,1337.9,1367.6,152.0,348.2,335.9,376.3,61.9,51.7,10.2,4649.6,3882.4,767.2,4738.9,3956.9,781.9
