Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Tanger Med,3034,698,250896.8,246386.2,2005.0,2007.1,2011.0,2011.4,671.8,1616.1,1786.2,1810.0,56.0,129.8,206.2,204.3,16.0,44.9,27.1,27.8,25164.0,23892.4,1271.5,1944206.7,1846939.7,97267.0,1981535.4,1882400.9,99134.5
Casablanca,2060,1029,53622.9,59997.3,2005.2,2006.3,2008.2,2008.1,610.1,1191.5,1275.4,1347.2,72.0,143.1,215.8,263.4,20.0,55.1,54.1,65.4,6691.1,6094.0,597.1,515566.8,470034.9,45532.0,525465.7,479059.5,46406.2
Jorf Lasfar,1016,785,36164.1,60227.7,2007.9,2008.2,2011.1,2011.1,951.7,1616.5,1850.0,1881.2,156.0,231.5,391.7,396.1,28.0,66.1,96.0,97.0,4633.1,4186.9,446.2,356914.1,322843.8,34070.3,363766.8,329042.4,34724.4
Agadir,637,304,9217.5,10385.0,2003.6,2003.2,2002.6,2003.3,720.9,1255.7,893.6,1227.7,63.0,115.7,133.4,153.3,20.0,77.1,67.3,69.8,2184.2,1858.1,326.1,167331.3,142588.3,24743.1,170544.1,145326.0,25218.1
Safi,424,285,6455.4,10132.1,2005.4,2005.9,2009.2,2009.3,1213.9,1502.8,1654.5,1676.9,133.0,197.0,318.4,322.3,22.0,51.1,82.8,82.9,1284.3,1166.8,117.5,98519.7,89627.6,8892.0,100411.3,91348.5,9062.8
Mohammedia,381,184,5583.6,7501.4,2007.5,2007.7,2011.1,2011.3,475.7,943.6,1186.2,1177.4,54.0,113.4,240.7,257.7,29.0,49.8,52.7,53.6,1040.0,788.6,251.4,79760.1,60671.4,19088.8,81291.5,61836.3,19455.3
Laayoune,228,92,8239.1,14303.8,1995.2,2004.0,2012.5,2012.6,692.5,3177.2,4741.8,5144.8,73.0,380.0,988.7,998.9,30.0,87.7,180.1,181.3,917.8,834.0,83.8,70603.2,64279.0,6324.2,71958.8,65513.2,6445.6
Al Hoceima,131,62,2538.7,4116.9,2002.6,2004.7,2009.1,2009.7,150.0,985.0,879.0,1336.8,11.0,136.5,385.7,430.8,16.0,59.2,49.0,45.7,297.1,221.6,75.4,22683.1,16912.3,5770.8,23118.7,17237.1,5881.6
Dakhla,93,62,761.9,732.7,1995.2,1993.5,1990.5,1993.0,933.8,4673.3,1931.1,1564.2,103.0,989.2,1654.0,1514.3,44.0,168.9,262.8,233.2,443.3,368.8,74.5,33496.5,27890.2,5606.4,34139.7,28425.6,5714.0
Tangier,84,59,3042.0,3986.0,2000.5,2001.4,2008.8,2009.8,361.2,1094.1,1421.4,2600.5,38.0,116.6,480.5,614.0,13.0,31.2,20.3,20.6,355.8,318.2,37.6,27449.6,24568.6,2881.0,27976.6,25040.3,2936.3
Asilah,49,46,1105.9,1615.0,2004.3,2004.3,2007.3,2008.9,216.6,693.1,754.2,782.6,35.0,69.2,184.1,192.6,22.0,64.4,63.4,49.2,178.8,145.0,33.7,13743.7,11165.2,2578.5,14007.6,11379.6,2628.0
Larache,24,22,293.3,468.6,2003.2,2004.0,2007.4,2007.6,343.4,571.5,616.7,619.0,37.0,70.0,141.0,133.2,59.0,98.3,137.4,150.0,57.7,38.0,19.7,4418.3,2918.0,1500.3,4503.2,2974.0,1529.1
El Jadida,20,20,478.5,717.3,2007.0,2007.0,2009.1,2009.1,916.0,1521.5,1406.9,1364.7,165.5,237.6,374.5,375.8,25.5,33.4,34.0,34.0,69.8,65.6,4.2,5377.2,5057.5,319.7,5480.4,5154.6,325.8
Tan Tan,12,10,48.1,69.1,2005.5,2004.8,2004.0,2003.7,709.6,1170.0,984.9,994.7,137.5,167.6,178.6,179.9,34.5,37.2,41.9,41.4,19.4,15.5,3.9,1475.0,1181.4,293.7,1503.4,1204.0,299.3
Anza,7,7,44.2,61.8,2004.4,2004.4,2005.8,2005.3,1213.6,1464.3,1353.9,1366.0,145.0,197.9,206.0,210.6,37.0,147.6,92.6,90.0,18.1,14.6,3.5,1380.5,1117.2,263.3,1407.0,1138.6,268.3
