Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Onne,1833,297,1728.1,1989.5,2010.2,2008.2,2009.3,2008.7,145.7,912.6,403.3,407.2,29.0,306.3,700.8,640.5,11.0,95.2,110.1,100.9,1318.8,1058.7,260.0,99327.6,79711.8,19615.9,101234.7,81242.2,19992.5
Yoho Terminal,1416,140,441.7,530.2,2010.3,2008.7,2011.6,2011.7,84.3,631.1,145.2,146.5,22.0,117.2,151.9,122.4,24.0,133.0,131.5,108.2,498.2,268.4,229.8,37443.9,20177.9,17266.0,38162.8,20565.3,17597.5
Antan,1393,203,922.7,1200.5,2010.1,2007.6,2009.3,2008.9,154.6,685.9,259.0,268.6,63.0,166.9,352.1,322.1,19.0,134.8,209.5,191.2,833.7,482.0,351.8,62791.5,36253.3,26538.2,63997.1,36949.4,27047.7
Lagos,1110,404,10961.9,16530.3,2002.4,2003.6,2004.6,2004.4,453.3,709.6,606.4,612.4,95.0,242.8,631.5,645.9,48.0,140.6,88.6,87.1,4269.2,3110.5,1158.7,327040.0,238412.2,88627.8,333319.2,242989.7,90329.5
Escravos,751,197,2136.7,3441.8,1999.8,2000.1,2002.8,2003.2,154.4,736.2,250.4,262.4,23.0,343.7,548.8,514.6,43.0,330.7,153.6,154.1,1316.3,586.8,729.6,100313.3,44631.2,55682.1,102239.4,45488.1,56751.2
Port Harcourt,338,154,1247.2,1897.6,2000.8,2001.7,2002.7,2002.7,428.4,777.9,620.1,629.6,52.5,136.7,150.7,150.6,20.5,192.0,160.4,146.0,500.2,239.6,260.6,37918.8,18226.9,19692.0,38646.9,18576.8,20070.1
Ima,276,109,374.0,604.4,2007.6,2007.0,2006.0,2006.1,171.4,666.2,410.2,443.4,49.0,221.6,343.1,293.4,27.0,168.9,141.1,104.8,222.2,141.7,80.5,16759.3,10696.7,6062.6,17081.1,10902.1,6179.0
Oyo,273,95,601.1,968.5,2002.8,2001.8,2003.3,2003.1,316.2,819.5,249.3,228.4,75.0,186.7,285.7,225.8,55.0,260.0,222.1,168.9,301.1,129.9,171.2,22817.6,9833.7,12983.9,23255.7,10022.5,13233.2
Warri,266,102,475.7,740.4,1997.5,1997.7,1997.3,1997.2,85.5,433.7,130.2,130.3,17.5,114.1,57.0,55.0,19.0,144.8,147.0,146.7,297.5,110.1,187.4,22747.9,8409.9,14338.0,23184.7,8571.4,14613.3
Bonny,203,99,499.9,575.6,2001.9,2002.1,2006.5,2005.7,480.1,797.6,647.1,597.6,91.0,336.6,246.7,218.5,38.0,139.2,167.7,159.3,385.2,238.5,146.8,29118.3,18070.6,11047.8,29677.4,18417.5,11259.9
Okrika,195,98,511.1,779.6,2000.2,2001.8,2002.3,2002.2,453.6,1046.4,702.2,696.2,73.0,362.0,330.3,273.0,27.0,189.4,218.6,215.0,288.0,177.2,110.7,21812.3,13400.5,8411.8,22231.1,13657.8,8573.3
Okwori,192,73,114.5,130.9,2003.8,2002.4,2007.0,2006.4,136.0,446.8,186.2,155.6,27.0,114.6,204.1,184.1,44.5,325.2,407.9,333.7,157.8,70.0,87.7,11880.0,5274.9,6605.1,12108.1,5376.2,6731.9
Sea Eagle Terminal,166,81,696.1,1241.3,2002.0,2000.0,2006.9,2006.8,456.2,735.4,849.2,870.4,119.0,266.2,757.6,759.0,43.5,226.4,150.3,131.6,259.9,192.1,67.8,19666.0,14561.1,5104.9,20043.6,14840.7,5202.9
