Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Togo,712,328,6714.9,10472.3,2004.2,2006.2,2007.9,2008.1,222.7,525.2,405.7,439.4,41.0,172.0,368.2,403.4,53.0,84.6,159.0,159.3,1931.1,1093.9,837.2,148370.6,84184.6,64185.9,151219.3,85801.0,65418.3
Spain,410,281,87641.0,112343.0,2006.9,2007.2,2008.0,2008.6,3221.7,3292.2,3733.5,3561.6,267.0,306.7,355.7,348.7,41.5,108.4,78.4,76.0,8342.0,7626.1,715.9,581710.6,529985.8,51724.8,592879.4,540161.5,52717.9
Equatorial Guinea,319,115,825.3,998.5,2010.3,2007.1,2010.0,2009.9,181.7,434.6,470.5,467.4,50.0,119.3,129.8,125.2,21.0,124.2,70.3,73.1,294.2,171.7,122.5,22391.0,13140.2,9250.8,22820.9,13392.5,9428.4
Benin,290,115,2116.8,1961.6,2006.5,2003.8,2007.9,2006.4,122.4,298.7,169.5,205.9,14.0,72.2,65.2,89.9,45.0,98.4,73.1,89.2,499.0,246.2,252.8,38523.7,19024.5,19499.2,39263.4,19389.8,19873.6
Cameroon,279,80,882.8,1231.5,1997.1,2003.6,2008.7,2009.2,135.1,875.9,501.7,482.9,19.0,211.1,567.2,348.2,36.0,138.6,70.7,58.5,275.2,190.0,85.2,20948.2,14496.8,6451.4,21350.4,14775.2,6575.3
Netherlands,167,149,26624.5,46688.9,2009.3,2009.2,2009.9,2010.0,4462.0,4439.3,4642.2,4661.6,368.0,408.1,446.7,450.8,22.0,81.6,94.6,95.3,2901.4,2751.2,150.2,223706.9,212135.2,11571.7,228002.1,216208.2,11793.8
Ghana,143,128,1810.0,2612.6,2002.8,2003.0,2007.7,2007.8,503.0,727.5,720.7,748.3,74.0,288.0,304.2,306.0,63.0,163.2,136.8,144.6,514.9,365.7,149.2,38925.6,27615.1,11310.5,39673.0,28145.3,11527.6
South Africa,139,130,27163.9,45497.4,2011.0,2011.2,2010.1,2009.8,3329.2,3374.5,3313.9,3338.1,319.0,400.6,407.7,428.3,48.0,163.4,84.5,86.6,2200.1,1993.9,206.2,163840.9,147958.5,15882.4,166986.6,150799.3,16187.3
Singapore,108,103,63284.2,82361.1,2011.5,2011.4,2011.9,2011.7,8287.4,8572.5,8414.2,8350.7,666.0,733.7,683.5,713.6,42.5,134.6,73.4,84.6,5655.6,5493.1,162.6,386258.4,373727.0,12531.4,393674.5,380902.5,12772.0
Côte d'Ivoire,104,70,3561.8,5524.4,2006.4,2005.7,2008.1,2007.9,733.2,1135.0,1028.0,1071.1,102.5,301.9,488.2,444.3,43.0,63.0,44.9,43.9,569.4,483.8,85.5,43744.9,37179.0,6565.9,44584.8,37892.9,6692.0
Belgium,96,77,12802.4,21527.9,2011.1,2011.0,2011.2,2011.2,4442.4,4374.1,4477.8,4480.0,359.5,377.9,383.1,383.3,20.5,100.6,108.6,109.9,1755.2,1614.9,140.2,135500.3,124638.2,10862.1,138101.9,127031.3,11070.7
Senegal,80,40,5362.6,8189.5,2002.1,2001.6,2003.4,2003.9,1704.4,1860.7,1827.0,1861.4,132.0,195.0,185.8,201.8,44.0,107.8,65.0,66.6,748.6,646.8,101.8,57890.9,50056.3,7834.6,59002.4,51017.4,7985.0
Congo,78,46,2905.8,3872.7,2010.1,2009.7,2010.8,2010.9,935.9,985.8,965.5,968.0,82.5,141.5,116.2,123.7,68.0,111.4,94.9,92.8,433.2,329.9,103.3,33511.9,25528.6,7983.3,34155.3,26018.7,8136.5
Namibia,77,43,5787.7,7596.3,2005.3,2008.0,2009.3,2008.9,1933.9,2273.7,2027.5,2024.5,181.0,307.7,196.7,204.3,99.0,264.2,122.4,126.4,693.3,570.8,122.5,52687.4,43278.2,9409.3,53699.0,44109.1,9589.9
Gibraltar,73,70,12877.4,22533.5,2010.3,2010.3,2010.9,2011.1,3530.1,3659.4,3729.4,3726.7,320.0,350.6,368.2,373.5,52.0,148.7,80.7,79.4,1140.4,1068.8,71.6,86028.9,80541.5,5487.3,87680.6,82087.9,5592.7
Angola,69,53,2533.7,3752.2,2005.4,2006.7,2006.9,2007.1,1236.9,1282.2,1268.4,1263.8,123.0,202.7,279.5,300.0,63.0,104.3,94.8,98.1,423.2,370.5,52.8,32713.3,28656.4,4056.9,33341.4,29206.6,4134.8
France,57,48,15703.6,19626.9,2009.5,2009.0,2010.8,2011.1,4208.6,4074.4,4485.4,4429.0,321.0,324.1,363.7,372.4,29.0,62.7,55.0,59.8,1610.7,1541.5,69.2,108873.2,103631.1,5242.1,110963.6,105620.8,5342.8
United States of America,53,48,8746.5,13982.0,2009.9,2010.3,2010.6,2011.0,6314.6,6294.8,5909.3,6033.2,558.0,592.2,668.4,693.8,105.0,162.0,160.4,165.4,1001.6,935.3,66.3,77324.2,72235.5,5088.7,78808.8,73622.4,5186.4
Sri Lanka,52,35,21885.2,32086.3,2011.0,2010.7,2011.8,2011.7,6992.6,7814.3,7132.6,7123.6,475.0,647.1,556.6,574.8,91.5,103.9,104.0,100.8,2230.6,2121.8,108.8,171132.1,162702.5,8429.7,174417.9,165826.4,8591.5
Indonesia,52,49,38691.3,72485.3,2008.8,2008.7,2009.2,2009.1,8310.7,7929.1,8437.9,8485.6,695.0,699.7,805.3,812.4,44.0,55.4,49.6,49.5,2218.6,2129.7,88.9,170374.3,163505.5,6868.8,173645.5,166644.8,7000.7
Brazil,51,46,8800.0,13125.6,2007.7,2007.9,2008.6,2008.4,3906.3,4272.7,3967.2,4034.6,516.0,619.3,634.0,698.7,71.0,155.8,144.9,165.1,863.7,806.3,57.4,63939.8,59500.3,4439.5,65167.5,60642.7,4524.8
Gabon,51,47,1226.8,1117.7,2005.6,2006.9,2008.7,2010.1,632.9,922.3,666.4,565.6,55.0,165.3,121.0,143.1,41.0,240.4,39.2,47.8,178.2,126.5,51.7,13231.2,9386.5,3844.7,13485.3,9566.7,3918.6
United Kingdom of Great Britain and Northern Ireland,48,24,6360.3,11395.8,2005.6,2009.9,2011.5,2011.4,562.1,4391.9,4767.3,4867.0,89.5,430.0,498.2,514.8,20.5,57.3,43.4,43.0,521.7,490.4,31.2,39316.5,36905.8,2410.8,40071.4,37614.4,2457.0
Sweden,47,6,742.1,1297.1,2002.0,2007.8,2010.9,2011.0,282.6,3512.1,3072.4,3344.3,28.0,344.9,443.9,446.2,13.0,344.6,67.4,58.8,78.4,70.3,8.1,6005.7,5392.0,613.7,6121.0,5495.5,625.5
