Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
St Thomas,182,36,66.2,77.6,1999.5,1995.3,2004.8,2004.6,67.8,88.4,87.4,85.4,8.0,27.9,17.0,15.6,13.0,30.9,47.8,48.9,74.8,24.2,50.6,5613.7,1816.9,3796.8,5721.5,1851.8,3869.7
St Croix,165,28,112.8,148.7,2001.3,1999.8,2004.6,2005.9,62.0,266.7,92.5,99.3,8.0,63.0,28.7,28.8,11.0,148.4,58.2,44.4,60.6,29.1,31.6,4551.4,2182.1,2369.3,4638.8,2224.0,2414.8
Christiansted,80,10,25.4,26.4,1995.0,1990.5,2011.3,2011.1,85.6,113.0,157.7,154.6,12.5,70.3,48.7,46.1,18.0,74.6,57.4,54.3,26.2,11.4,14.8,1965.5,857.7,1107.7,2003.2,874.2,1129.0
Frederiksted,16,11,136.1,26.6,2002.2,2001.3,2006.0,2005.2,139.3,232.6,159.3,195.8,14.5,97.5,18.7,47.4,7.5,81.1,28.5,164.2,43.5,21.4,22.1,3266.4,1610.3,1656.0,3329.1,1641.2,1687.8
Port Alucroix,13,11,52.7,78.5,1997.5,1995.3,1994.7,1994.9,74.8,858.7,1271.8,1350.4,38.0,839.0,291.9,255.9,22.0,65.2,23.1,22.8,31.2,29.0,2.2,2359.4,2192.0,167.4,2404.7,2234.1,170.6
Cruz Bay,7,4,0.3,0.3,1974.3,1979.0,1973.9,1972.2,78.5,93.1,114.1,126.6,47.0,41.8,43.2,46.3,16.0,23.2,20.7,23.5,1.2,1.0,0.3,91.5,71.8,19.7,93.3,73.2,20.1
Charlotte Amalie,1,1,0.0,0.0,2000.0,2000.0,2000.0,2000.0,93.8,93.8,93.8,93.8,122.0,122.0,122.0,122.0,29.0,29.0,29.0,29.0,0.3,0.2,0.1,21.8,17.9,3.9,22.2,18.3,4.0
