Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Mombasa,1311,700,77094.4,96390.0,2006.0,2007.6,2007.4,2008.0,1544.7,1918.3,1803.9,1898.0,139.0,211.8,326.1,357.0,38.0,93.8,50.8,60.8,8598.5,7613.9,984.5,664937.0,589258.2,75678.8,677703.8,600572.0,77131.8
Lamu,8,4,36.4,42.6,1994.4,2002.2,2007.2,2008.6,272.8,1171.3,1094.6,1302.7,44.5,111.8,174.0,177.6,28.5,26.0,18.9,18.6,8.7,6.9,1.9,668.5,529.4,139.1,681.3,539.6,141.8
Shimoni,5,5,137.9,174.3,2006.2,2006.2,2006.2,2006.8,594.8,1138.5,1459.5,2401.3,67.0,180.0,507.7,634.7,72.0,61.0,12.9,14.3,17.0,15.5,1.5,1314.3,1201.7,112.7,1339.6,1224.7,114.8
Malindi,4,4,64.8,75.9,1994.0,1994.0,2006.9,2007.0,419.1,647.4,1036.8,1023.5,70.0,180.8,467.6,462.3,31.5,29.8,10.2,10.8,10.3,9.4,0.8,791.3,727.6,63.7,806.5,741.6,64.9
Siaya,1,1,12.3,23.6,1999.0,1999.0,1999.0,1999.0,156.3,156.3,156.3,156.3,203.0,203.0,203.0,203.0,22.0,22.0,22.0,22.0,3.1,2.8,0.3,240.7,216.0,24.7,245.3,220.2,25.1
