Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,19,5,38.3,48.8,2011.1,2009.0,2009.2,2009.8,146.0,314.8,303.1,319.9,18.0,63.1,852.7,905.4,15.0,83.4,220.8,231.9,19.0,12.5,6.5,1428.3,938.7,489.6,1455.7,956.8,499.0
Ro-Ro,15,2,6.1,4.2,1983.0,1994.0,1980.3,1981.4,113.1,135.4,117.5,118.8,22.0,32.0,49.1,49.0,32.0,736.8,126.5,181.5,28.2,3.7,24.5,2117.1,275.0,1842.1,2157.8,280.3,1877.5
Service - other,13,2,3.1,0.9,1988.7,1986.5,1993.0,1989.2,201.9,278.9,365.4,278.4,52.0,52.2,414.3,333.1,14.0,20.8,290.3,227.2,8.7,5.3,3.4,652.2,394.4,257.9,664.8,402.0,262.8
Bulk carrier,8,2,19.4,30.3,2015.0,2015.0,2015.0,2015.0,592.6,719.1,841.1,841.1,48.0,74.5,1835.7,1835.7,61.5,105.2,2158.2,2158.2,40.0,20.2,19.9,3004.2,1513.8,1490.4,3061.9,1542.9,1519.1
Oil tanker,5,3,126.4,221.2,2004.6,2003.3,2004.9,2005.0,468.0,574.7,898.0,901.3,127.0,103.3,164.5,164.4,32.0,64.2,156.1,155.9,16.6,6.9,9.7,1287.3,537.7,749.6,1312.0,548.0,764.0
Container,4,4,25.1,28.3,2006.2,2006.2,2003.3,2003.5,107.8,211.1,198.1,190.5,18.0,17.0,20.8,20.6,32.5,34.5,54.0,53.3,5.1,2.0,3.1,394.8,155.4,239.4,402.4,158.4,244.0
Chemical tanker,3,2,64.8,107.6,2012.0,2010.0,2014.4,2014.5,832.4,614.8,723.6,737.3,244.0,159.5,252.0,254.6,62.0,58.2,51.5,51.3,8.7,5.7,3.0,675.3,444.2,231.1,688.2,452.7,235.5
Service - tug,1,1,0.0,0.0,1981.0,1981.0,1981.0,1981.0,185.8,185.8,185.8,185.8,31.0,31.0,31.0,31.0,171.0,171.0,171.0,171.0,0.2,0.1,0.1,18.0,8.8,9.2,18.4,9.0,9.4
Liquefied gas tanker,1,1,2.6,3.2,2002.0,2002.0,2002.0,2002.0,448.5,448.5,448.5,448.5,208.0,208.0,208.0,208.0,13.0,13.0,13.0,13.0,1.2,1.0,0.2,88.9,73.7,15.2,90.6,75.1,15.5
Vehicle,1,1,20.0,6.3,2004.0,2004.0,2004.0,2004.0,331.9,331.9,331.9,331.9,27.0,27.0,27.0,27.0,8.0,8.0,8.0,8.0,1.0,0.6,0.4,73.8,46.2,27.6,75.2,47.1,28.1
