Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Ferry-pax only,105,1,12.9,12.5,1997.0,1997.0,1997.0,1997.0,185.2,185.2,477.3,477.3,11.0,11.0,16.8,16.8,38.0,38.0,214.0,214.0,22.4,6.5,15.9,1680.6,488.3,1192.3,1712.9,497.6,1215.2
Oil tanker,82,2,307.6,442.2,2014.6,2014.5,2014.1,2014.1,465.3,459.2,780.5,779.1,58.0,57.5,80.4,80.4,79.0,79.0,839.6,837.1,181.2,61.4,119.8,13691.9,4648.5,9043.4,13954.8,4737.8,9217.0
General cargo,71,6,162.9,228.4,2007.2,2002.0,2006.1,2006.3,337.7,432.7,419.6,419.3,32.0,76.1,144.1,133.8,43.0,180.3,91.5,86.2,56.6,44.0,12.6,4332.7,3384.2,948.5,4415.9,3449.2,966.7
Ro-Ro,54,1,6.2,9.1,1995.0,1995.0,1995.0,1995.0,195.7,195.7,247.8,247.8,23.0,23.0,59.4,59.4,77.5,77.5,100.7,100.7,59.7,16.0,43.7,4481.6,1201.8,3279.8,4567.6,1224.8,3342.8
Cruise,41,7,385.1,44.8,1985.7,1990.0,1999.0,1997.2,207.0,221.5,278.0,275.1,19.0,19.6,28.6,28.6,8.0,9.2,8.2,8.4,96.8,77.5,19.3,7478.4,5992.6,1485.8,7622.0,6107.7,1514.3
Container,29,9,151.9,199.0,2002.1,2000.7,2000.0,1999.8,359.6,320.4,356.4,352.7,30.0,33.3,36.3,36.1,35.0,45.1,39.5,40.3,40.4,26.7,13.7,3085.2,2051.2,1034.1,3144.5,2090.5,1053.9
Chemical tanker,15,3,48.2,66.0,2009.3,2009.3,2009.3,2009.3,522.9,573.1,576.4,583.3,65.0,73.2,88.3,88.2,66.0,61.3,110.8,105.5,31.8,14.3,17.5,2401.4,1087.9,1313.5,2447.5,1108.7,1338.7
Bulk carrier,10,8,129.0,210.9,2005.2,2007.2,2005.6,2005.4,663.8,641.2,615.9,618.6,65.5,150.2,359.7,373.5,51.5,81.4,74.8,72.7,18.4,16.9,1.5,1409.7,1299.0,110.7,1436.8,1323.9,112.8
Refrigerated bulk,2,1,8.6,10.1,1986.0,1986.0,1986.0,1986.0,901.7,901.7,901.7,901.7,912.5,912.5,1166.3,1166.3,89.5,89.5,75.6,75.6,26.9,24.6,2.3,2018.2,1846.8,171.4,2056.9,1882.2,174.7
Service - tug,2,1,1.2,0.7,2010.0,2010.0,2010.0,2010.0,2141.7,2141.7,2141.7,2141.7,4097.0,4097.0,7634.7,7634.7,48.0,48.0,20.0,20.0,8.5,8.5,0.1,641.6,635.0,6.6,653.9,647.2,6.7
Service - other,1,1,0.8,0.4,1973.0,1973.0,1973.0,1973.0,551.6,551.6,551.6,551.6,94.0,94.0,94.0,94.0,70.0,70.0,70.0,70.0,0.5,0.3,0.1,34.2,23.8,10.4,34.8,24.3,10.6
