Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Toamasina,113,15,317.4,175.1,2000.0,2001.1,2003.3,2006.2,249.1,578.7,474.3,489.6,22.0,313.2,90.2,157.8,68.0,162.3,54.6,122.3,159.1,76.8,82.3,12070.6,5881.8,6188.8,12302.3,5994.7,6307.6
Maroantsetra,79,4,13.9,10.6,1995.7,1985.2,1992.4,1995.4,179.5,243.0,372.7,338.6,13.0,21.9,24.8,24.1,44.0,34.9,146.8,186.4,30.6,11.1,19.4,2295.3,835.0,1460.3,2339.4,851.0,1488.4
Diego Suarez,64,22,286.0,230.9,2002.5,1998.7,2000.0,2003.6,339.3,353.0,258.0,347.0,27.5,90.8,61.4,85.8,36.5,96.1,46.5,72.4,125.1,76.6,48.5,9518.5,5857.0,3661.5,9701.3,5969.5,3731.8
Majunga,44,11,137.1,193.2,2007.2,2000.5,2007.6,2008.1,639.6,552.4,573.5,577.2,66.0,65.5,78.1,78.2,53.5,75.1,64.6,64.6,69.3,38.0,31.3,5250.3,2900.5,2349.7,5351.1,2956.2,2394.9
Toliara,38,14,175.1,261.4,2006.0,2003.2,2006.3,2007.0,348.4,621.5,575.8,584.6,45.5,121.5,166.0,183.1,39.5,74.5,78.0,77.3,45.7,34.0,11.7,3493.6,2613.6,880.0,3560.7,2663.8,896.9
Ehola,34,9,183.3,263.8,2009.3,2003.3,2011.9,2011.9,339.4,559.2,987.8,980.0,32.5,60.1,66.5,66.4,46.0,48.0,1324.8,1319.0,57.0,21.0,36.0,4359.4,1609.9,2749.5,4443.1,1640.8,2802.3
Nosy-Be,33,11,77.3,56.3,2004.5,2000.2,2009.2,2010.4,208.6,253.7,211.1,262.1,20.0,25.9,40.9,67.3,40.0,50.5,30.7,48.5,39.6,23.7,15.9,3013.9,1813.1,1200.8,3071.7,1847.9,1223.8
Morondava,5,3,9.3,9.4,1985.8,1986.3,1998.1,2007.5,414.4,387.0,439.5,548.8,37.0,49.3,72.2,87.8,16.0,26.8,41.1,51.8,4.4,3.1,1.3,329.9,233.1,96.7,336.2,237.6,98.6
Manakara,1,1,13.9,22.7,1997.0,1997.0,1997.0,1997.0,735.8,735.8,735.8,735.8,1714.0,1714.0,1714.0,1714.0,40.0,40.0,40.0,40.0,4.1,4.0,0.1,307.3,300.1,7.3,313.2,305.8,7.4
Antalaha,1,1,1.1,0.6,2010.0,2010.0,2010.0,2010.0,4017.1,4017.1,4017.1,4017.1,8137.0,8137.0,8137.0,8137.0,16.0,16.0,16.0,16.0,8.2,8.2,0.0,616.7,614.9,1.8,628.5,626.7,1.9
