Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Toamasina,109,12,268.9,383.9,2000.2,2001.1,2008.2,2008.2,196.2,889.9,1122.8,1134.4,14.0,951.8,265.8,273.9,53.0,72.0,934.9,934.6,132.3,62.9,69.4,10027.9,4765.2,5262.7,10220.4,4856.6,5363.7
Maroantsetra,78,5,15.9,17.5,1995.8,1987.0,1993.0,1994.6,189.6,250.2,261.1,243.3,13.0,25.4,29.1,29.1,39.0,42.0,85.0,86.0,45.0,9.6,35.4,3383.4,726.5,2656.9,3448.4,740.4,2707.9
Majunga,59,23,248.4,346.2,2006.1,2002.2,2006.0,2007.0,372.7,503.4,452.3,458.5,39.0,106.6,89.2,84.0,49.0,60.6,74.8,78.0,104.3,63.2,41.1,7895.9,4806.3,3089.6,8047.5,4898.6,3149.0
Toliara,47,8,111.9,157.9,2008.1,1997.2,2009.6,2010.2,351.0,462.3,468.8,475.8,39.0,54.4,54.6,54.8,46.0,53.4,61.8,62.5,48.9,30.0,19.0,3727.4,2303.7,1423.7,3799.0,2347.9,1451.1
Nosy-Be,46,16,239.2,74.3,2001.5,1998.9,2002.2,2006.5,198.1,285.3,252.3,260.7,19.0,26.2,26.5,35.7,28.0,121.2,23.6,73.3,85.9,51.8,34.1,6576.6,3997.3,2579.2,6702.8,4074.1,2628.7
Diego Suarez,39,15,253.1,134.1,2003.5,1999.9,2001.2,2005.6,365.8,547.0,348.0,418.8,37.0,307.8,92.8,175.3,56.0,138.8,47.0,108.2,90.0,59.5,30.5,6865.7,4561.1,2304.5,6997.5,4648.7,2348.8
Ehola,28,7,67.9,99.3,2008.2,2006.9,2007.6,2007.4,339.4,447.8,440.2,439.9,37.0,51.1,66.9,67.3,42.5,153.5,80.1,75.4,33.1,17.2,16.0,2517.4,1316.7,1200.7,2565.7,1341.9,1223.8
Morondava,4,2,5.1,4.5,1972.5,1985.0,1987.7,2004.2,325.3,380.0,386.6,478.9,30.0,48.5,55.3,70.6,15.5,27.5,30.4,41.9,2.8,1.8,1.0,209.1,137.7,71.4,213.1,140.4,72.7
Manakara,1,1,3.9,6.3,1997.0,1997.0,1997.0,1997.0,205.1,205.1,205.1,205.1,19.0,19.0,19.0,19.0,16.0,16.0,16.0,16.0,0.4,0.3,0.0,27.3,24.4,2.9,27.8,24.8,3.0
Antalaha,1,1,0.1,0.0,2010.0,2010.0,2010.0,2010.0,266.3,266.3,266.3,266.3,57.0,57.0,57.0,57.0,80.0,80.0,80.0,80.0,0.3,0.3,0.1,24.9,20.2,4.7,25.4,20.6,4.8
