Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cienfuegos,310,83,2588.4,3432.2,1999.1,2001.4,2002.1,2003.1,489.3,586.1,610.3,673.8,45.5,189.0,140.2,160.7,38.0,109.5,96.3,110.2,637.4,440.9,196.5,48972.3,33965.6,15006.7,49912.6,34617.8,15294.8
Havana,288,120,3403.9,4405.4,2000.3,2001.2,2001.7,2003.7,549.3,886.3,773.1,848.5,54.5,181.5,296.5,361.2,31.5,147.5,70.9,82.2,828.3,616.9,211.5,63547.7,47443.3,16104.4,64767.8,48354.2,16413.6
Santiago De Cuba,240,66,2282.1,3004.1,1997.9,1999.9,1998.5,1999.7,586.0,834.0,666.4,690.8,49.0,166.4,181.8,188.6,38.5,94.8,68.0,72.7,659.7,457.1,202.5,50741.5,35234.8,15506.7,51715.7,35911.3,15804.4
Matanzas,199,40,2393.1,3938.8,2000.6,2000.9,1999.6,1999.5,461.6,489.2,545.9,543.2,56.0,99.2,116.1,117.0,41.0,82.0,65.4,64.7,638.4,383.1,255.3,49255.3,29583.5,19671.8,50201.0,30151.5,20049.5
Mariel,100,38,543.9,751.6,1997.0,1999.8,2001.0,2000.8,495.8,654.6,570.6,575.1,52.5,164.2,189.2,194.3,44.0,73.1,66.7,70.3,153.6,105.9,47.7,11744.5,8113.3,3631.2,11970.0,8269.0,3700.9
Puerto De Pastelillo,86,26,942.9,1467.3,1996.8,1999.4,1999.8,1999.9,485.9,605.2,637.3,641.1,53.5,91.3,79.7,79.6,44.5,82.7,77.2,77.4,242.4,154.9,87.5,18683.8,11968.8,6715.0,19042.5,12198.6,6843.9
Moa,73,22,582.5,901.7,2002.5,2001.4,2001.9,2001.8,477.4,555.2,554.2,556.0,40.0,97.8,85.7,87.3,55.0,94.6,58.8,57.4,180.0,117.6,62.3,13863.4,9087.7,4775.7,14129.5,9262.2,4867.3
Nueva Gerona,66,13,127.5,132.3,1998.0,1992.4,2003.5,2005.4,343.4,6616.8,881.5,754.9,40.5,247.3,511.8,196.1,99.5,194.7,409.5,166.3,110.2,37.0,73.2,8309.2,2809.2,5500.0,8468.8,2863.2,5605.6
Varadero,38,28,607.5,1042.7,1997.2,1996.9,1999.3,1999.2,417.2,634.7,638.7,638.0,40.0,54.8,85.8,86.2,32.0,122.4,294.9,290.8,122.4,54.0,68.4,9437.9,4175.0,5262.9,9619.1,4255.2,5363.9
Casilda,34,13,35.3,35.2,1994.9,1993.8,2003.1,2004.1,144.1,268.4,260.3,303.8,16.5,33.7,57.5,67.0,43.0,63.4,51.9,48.2,33.6,7.1,26.4,2525.6,539.1,1986.5,2574.1,549.4,2024.6
Puerto Padre,31,15,68.3,107.3,2007.1,2000.2,2001.9,2001.5,167.5,395.9,436.6,441.9,37.0,114.3,132.9,135.4,84.0,67.8,112.2,114.7,19.0,13.0,5.9,1444.8,994.6,450.3,1472.6,1013.7,458.9
Antilla,28,4,31.5,3.2,2011.9,1996.0,1997.1,1998.1,126.5,239.9,453.9,354.6,19.0,21.0,38.4,41.3,53.5,29.4,28.5,34.4,19.4,13.0,6.4,1491.0,1000.8,490.2,1519.6,1020.1,499.6
Bufadero,27,15,98.9,152.8,1996.9,2002.1,2000.4,2000.4,379.3,434.8,410.4,406.5,43.0,59.0,74.4,75.3,49.0,58.9,58.5,59.0,21.7,13.1,8.6,1662.4,1008.3,654.2,1694.3,1027.6,666.7
Guayabal,18,15,78.1,126.8,2005.6,2004.1,2004.6,2004.6,258.5,482.6,318.0,316.1,25.5,49.6,27.9,25.9,42.5,110.8,66.8,62.7,15.2,9.5,5.7,1155.1,722.9,432.2,1177.3,736.8,440.5
Niquero,17,12,97.9,163.8,1995.8,1994.1,2002.5,2002.5,300.6,466.2,692.4,722.3,50.0,48.3,84.8,86.1,57.0,115.7,68.7,64.3,15.6,11.1,4.5,1198.0,856.5,341.5,1221.0,873.0,348.0
Puerto Da Vita,17,11,77.7,128.4,2000.1,1998.8,2000.0,1999.7,410.0,505.2,496.2,518.2,38.0,70.6,52.7,55.2,107.0,113.0,64.8,63.3,24.6,8.3,16.2,1889.4,639.0,1250.4,1925.7,651.3,1274.4
Cabanas,15,9,77.4,138.1,1991.8,1995.9,2001.6,1999.5,806.9,726.8,714.8,774.1,46.0,53.4,53.2,52.4,101.0,132.1,170.8,284.7,43.3,7.9,35.4,3273.9,601.8,2672.1,3336.7,613.3,2723.4
Preston,14,8,236.9,408.8,1995.9,1994.6,1998.4,1998.4,471.0,525.3,471.7,473.9,40.5,63.6,46.9,47.0,53.0,76.4,73.7,75.0,46.5,19.3,27.1,3597.1,1495.5,2101.6,3666.1,1524.2,2141.9
Bahia Honda,9,8,176.2,111.1,2002.0,2001.0,2001.3,2001.9,520.5,761.2,1675.9,1587.0,55.0,61.2,130.1,126.9,8.0,23.4,56.4,28.6,37.6,28.7,8.9,2908.8,2220.4,688.5,2964.7,2263.0,701.7
Palo Alto,9,6,7.6,10.7,1994.4,1994.8,2000.1,1999.4,316.2,423.8,358.0,360.8,23.0,68.9,93.6,94.4,75.0,127.8,183.8,183.3,3.0,1.8,1.2,225.0,132.0,93.0,229.3,134.6,94.8
Nicaro,8,6,79.0,115.7,2000.2,1997.7,2005.8,2005.9,590.7,1350.3,985.3,905.9,91.0,150.0,395.3,397.1,47.5,350.3,139.6,130.8,19.9,10.7,9.2,1524.0,823.0,701.0,1553.3,838.8,714.5
Caibarien,8,8,48.9,81.3,2000.8,2000.8,2001.9,2001.9,465.4,554.1,787.9,806.5,64.5,614.8,185.9,184.9,11.5,85.9,18.8,17.9,14.3,12.5,1.8,1081.7,948.3,133.4,1102.5,966.5,135.9
