Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,289,34,6217.0,675.9,1995.6,1994.4,1997.8,1997.7,306.8,550.2,414.8,441.4,19.0,45.3,110.2,128.1,21.0,27.1,23.8,23.5,1622.8,1086.3,536.5,125110.2,83582.8,41527.4,127512.3,85187.6,42324.8
Container,262,53,5492.6,6958.8,2006.4,2005.0,2005.3,2005.3,839.4,1477.6,1299.0,1308.5,60.0,102.3,165.1,166.7,22.5,20.7,31.6,31.7,1105.7,982.8,122.9,85137.9,75768.9,9369.0,86772.6,77223.6,9548.9
Bulk carrier,152,109,11488.9,18255.0,2004.8,2007.9,2009.7,2009.6,3260.2,3831.0,4021.2,4016.1,336.0,351.1,553.4,553.9,66.5,215.0,235.9,233.9,1340.8,1245.7,95.1,103495.9,96264.8,7231.0,105483.0,98113.1,7369.9
General cargo,146,64,1712.5,2446.8,2003.1,2003.1,2004.8,2004.7,894.7,1471.3,1550.5,1587.3,84.5,168.8,268.5,276.5,49.5,101.5,87.3,88.1,357.1,306.0,51.2,27364.1,23498.2,3865.9,27889.5,23949.3,3940.1
Chemical tanker,80,39,4514.8,7354.8,2007.1,2007.5,2007.3,2007.3,2272.5,3091.4,2707.4,2703.3,206.5,268.0,411.6,414.2,30.5,43.9,53.8,53.1,773.0,704.7,68.2,59650.7,54402.3,5248.4,60796.0,55446.8,5349.2
Liquefied gas tanker,60,11,1275.9,1399.8,2000.5,2004.3,2011.5,2010.6,1022.8,2392.8,2212.1,2005.8,114.0,174.2,362.1,345.8,23.5,34.4,18.7,19.5,216.2,190.8,25.3,16573.7,14657.6,1916.2,16891.9,14939.0,1953.0
Oil tanker,59,19,6035.1,10814.6,2001.0,2003.5,2001.2,2001.2,1485.4,2624.4,2106.3,2117.3,148.0,262.7,365.1,364.5,58.0,63.3,87.4,88.4,678.4,526.0,152.3,52502.6,40702.5,11800.1,53510.7,41484.0,12026.7
Refrigerated bulk,50,30,1081.3,1185.5,1993.0,1992.8,1994.0,1994.0,1058.1,3252.3,2796.0,2755.7,111.0,258.9,313.5,311.3,85.5,86.1,86.4,87.0,523.4,433.5,89.9,39783.7,33020.1,6763.6,40547.5,33654.1,6893.4
Service - tug,23,14,4.4,2.7,1984.3,1982.6,1977.9,1983.3,744.9,801.4,756.9,793.1,151.0,246.7,223.4,281.9,8.0,107.9,96.1,163.6,18.6,16.5,2.1,1397.4,1242.9,154.6,1424.2,1266.7,157.5
Vehicle,23,14,1751.3,553.8,2005.1,2004.0,2000.3,2000.4,1077.7,1846.8,1452.6,1408.2,66.0,127.8,338.2,324.4,16.0,16.6,16.2,16.3,118.7,110.9,7.9,9176.1,8567.2,608.9,9352.3,8731.7,620.6
Ro-Ro,8,6,38.2,48.8,1992.5,1999.7,2004.8,2009.0,1263.9,3315.4,1964.4,3292.4,183.0,471.0,1195.8,1391.2,24.5,39.5,40.5,44.6,26.9,25.2,1.8,2025.2,1893.5,131.7,2064.1,1929.8,134.2
Service - other,8,7,32.5,30.8,1995.6,1997.0,1993.3,1993.1,723.2,695.1,782.9,756.1,64.5,392.9,497.4,399.5,10.5,11.0,18.0,18.7,11.6,11.0,0.6,878.3,836.5,41.8,895.1,852.5,42.6
Offshore,5,4,241.5,409.7,1999.6,2000.2,1995.3,1996.4,1130.4,1529.1,1842.6,1805.7,134.0,257.9,351.6,332.3,67.0,61.6,146.3,159.6,21.9,20.7,1.2,1678.6,1587.4,91.2,1710.8,1617.8,93.0
Ferry-pax only,2,2,0.4,0.2,1924.5,1924.5,1920.4,1924.7,815.8,815.8,833.1,496.5,133.5,133.5,176.6,131.7,44.5,44.5,23.1,45.4,0.6,0.5,0.2,45.5,34.2,11.4,46.4,34.8,11.6
Ferry-RoPax,2,2,78.7,22.1,2003.5,2003.5,1991.5,1990.4,9473.3,9473.3,10600.1,12756.8,4276.5,4276.5,7504.5,7814.7,49.0,49.0,29.2,27.2,56.3,55.7,0.6,4223.5,4178.8,44.7,4304.5,4259.0,45.5
Miscellaneous - fishing,1,1,0.1,0.0,1982.0,1982.0,1982.0,1982.0,143.0,143.0,143.0,143.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.1,2.7,0.4,3.2,2.7,0.4
