Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United States of America,6641,1588,147301.8,178984.9,1994.9,2003.7,2005.5,2005.4,326.8,1145.8,748.9,858.7,36.0,126.9,173.0,221.5,12.0,61.6,43.7,54.6,22310.2,19415.8,2894.3,1683654.6,1466329.7,217325.0,1715980.8,1494483.2,221497.6
China,678,557,182578.8,275699.4,2010.3,2010.7,2010.4,2010.5,5238.7,5418.2,5107.6,5163.3,468.0,528.9,468.6,502.4,72.0,128.6,106.9,118.0,15755.7,15180.1,575.6,1215633.5,1172412.3,43221.2,1238973.7,1194922.6,44051.1
Japan,482,408,101818.3,151015.1,2010.8,2011.1,2010.5,2011.1,4461.1,4537.9,4463.4,4492.7,390.5,446.6,435.9,468.8,60.5,105.9,92.2,108.3,6945.4,6653.4,292.0,535394.8,513468.4,21926.4,545674.3,523327.0,22347.3
"Korea, Republic of",469,350,132861.0,180986.2,2010.0,2010.2,2010.0,2010.2,4694.8,4876.8,4761.2,4782.2,378.0,436.8,391.5,422.7,67.0,114.6,94.9,109.1,11445.5,11011.9,433.7,883147.4,850585.5,32561.9,900103.8,866916.7,33187.1
Netherlands,286,232,36320.4,64109.4,2009.2,2009.7,2010.3,2010.5,3304.3,3282.8,3201.2,3202.1,295.5,313.5,317.8,319.6,52.0,78.3,102.3,107.1,3358.9,3131.8,227.1,255959.5,238897.0,17062.5,260873.9,243483.8,17390.1
United Kingdom of Great Britain and Northern Ireland,284,170,45673.0,45561.9,2007.6,2007.9,2009.0,2008.7,2841.3,2882.9,2804.7,2830.0,209.0,257.2,224.1,250.5,30.5,66.3,55.1,78.8,3664.4,3464.5,199.9,281046.9,266030.0,15016.9,286443.0,271137.8,15305.2
Spain,283,185,34765.6,50820.0,2007.9,2007.5,2008.3,2008.4,3002.1,3486.3,3133.1,3139.1,242.0,336.5,320.1,315.0,64.0,88.8,80.1,85.7,3930.8,3668.0,262.9,300788.8,281054.3,19734.4,306563.9,286450.6,20113.3
Brazil,165,129,19525.0,33153.9,2010.8,2010.7,2011.2,2011.1,3998.7,4355.8,4119.1,4088.3,388.0,428.8,446.5,446.0,72.0,89.4,92.9,94.1,2004.4,1949.1,55.2,154189.7,150005.8,4183.9,157150.2,152885.9,4264.3
Germany,146,84,24350.5,25929.1,2008.6,2010.5,2008.6,2009.6,3393.7,3667.1,3420.5,3437.8,256.5,336.5,304.8,344.1,56.0,72.0,65.9,85.7,2128.3,2036.3,92.0,162487.5,155572.6,6914.9,165607.3,158559.6,7047.7
Gibraltar,137,135,20918.9,38346.6,2010.4,2010.4,2010.8,2010.8,3109.7,3219.1,3145.7,3141.4,284.0,305.2,317.8,317.7,72.0,103.9,117.5,119.2,1603.2,1395.7,207.5,122933.2,107345.9,15587.3,125293.5,109407.0,15886.5
Belgium,128,82,13120.3,16096.7,2006.7,2008.5,2007.1,2007.5,3357.9,3316.0,3348.2,3371.7,267.5,301.0,284.5,298.0,57.0,65.5,61.3,72.4,1614.4,1529.4,85.0,123347.7,116959.3,6388.4,125715.9,119204.9,6511.0
Portugal,110,64,14140.8,19025.1,2004.4,2006.0,2004.0,2004.2,2983.4,2900.6,2894.2,2928.8,211.5,249.9,224.5,232.9,62.5,87.8,91.4,102.9,1691.3,1577.9,113.4,129608.7,121094.6,8514.1,132097.2,123419.6,8677.6
Russian Federation,101,97,19372.7,32801.8,2011.9,2011.8,2011.8,2011.6,4423.8,4690.0,4700.4,4741.6,402.0,475.7,519.4,536.8,83.0,120.3,119.5,122.3,1469.3,1397.3,72.0,113094.6,107688.6,5406.0,115266.0,109756.2,5509.8
Sri Lanka,90,41,65795.7,71329.4,2010.6,2010.0,2011.0,2011.0,8127.1,8116.3,8140.3,8140.1,456.0,460.0,459.4,459.3,14.0,14.9,15.7,15.8,7320.8,7289.9,31.0,566308.5,563983.7,2324.9,577181.7,574812.2,2369.5
France,89,48,14287.8,22632.6,2009.9,2009.6,2010.0,2009.9,3381.5,3203.8,3192.7,3173.5,242.0,298.9,268.9,276.0,36.0,131.6,85.6,97.6,1390.8,1333.5,57.3,106981.4,102668.2,4313.2,109035.4,104639.4,4396.0
Mexico,73,63,4662.9,7320.5,2010.0,2009.4,2010.2,2010.4,2629.1,2774.8,2469.2,2463.4,253.0,315.8,322.0,328.7,77.0,147.2,122.0,124.8,526.5,468.0,58.5,40224.0,35828.9,4395.0,40996.3,36516.8,4479.4
Iceland,66,24,1948.4,1240.6,2005.9,2003.0,2005.5,2008.4,1645.5,2997.1,1933.2,1988.2,131.0,249.0,196.6,215.4,8.0,184.1,149.8,128.0,470.7,442.2,28.5,36021.7,33884.7,2137.0,36713.3,34535.3,2178.0
"Taiwan, Province of China",60,25,19691.6,21715.5,2004.5,2006.0,2004.0,2004.3,5545.0,6020.7,5623.8,5658.2,410.5,516.1,416.8,430.1,68.0,84.0,74.5,75.4,2175.1,2103.4,71.7,167951.0,162570.2,5380.8,171175.6,165691.5,5484.1
Puerto Rico,52,13,1272.4,1462.6,2008.2,2008.2,2008.4,2008.3,1646.3,1639.0,1673.9,1672.6,129.5,127.4,130.5,129.9,12.0,15.5,15.7,15.8,249.7,240.1,9.6,19097.1,18378.3,718.8,19463.7,18731.2,732.6
Malta,50,46,7308.7,13000.4,2007.4,2007.5,2008.6,2008.6,4271.7,4320.3,4226.7,4213.4,392.5,395.6,386.6,384.8,36.5,60.6,77.8,78.4,661.1,623.4,37.7,50774.2,47946.0,2828.2,51749.1,48866.6,2882.5
Norway,45,40,3905.4,6348.6,2009.0,2009.0,2010.6,2011.0,3214.0,3180.6,3244.4,3196.6,309.0,302.5,315.3,313.9,49.0,117.2,93.6,88.0,511.4,418.4,93.0,38069.9,31087.4,6982.6,38800.9,31684.2,7116.6
Colombia,44,25,4148.3,6919.9,1998.1,2001.8,1997.2,1997.3,2443.4,2508.7,2460.8,2460.6,221.5,247.5,231.7,232.0,44.5,69.5,65.4,65.8,373.6,342.8,30.9,28698.7,26380.2,2318.4,29249.7,26886.7,2363.0
Denmark,41,36,2412.6,3918.4,2007.6,2007.8,2009.1,2009.3,3338.8,3428.3,3398.6,3403.7,313.0,386.5,321.9,315.1,25.0,109.7,60.6,54.5,388.5,371.0,17.5,29510.9,28196.7,1314.2,30077.5,28738.1,1339.4
Panama,38,38,2681.8,4368.3,2009.8,2009.8,2010.9,2011.1,3276.5,3099.3,3102.5,3099.6,286.0,302.7,315.2,315.6,65.0,96.7,90.4,88.1,344.3,319.8,24.4,26367.5,24533.5,1834.0,26873.7,25004.5,1869.2
Australia,38,38,15903.9,29315.1,2013.1,2013.1,2012.1,2012.0,6813.9,8449.6,9108.8,9177.5,707.0,780.1,931.0,937.9,177.5,188.3,147.8,146.1,1142.1,1108.7,33.4,88261.1,85749.7,2511.5,89955.7,87396.1,2559.7
Morocco,38,33,6039.2,9652.8,2010.2,2009.8,2012.3,2012.7,3283.4,5139.8,4988.7,5194.2,312.5,494.8,717.5,759.0,70.5,100.9,159.7,168.5,646.4,614.3,32.1,49692.7,47285.7,2407.0,50646.8,48193.6,2453.3
Greenland,37,22,987.9,229.8,1993.0,1992.8,1991.9,1989.5,879.6,2171.8,1691.6,2310.6,67.0,279.3,406.7,556.6,16.0,57.3,48.1,62.3,227.5,204.5,23.0,17302.3,15558.0,1744.3,17634.5,15856.7,1777.8
Jamaica,34,22,1893.7,2939.7,2008.8,2009.2,2008.5,2008.5,2499.8,2653.0,2555.5,2596.4,221.5,260.0,272.1,276.4,52.5,108.5,101.8,104.5,239.5,222.6,16.9,18341.2,17066.1,1275.2,18693.4,17393.8,1299.6
Italy,34,23,6128.1,7111.6,2005.2,2006.4,2004.9,2003.3,4119.2,3890.2,4035.3,4210.4,270.5,289.6,286.2,298.2,46.5,51.6,54.0,67.2,645.8,621.4,24.3,49634.4,47806.2,1828.2,50587.4,48724.1,1863.3
Turkey,34,31,6776.6,12007.6,2007.9,2007.6,2009.0,2009.0,5119.4,5517.8,5496.7,5476.0,446.0,550.1,619.4,594.0,42.0,78.3,109.1,111.6,604.0,556.2,47.8,46467.5,42878.7,3588.8,47359.6,43701.9,3657.7
Bahamas,33,29,2520.7,4347.1,2006.2,2006.5,2006.7,2006.8,2435.5,2216.3,2247.4,2235.6,285.0,270.7,292.1,290.5,92.0,102.3,108.3,108.1,457.9,335.5,122.4,34792.5,25599.6,9193.0,35460.5,26091.1,9369.5
Sweden,28,26,1488.4,2424.1,2007.8,2007.7,2008.6,2008.9,3339.2,3325.9,3331.3,3338.3,313.0,309.7,308.8,309.1,42.0,60.3,63.7,61.9,243.0,229.0,14.0,18495.5,17440.9,1054.5,18850.6,17775.8,1074.8
Cuba,27,11,1046.7,1527.1,2004.9,2006.9,2007.0,2007.2,1631.3,3714.2,2943.2,3088.3,137.0,383.2,864.1,911.7,47.0,53.5,36.1,34.1,179.5,170.1,9.4,13764.0,13056.6,707.5,14028.3,13307.3,721.0
Singapore,24,24,13513.7,25217.5,2011.2,2011.2,2010.7,2010.6,10113.1,10675.8,11875.5,12038.2,1004.0,1032.5,1215.2,1227.0,55.5,114.5,99.5,98.5,971.7,938.0,33.7,75086.5,72556.7,2529.8,76528.2,73949.8,2578.4
Virgin Islands (U.S.),24,10,666.2,1025.4,2005.6,2003.9,2005.6,2005.8,1696.0,2224.4,2041.9,2076.1,128.0,248.2,247.6,264.8,24.0,62.4,58.6,61.6,146.5,131.5,14.9,11205.4,10083.2,1122.1,11420.5,10276.8,1143.7
Trinidad and Tobago,23,18,1714.8,2018.1,2008.3,2008.5,2008.3,2008.3,2847.4,2736.8,2500.8,2611.1,243.0,238.8,215.8,229.5,26.0,47.4,36.2,35.0,293.6,279.7,13.9,20315.2,19274.6,1040.6,20705.3,19644.7,1060.6
Ireland,23,22,2255.6,2548.0,2005.0,2005.1,2007.0,2009.8,2755.4,2600.1,2503.8,2652.6,241.0,258.1,248.8,311.7,49.0,126.3,87.9,121.2,308.5,277.8,30.7,23682.5,21378.0,2304.5,24137.2,21788.4,2348.7
"Bonaire, Sint Eustatius and Saba",22,16,1731.1,3036.9,2011.8,2011.4,2012.6,2012.6,2429.1,2441.2,2428.4,2427.1,246.0,256.1,249.0,248.5,91.0,99.5,98.9,98.4,175.3,163.4,11.8,13411.7,12501.2,910.5,13669.2,12741.3,928.0
Sint Maarten (Dutch part),20,3,347.6,469.2,2007.2,2008.3,2007.4,2007.3,1646.2,1784.5,1693.0,1686.1,111.0,127.0,116.5,115.5,10.0,13.7,28.7,28.8,93.9,87.3,6.7,7194.7,6694.8,499.9,7332.8,6823.3,509.5
Chile,19,19,2750.8,4524.6,2012.1,2012.1,2012.6,2013.0,5386.2,5973.1,5788.9,5712.8,504.0,593.2,606.3,581.5,127.0,134.5,144.1,148.1,337.8,326.5,11.3,26016.8,25171.1,845.7,26516.4,25654.4,862.0
Egypt,18,18,5115.1,9494.8,2009.0,2009.0,2009.4,2009.4,4951.0,5037.1,4932.9,4923.4,446.5,456.1,442.2,440.8,45.5,68.3,70.4,71.3,461.3,396.3,65.0,35481.2,30598.2,4883.0,36162.5,31185.7,4976.8
Nigeria,15,15,4770.7,9136.0,2009.3,2009.3,2008.9,2008.9,4916.4,4462.4,4851.7,4863.9,477.0,534.9,601.2,599.5,41.0,75.2,44.2,44.3,402.1,359.2,42.9,30938.4,27715.9,3222.4,31532.4,28248.1,3284.3
Guinea,15,12,2396.7,4419.4,2011.3,2012.7,2011.4,2011.3,3854.3,3867.0,3845.0,3843.4,511.0,497.2,486.9,487.7,135.0,196.4,181.3,181.0,209.3,192.4,16.9,16102.4,14794.9,1307.5,16411.5,15079.0,1332.6
Fiji,14,5,2012.8,2614.9,2007.1,2007.2,2007.0,2007.0,5212.0,5220.5,5243.9,5243.2,313.0,314.2,324.3,324.1,28.0,22.9,30.6,30.5,339.6,334.7,4.9,26247.0,25879.7,367.4,26750.9,26376.5,374.4
Cabo Verde,13,13,1819.6,3316.6,2012.2,2012.2,2013.3,2013.3,3135.1,3120.6,3151.5,3153.5,298.0,388.5,485.5,493.8,95.0,242.7,158.7,148.8,148.3,132.4,15.9,11378.1,10186.8,1191.4,11596.6,10382.4,1214.2
Indonesia,13,13,6412.3,12002.9,2010.4,2010.4,2010.7,2010.7,9910.4,9431.0,10079.9,10153.0,978.0,971.8,1125.1,1127.3,60.0,123.0,94.2,92.3,472.3,453.2,19.1,36453.2,35021.6,1431.6,37153.1,35694.0,1459.1
Poland,12,10,1388.7,2302.7,2009.2,2008.9,2011.2,2011.4,3759.9,4006.2,3984.0,3977.2,368.0,395.5,431.4,442.4,24.0,49.2,83.4,91.5,139.5,135.6,3.9,10607.9,10313.1,294.8,10811.6,10511.1,300.4
Dominican Republic,11,11,287.7,427.6,2005.5,2005.5,2008.7,2008.7,1881.4,1908.8,2288.1,2311.6,185.0,192.7,239.3,244.0,25.0,37.5,51.6,53.0,40.5,39.2,1.3,3096.1,2996.2,99.9,3155.6,3053.8,101.8
Peru,10,10,930.0,1483.1,2011.0,2011.0,2011.4,2011.3,4911.9,4856.7,4793.7,4810.3,441.0,468.9,497.9,504.3,76.5,99.7,104.1,104.6,121.2,115.1,6.1,9316.9,8860.0,456.9,9495.8,9030.1,465.7
Greece,9,9,1481.2,2501.0,2006.9,2006.9,2008.2,2008.1,4963.0,5502.8,5314.7,5234.4,474.0,511.3,510.3,500.3,30.0,47.0,64.0,60.1,145.7,141.7,4.0,11221.7,10923.4,298.3,11437.2,11133.1,304.1
Philippines,8,5,830.7,1184.6,2003.2,2008.8,2009.0,2012.1,4447.7,5572.3,5069.6,5799.0,324.0,449.7,449.1,503.7,19.0,88.9,94.1,111.0,98.4,95.7,2.7,7591.4,7390.2,201.1,7737.1,7532.1,205.0
Guatemala,8,8,632.7,1035.6,2009.2,2009.2,2009.6,2009.6,3463.5,3493.7,3527.0,3530.3,330.5,376.2,383.3,381.7,70.5,154.6,152.6,154.1,63.8,59.5,4.3,4892.0,4570.5,321.4,4985.9,4658.3,327.6
Estonia,8,8,798.6,1329.5,2009.6,2009.6,2009.4,2009.4,3980.4,4060.7,4041.3,4039.8,357.5,369.9,377.6,378.2,21.0,24.4,27.1,27.4,119.1,113.8,5.3,9049.5,8648.1,401.4,9223.3,8814.2,409.1
Malaysia,7,5,7222.8,13867.5,2011.0,2011.4,2010.9,2010.9,12369.7,11734.4,12230.9,12255.2,986.0,948.6,990.7,992.0,221.0,179.1,188.4,188.7,404.4,396.6,7.8,31264.3,30678.4,585.9,31864.5,31267.4,597.1
Venezuela (Bolivarian Republic of),6,6,479.9,849.3,2008.3,2008.3,2006.3,2006.2,2790.5,2528.8,2896.4,2905.7,301.5,378.3,434.4,436.8,55.0,58.7,83.4,83.8,48.8,41.7,7.2,3738.7,3201.2,537.6,3810.5,3262.6,547.9
Finland,6,6,504.2,816.9,2008.8,2008.8,2008.9,2009.0,4506.3,3773.1,3515.5,3500.8,373.0,328.7,399.9,400.6,37.5,50.0,69.2,70.5,71.7,66.3,5.4,5458.2,5050.1,408.1,5563.0,5147.1,416.0
Argentina,6,6,902.3,1529.1,2007.5,2007.5,2008.4,2008.3,6498.3,6558.1,6545.5,6540.2,534.5,541.3,546.2,545.1,18.5,28.5,33.3,33.1,109.7,105.7,3.9,8448.0,8153.0,295.0,8610.2,8309.6,300.6
Algeria,6,6,890.5,1594.4,2003.5,2003.5,2004.6,2004.5,3194.6,3365.8,3215.7,3257.9,299.0,340.8,349.3,352.5,50.5,57.7,68.5,69.1,85.5,71.8,13.7,6551.4,5523.3,1028.1,6677.2,5629.3,1047.8
Haiti,6,6,156.8,248.7,2008.7,2008.7,2007.7,2007.7,2250.5,2240.5,2306.7,2319.8,313.5,395.7,407.6,415.1,63.5,78.0,64.1,64.1,22.9,21.7,1.1,1745.9,1660.1,85.8,1779.4,1692.0,87.5
United Arab Emirates,6,5,2368.2,4550.4,2007.2,2005.4,2013.9,2014.0,3969.7,5719.4,9472.6,9804.3,339.5,491.9,861.0,865.4,97.0,181.4,160.0,158.1,172.7,151.0,21.7,13302.0,11675.0,1627.0,13557.4,11899.2,1658.3
Libya,5,5,1057.7,1895.7,2009.0,2009.0,2009.7,2009.9,3928.6,4196.3,3940.2,3925.1,393.0,387.8,372.3,370.5,38.0,61.0,72.0,72.8,99.3,84.1,15.2,7629.0,6490.3,1138.7,7775.4,6614.9,1160.5
Lithuania,5,5,379.0,596.2,2009.0,2009.0,2009.8,2009.8,4114.3,4296.3,4208.9,4200.1,393.0,415.4,412.6,410.8,166.0,148.0,183.4,184.5,56.7,54.0,2.7,4305.6,4103.5,202.2,4388.3,4182.2,206.1
South Africa,5,5,1347.7,2385.7,2010.8,2010.8,2011.1,2011.0,8258.0,8361.9,8175.6,8140.4,769.0,845.4,810.3,808.3,22.0,26.4,27.3,28.0,121.0,116.8,4.2,9330.4,9015.4,315.0,9509.6,9188.5,321.1
Côte d'Ivoire,5,5,674.4,1175.4,2006.0,2006.0,2006.0,2006.1,4651.1,4704.8,4528.3,4492.9,391.0,395.4,397.4,397.4,208.0,170.6,157.3,156.3,91.9,73.5,18.4,7038.2,5656.2,1382.1,7173.4,5764.8,1408.6
Bermuda,4,4,43.8,57.8,2013.5,2013.5,2013.2,2012.9,855.3,955.8,853.2,820.6,87.0,101.0,79.6,71.1,16.0,27.0,37.6,43.4,8.5,7.3,1.2,649.4,557.3,92.1,661.8,568.0,93.8
Hong Kong,4,4,1014.4,1892.4,2007.2,2007.2,2005.3,2005.2,5721.0,5749.0,5835.0,5847.3,536.0,661.0,844.3,867.2,75.0,141.8,124.3,119.9,62.0,59.1,2.9,4775.8,4558.2,217.6,4867.5,4645.7,221.8
