Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,4558,1783,568656.9,1045956.8,1999.3,2009.9,2010.4,2010.4,1779.5,4864.8,3860.0,4014.2,192.0,485.1,696.8,708.7,25.0,88.0,93.0,93.1,42596.7,41071.4,1525.3,3280984.1,3163960.9,117023.2,3343979.0,3224708.9,119270.1
Container,1707,421,246323.4,271067.5,2007.1,2007.2,2006.9,2006.8,1629.7,2496.5,2436.4,2413.2,117.0,170.2,282.2,280.1,21.0,29.2,24.4,24.4,27962.6,27065.8,896.8,2147357.3,2079334.6,68022.7,2188586.6,2119257.8,69328.8
Service - tug,998,129,219.9,152.9,1979.1,1980.3,1992.3,1992.7,198.2,1024.7,454.2,491.3,29.0,176.9,386.0,395.9,18.0,119.6,266.4,290.7,502.2,383.3,118.8,37721.9,28798.7,8923.2,38446.2,29351.7,9094.5
Chemical tanker,982,398,44208.1,72529.3,2008.8,2009.9,2009.9,2009.9,1458.2,2954.0,2128.3,2157.3,147.0,277.9,344.3,345.5,31.0,49.0,51.6,51.7,7126.4,6182.2,944.3,543846.1,472416.0,71430.1,554288.0,481486.4,72801.6
General cargo,717,333,31033.9,44949.6,2006.8,2007.6,2006.0,2005.9,2733.2,2800.2,2840.5,2862.3,223.0,260.6,388.9,395.0,36.0,59.0,57.0,57.8,4849.7,4601.1,248.6,370771.9,352082.1,18689.8,377890.7,358842.0,19048.7
Cruise,696,95,25154.3,2512.0,2002.6,2000.2,2003.2,2002.6,417.1,706.8,479.2,505.9,37.0,55.5,56.2,60.3,9.0,12.4,17.0,16.0,6058.2,5323.9,734.2,456417.3,401148.7,55268.6,465180.5,408850.8,56329.8
Oil tanker,560,328,74277.5,137262.7,2008.9,2008.8,2009.0,2009.1,2161.9,2591.1,2430.7,2442.6,208.5,273.0,356.9,357.4,37.5,64.1,70.3,70.8,7988.4,6082.0,1906.4,610787.6,465093.2,145694.4,622514.7,474023.0,148491.7
Vehicle,402,233,38152.4,12458.0,2006.8,2007.2,2005.5,2005.3,625.4,1611.7,1630.3,1602.2,58.0,117.4,268.3,265.1,13.0,23.9,34.3,34.1,2218.3,2120.5,97.8,169832.5,162385.6,7446.9,173093.2,165503.4,7589.8
Miscellaneous - fishing,170,42,296.6,147.4,1990.1,1983.6,1994.0,1993.8,144.7,3205.3,2717.9,2351.6,20.5,438.5,1062.8,1076.3,11.0,293.0,696.1,600.4,190.8,155.8,35.0,14394.9,11764.4,2630.5,14671.3,11990.3,2681.0
Ferry-RoPax,125,10,1030.8,144.2,1983.9,1983.3,1990.4,1987.4,120.6,6467.6,934.6,674.2,8.0,825.7,2177.4,2004.7,1.0,51.0,87.6,79.5,402.1,393.0,9.1,28313.4,27631.8,681.6,28857.1,28162.4,694.7
Service - other,125,41,699.6,310.0,1990.9,1994.9,2002.7,2002.3,217.9,2188.9,1771.6,1531.4,32.0,392.7,1198.8,1093.8,18.0,211.9,269.3,336.3,299.9,264.3,35.7,22724.1,20044.7,2679.4,23160.4,20429.5,2730.8
Ro-Ro,120,18,16970.1,9383.9,2013.3,2007.4,2015.4,2015.3,2419.4,2388.6,1660.4,1664.1,145.5,197.2,157.5,157.2,22.0,27.3,20.2,20.5,1244.3,1212.0,32.3,95223.1,92750.9,2472.2,97051.4,94531.7,2519.7
Offshore,31,14,336.3,518.1,1984.4,1998.1,2008.3,2008.1,149.6,3415.1,432.6,400.4,45.0,546.4,304.9,243.6,34.0,255.8,82.5,73.5,86.2,74.4,11.8,6494.2,5609.4,884.8,6618.9,5717.1,901.8
Ferry-pax only,28,6,55.4,5.7,1983.3,1981.2,2000.2,1994.3,1432.4,836.5,3144.0,2620.6,132.0,408.0,1050.0,960.2,7.5,105.8,15.3,29.8,80.3,76.2,4.2,6030.1,5718.2,311.9,6145.9,5828.0,317.9
Liquefied gas tanker,12,11,2310.7,1954.8,2011.3,2011.0,2010.3,2010.8,2277.7,2471.9,2704.0,2696.0,198.5,191.4,232.8,236.2,39.5,235.2,70.3,74.2,282.8,256.0,26.8,18110.9,16067.8,2043.1,18458.6,16376.3,2082.3
Refrigerated bulk,11,10,409.2,451.3,1994.5,1994.6,1995.6,1995.1,3255.7,3216.9,3232.1,3240.0,224.0,227.0,229.0,229.5,110.0,119.6,112.0,114.8,177.1,146.1,31.0,13453.9,11126.8,2327.2,13712.3,11340.4,2371.9
