Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Nanaimo,1558,68,1908.3,749.2,1990.6,1989.3,1997.3,2000.2,78.7,1093.4,403.6,220.3,9.0,164.7,814.4,327.6,5.0,105.6,614.9,338.8,758.9,457.5,301.4,53763.1,31323.0,22440.1,54795.3,31924.4,22870.9
Port Weller,971,235,3519.7,5361.1,1997.4,1999.9,2000.7,2000.8,226.5,236.8,233.5,234.6,23.0,45.8,38.5,37.3,2.0,21.3,16.8,15.6,689.2,543.4,145.9,51578.6,40626.2,10952.4,52568.9,41406.3,11162.7
New Westminster,967,64,296.5,404.9,1974.8,1994.6,2000.6,2003.2,47.8,264.0,173.8,184.2,7.0,135.4,383.1,370.7,3.0,82.2,111.2,110.2,181.7,133.1,48.7,13640.3,9987.3,3653.0,13902.2,10179.1,3723.1
Cornwall,904,247,2430.1,3713.8,2000.5,2002.7,2001.6,2001.7,130.1,162.1,158.5,158.0,19.0,23.5,31.7,31.7,6.0,36.1,38.7,37.9,503.0,335.6,167.4,37685.6,25116.6,12569.0,38409.2,25598.9,12810.3
Quebec,892,293,6815.0,7242.7,1999.0,2002.9,2002.1,2004.1,168.0,330.0,322.9,291.9,20.5,85.5,113.1,139.8,14.0,54.2,35.7,48.2,2034.5,1399.5,635.0,152886.3,105172.1,47714.2,155821.7,107191.4,48630.3
Montreal,878,302,7124.5,8292.9,1999.9,2002.1,2002.6,2002.1,208.2,282.2,431.3,405.7,32.0,40.9,64.7,66.2,11.0,51.0,28.6,28.7,1354.5,1161.9,192.6,101722.9,87261.4,14461.5,103675.9,88936.8,14739.2
Sidney,749,27,638.7,492.7,2006.8,1987.3,2001.6,2003.6,81.3,2910.1,174.2,175.1,9.0,547.7,1571.6,496.1,2.0,94.5,178.3,81.8,436.9,361.6,75.3,30196.8,24596.8,5600.0,30776.6,25069.1,5707.5
Port Colborne,679,184,1607.7,2436.9,1992.3,1997.8,1996.3,1996.5,75.6,150.8,149.4,150.5,18.0,29.7,38.5,38.6,4.0,24.4,14.4,14.1,279.7,217.9,61.9,20976.0,16331.6,4644.4,21378.7,16645.2,4733.6
North Sydney,651,24,3158.3,970.9,2004.0,1996.0,2003.5,2004.4,118.8,759.7,183.9,180.3,9.0,131.0,76.5,75.5,4.0,140.6,24.1,51.8,703.8,522.2,181.6,52853.2,39210.6,13642.6,53868.0,39963.4,13904.5
Port Aux Basques,628,17,2907.7,882.2,2004.1,2001.7,2003.2,2004.1,115.6,443.2,175.1,170.6,9.0,36.1,16.4,17.8,4.0,75.3,31.0,34.3,628.7,361.8,266.9,47175.3,27139.1,20036.2,48081.0,27660.1,20420.9
