Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,6051,631,37317.7,60784.2,1997.2,2008.1,2000.5,2000.9,202.5,304.1,272.4,277.0,23.0,91.8,100.6,105.3,8.0,72.0,60.1,63.0,4867.5,4157.5,710.1,365953.7,312619.7,53334.1,372980.0,318622.0,54358.1
Service - tug,5322,134,635.0,439.4,1979.5,1986.6,1988.2,1987.9,98.4,504.2,333.3,384.3,19.0,204.0,1017.0,1051.9,9.0,87.5,222.6,251.8,1595.6,1318.0,277.6,119803.0,98961.7,20841.3,122103.2,100861.7,21241.5
Ferry-RoPax,2843,54,16744.1,3324.2,2000.0,1993.6,2000.7,1999.5,122.8,5091.7,335.4,265.1,9.0,872.2,831.4,664.2,4.0,239.9,225.6,174.8,5381.0,3923.9,1457.0,399582.2,291166.0,108416.2,407254.2,296756.4,110497.8
Chemical tanker,2472,246,12218.4,18911.1,2006.2,2009.4,2007.0,2007.0,262.6,398.9,385.0,389.6,28.5,55.2,118.7,116.4,22.0,45.8,55.4,56.4,4377.1,2857.5,1519.5,328481.2,214335.8,114145.4,334788.0,218451.1,116337.0
Ro-Ro,1807,10,5189.6,3738.9,2004.7,1993.4,2000.7,2000.5,82.3,368.6,412.1,415.5,10.0,33.8,125.9,100.5,5.0,21.5,30.1,30.4,1565.2,1326.7,238.5,112404.6,94591.5,17813.1,114562.7,96407.6,18155.1
General cargo,1220,182,5548.6,7767.2,2005.1,2006.8,2005.9,2005.5,240.0,373.8,395.7,385.5,30.0,71.2,177.3,172.0,24.0,57.6,73.3,71.5,1553.4,1212.1,341.3,117196.6,91557.2,25639.5,119446.8,93315.1,26131.7
Service - other,1109,51,1927.3,883.1,1988.1,1990.5,1981.2,1981.4,263.4,739.0,588.6,599.5,31.0,145.3,356.9,399.3,21.0,87.8,190.1,204.5,1663.4,1336.8,326.6,125274.5,100734.6,24539.8,127679.7,102668.7,25011.0
Miscellaneous - fishing,938,66,1276.3,675.1,1994.2,1988.7,1996.8,1996.5,248.8,2031.5,1677.3,1396.3,48.0,487.2,1536.2,1542.8,24.0,199.0,469.2,520.0,953.0,673.3,279.7,71552.2,50554.4,20997.8,72926.0,51525.1,21400.9
Cruise,883,78,13152.6,1401.5,1999.6,2000.0,2001.6,2000.8,232.5,271.2,338.0,337.2,17.0,23.1,32.5,32.7,8.0,8.9,11.0,10.9,3156.6,2611.5,545.1,237220.6,196217.2,41003.4,241775.3,199984.6,41790.7
Oil tanker,715,102,13469.5,23365.7,2008.3,2008.7,2012.8,2012.8,165.5,455.5,484.6,488.0,22.0,58.4,238.3,238.3,28.0,49.0,104.7,104.7,2551.6,1275.5,1276.2,190547.3,94728.7,95818.6,194205.8,96547.5,97658.3
Container,573,175,13001.4,14417.1,2003.3,2006.1,2005.9,2005.6,621.8,405.5,476.7,482.9,46.0,36.0,69.9,70.4,21.0,42.4,37.8,36.2,1909.4,1611.5,297.9,143390.9,121024.9,22366.1,146144.0,123348.5,22795.5
Offshore,83,16,316.6,299.2,2001.1,2002.2,2010.8,2010.0,328.1,2510.4,747.7,522.1,55.0,771.0,1194.0,1194.5,62.0,113.6,873.2,962.0,281.3,181.2,100.1,21122.3,13607.3,7515.0,21527.9,13868.6,7659.3
Ferry-pax only,63,9,40.4,11.2,1967.5,1973.2,1965.4,1970.1,179.9,1116.6,674.4,973.4,26.0,323.6,2090.7,2249.5,45.0,169.7,319.2,487.8,69.6,51.7,18.0,5228.9,3880.1,1348.8,5329.3,3954.6,1374.7
Vehicle,25,23,194.0,61.2,2006.8,2007.7,2000.4,2000.7,85.2,122.3,134.1,130.7,9.0,17.2,38.7,37.6,12.0,15.5,14.6,14.8,15.0,10.9,4.1,1127.0,816.6,310.4,1148.7,832.3,316.4
Miscellaneous - other,24,1,53.5,14.4,1989.0,1989.0,1989.0,1989.0,295.9,295.9,345.4,345.4,20.0,20.0,76.2,76.2,8.5,8.5,15.9,15.9,18.9,17.0,1.9,1422.1,1279.3,142.7,1449.4,1303.9,145.5
