Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Vancouver,1123,754,210526.4,316319.1,2008.3,2009.7,2009.9,2010.6,4496.7,4715.3,4210.3,4764.7,364.0,440.1,525.0,575.6,31.0,73.9,64.9,73.4,18964.9,18363.5,601.3,1462184.5,1416128.8,46055.7,1490258.5,1443318.5,46940.0
Halifax,930,320,83089.7,74251.1,2008.2,2007.1,2009.6,2009.2,756.1,1664.3,1655.3,1935.1,65.0,130.5,248.7,276.1,21.0,45.6,24.8,26.3,9496.2,9035.1,461.1,726554.9,691778.6,34776.2,740504.7,705060.8,35443.9
Sault Ste Marie,612,94,4219.0,7958.5,1977.8,1982.4,1978.8,1978.1,338.4,337.5,330.5,331.5,30.0,38.0,37.4,36.4,14.0,21.7,17.9,17.4,623.3,573.3,50.0,46810.9,43058.4,3752.6,47709.7,43885.1,3824.6
Port Weller,531,182,2605.8,3971.3,1992.0,1999.0,1997.1,1997.4,227.6,323.7,316.9,318.7,27.0,38.9,46.2,46.3,20.0,55.7,40.1,41.2,411.1,344.9,66.2,30838.5,25866.9,4971.6,31430.6,26363.6,5067.0
Saint John,517,136,13888.7,17983.7,2007.5,2008.6,2008.6,2008.7,562.0,1910.5,1019.3,1136.1,45.0,183.8,216.9,235.7,27.0,59.8,66.2,79.4,2072.1,1717.3,354.8,157577.7,130824.9,26752.8,160603.2,133336.8,27266.4
Roberts Bank,475,264,119178.7,178755.8,2008.8,2008.9,2008.7,2009.2,4333.7,4514.7,3280.7,3951.4,279.0,399.8,536.0,591.0,22.0,70.6,101.8,126.5,9810.7,9409.9,400.8,754513.7,723771.5,30742.2,769000.4,737668.0,31332.4
New Westminster,455,221,28036.4,19706.2,1998.1,2004.7,2005.4,2007.1,455.7,1848.3,1596.7,1471.9,50.0,152.3,301.9,321.6,20.0,50.0,44.5,50.3,2162.9,1995.2,167.7,165219.0,152537.4,12681.6,168391.2,155466.2,12925.1
Prince Rupert,381,252,65915.5,109633.2,2003.6,2010.6,2011.2,2011.2,3789.3,4602.5,3290.2,3905.2,352.0,448.2,480.3,521.8,54.0,93.4,95.4,98.2,5186.4,4916.5,269.9,397769.1,377222.8,20546.3,405406.3,384465.4,20940.8
Vancouver Anch,330,296,66030.4,113120.2,2007.4,2009.1,2010.5,2010.6,4616.8,4682.7,4988.0,5226.3,489.5,507.3,596.9,616.7,47.0,100.2,87.7,92.8,5396.6,5210.1,186.5,416038.4,401706.1,14332.3,424026.3,409418.8,14607.5
Victoria,267,52,5222.8,2057.3,2004.2,2002.8,2004.6,2008.4,89.5,1190.7,222.9,742.0,9.0,106.6,115.7,304.7,9.0,69.7,18.0,37.9,1266.4,1045.0,221.5,95367.2,78731.1,16636.1,97198.3,80242.8,16955.5
