Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,49,31,1362.0,183.3,1989.6,1988.9,1994.1,1991.4,1000.0,1121.2,1262.6,1281.4,72.0,84.8,160.8,168.0,9.0,11.8,12.4,12.0,417.1,390.9,26.2,31925.6,29918.9,2006.7,32538.6,30493.3,2045.3
Container,41,4,1013.9,753.4,1997.3,1997.0,1997.0,1996.2,2212.7,2132.2,2208.6,2214.4,159.0,154.9,161.9,162.0,52.0,220.6,118.4,114.9,324.9,290.2,34.7,24861.9,22259.8,2602.1,25339.2,22687.2,2652.0
Miscellaneous - fishing,35,27,266.3,126.8,1994.5,1993.6,2000.3,2001.3,2233.7,3346.8,3280.2,3381.9,260.0,521.3,784.2,886.2,52.0,296.5,357.6,319.3,113.2,87.0,26.1,8497.0,6535.1,1961.9,8660.1,6660.6,1999.6
Service - other,17,7,100.5,45.2,1990.9,1989.1,1986.0,1985.7,500.6,3153.5,1128.3,1134.0,146.0,627.4,947.9,973.2,28.0,129.6,89.1,100.2,52.8,49.8,3.1,3966.5,3736.6,229.9,4042.7,3808.4,234.3
General cargo,14,6,345.1,305.0,2011.3,2004.8,2012.9,2012.4,1968.5,2012.0,2213.4,2206.7,149.5,183.0,197.0,205.1,51.0,72.5,216.2,195.0,84.8,74.1,10.6,6493.8,5693.8,800.0,6618.5,5803.1,815.3
Chemical tanker,7,2,104.6,153.0,2007.4,2006.0,2004.8,2004.7,1125.7,2186.8,2196.1,2264.3,103.0,167.8,207.9,210.2,13.0,44.8,63.6,64.8,27.5,24.7,2.7,2111.3,1905.0,206.3,2151.9,1941.6,210.2
Oil tanker,5,2,355.0,542.3,2006.2,2006.5,2006.2,2006.2,2694.8,2503.3,2674.2,2674.2,250.0,244.8,234.2,234.2,32.0,30.8,23.9,23.9,57.2,51.4,5.8,4380.9,3943.4,437.6,4465.1,4019.1,446.0
Ferry-RoPax,3,1,16.2,1.4,2007.0,2007.0,2007.0,2007.0,577.8,577.8,463.6,463.6,54.0,54.0,53.7,53.7,11.0,11.0,14.0,14.0,4.7,4.2,0.5,356.3,317.4,38.9,363.1,323.5,39.7
Service - tug,2,2,0.3,0.3,1991.0,1991.0,1995.7,2000.0,561.9,561.9,567.2,580.1,197.5,197.5,209.8,221.0,37.5,37.5,35.2,33.2,0.5,0.4,0.1,36.9,32.2,4.7,37.6,32.8,4.8
Refrigerated bulk,2,1,6.0,7.0,1983.0,1983.0,1983.0,1983.0,2291.2,2291.2,2291.2,2291.2,241.5,241.5,243.8,243.8,21.0,21.0,20.3,20.3,5.7,5.3,0.4,425.8,398.0,27.8,434.0,405.6,28.4
Offshore,1,1,0.4,2.3,1965.0,1965.0,1965.0,1965.0,2308.1,2308.1,2308.1,2308.1,269.0,269.0,269.0,269.0,2.0,2.0,2.0,2.0,4.4,4.4,0.0,331.5,331.1,0.4,337.9,337.4,0.4
Bulk carrier,1,1,9.7,20.8,1982.0,1982.0,1982.0,1982.0,2904.0,2904.0,2904.0,2904.0,295.0,295.0,295.0,295.0,4.0,4.0,4.0,4.0,3.1,3.1,0.0,235.3,234.7,0.6,239.8,239.2,0.6
Vehicle,1,1,401.9,120.8,1988.0,1988.0,1988.0,1988.0,9468.3,9468.3,9468.3,9468.3,640.0,640.0,640.0,640.0,16.0,16.0,16.0,16.0,25.9,25.3,0.6,1971.5,1924.1,47.5,2009.4,1961.0,48.4
