Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Nuuk,95,43,1908.0,1398.4,1995.1,1991.8,1996.5,1999.5,2205.0,2572.3,1989.0,2253.0,161.0,335.0,245.6,233.5,44.0,201.2,129.2,115.1,600.0,530.5,69.5,45811.9,40579.3,5232.6,46691.5,41358.5,5333.1
Nanortalik Havn,13,13,437.7,102.0,1998.2,1998.2,2000.8,2003.3,1514.4,1899.4,1215.9,1504.3,93.0,228.0,172.2,265.0,37.0,98.6,50.9,101.1,107.6,100.2,7.3,8191.6,7641.0,550.6,8348.9,7787.7,561.2
Tasiilaq,12,11,101.2,41.0,1992.4,1990.2,2002.4,2008.6,816.3,1207.0,996.6,1195.6,112.5,154.7,106.7,124.0,22.0,86.3,229.1,443.0,32.8,27.4,5.3,2500.7,2098.2,402.5,2548.7,2138.5,410.3
Illulissat (Jakobshavn),10,8,188.8,24.7,1996.5,1997.1,1997.9,1995.9,768.7,1011.0,1135.9,1022.5,59.0,100.4,116.4,162.8,9.5,11.8,17.9,18.2,49.0,45.6,3.4,3765.7,3504.0,261.7,3838.0,3571.3,266.7
Narsarssuaq,8,7,138.0,70.0,1997.1,1994.3,1995.4,2002.7,1703.9,1430.0,1518.8,1697.3,132.5,131.4,122.9,137.3,22.5,118.9,103.2,129.3,43.3,36.8,6.5,3308.6,2824.2,484.3,3372.1,2878.5,493.6
Uummannaq Harbor,8,4,82.9,10.7,1996.2,1995.0,1992.1,1991.8,619.7,599.6,853.7,868.4,44.5,42.2,147.8,153.8,7.0,12.0,14.9,14.2,41.9,36.1,5.8,3221.4,2775.6,445.9,3283.3,2828.8,454.4
Sisimiut,6,6,81.1,25.2,1993.5,1993.5,1995.2,1995.7,986.7,2053.7,1193.3,2133.4,72.5,449.8,588.3,1598.2,16.5,26.8,28.4,37.4,23.8,22.4,1.4,1816.6,1711.6,105.0,1851.5,1744.5,107.0
Kangerlusuaq,5,5,304.0,163.0,1997.2,1997.2,2004.8,2005.0,6801.9,5352.8,5103.1,3527.1,496.0,394.4,456.1,309.2,13.0,15.4,13.9,9.6,104.3,101.8,2.5,7870.1,7679.3,190.8,8021.3,7826.7,194.5
Paamuit (Frederikshab),5,5,450.0,130.1,1997.0,1997.0,1989.2,1989.1,930.1,2492.2,4597.8,5221.4,71.0,181.8,579.1,600.5,15.0,11.8,16.1,16.0,44.2,42.3,1.9,3380.8,3233.9,146.9,3445.7,3296.0,149.7
Pituffik (Thule Air Base),5,4,230.4,274.5,2005.6,2004.5,2007.5,2006.9,3214.3,2633.7,2964.3,2877.7,240.0,194.4,251.4,248.5,49.0,55.9,43.3,47.0,47.2,43.5,3.6,3628.3,3352.8,275.4,3697.9,3417.2,280.7
Nalunaq Gold Mine,4,4,6.5,2.7,1983.8,1983.8,1982.5,1978.1,1019.0,2096.7,1091.7,1589.6,153.5,372.5,466.1,677.1,226.5,320.5,361.2,538.6,8.6,5.7,2.9,646.7,427.7,219.0,659.1,435.9,223.2
Qeqertarsuaq,3,3,39.2,8.4,1989.0,1989.0,1987.4,1987.7,1091.7,937.0,1171.3,961.5,108.0,93.7,111.6,112.7,28.0,34.0,13.8,18.7,11.9,11.3,0.6,918.1,873.5,44.6,935.7,890.3,45.4
Aasiaat,2,2,6.7,5.2,1978.5,1978.5,1990.3,1979.8,1642.8,1642.8,1015.2,1320.1,340.5,340.5,402.8,347.6,7.5,7.5,12.3,8.0,5.2,5.2,0.0,389.1,387.0,2.2,396.6,394.4,2.2
Kuummiut,1,1,7.3,5.5,2012.0,2012.0,2012.0,2012.0,1819.4,1819.4,1819.4,1819.4,229.0,229.0,229.0,229.0,13.0,13.0,13.0,13.0,1.7,1.7,0.0,126.7,125.2,1.5,129.2,127.6,1.6
Seqi Olivine Mine,1,1,0.2,0.2,2015.0,2015.0,2015.0,2015.0,629.6,629.6,629.6,629.6,260.0,260.0,260.0,260.0,26.0,26.0,26.0,26.0,0.2,0.2,0.0,18.1,16.7,1.4,18.4,17.0,1.4
