Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Mundra,1706,892,244704.7,365830.2,2007.4,2007.9,2008.9,2009.1,1245.7,2665.0,2205.1,2387.7,102.0,233.6,361.8,421.0,21.0,58.5,61.5,72.6,20188.8,19106.7,1082.1,1563341.7,1479694.3,83647.4,1593357.9,1508104.5,85253.4
Kandla,1424,1008,84039.8,142421.8,2007.5,2008.6,2009.4,2009.6,1271.5,2354.9,2555.2,2661.2,118.0,219.6,412.2,425.7,29.0,69.5,94.0,95.7,8471.7,7627.7,844.0,654523.4,589874.6,64648.8,667090.3,601200.2,65890.1
Haldia,1196,869,135018.4,232284.4,2008.2,2009.0,2010.2,2010.4,2388.0,3737.8,4247.3,4456.4,222.0,352.7,559.8,585.3,33.0,78.7,94.0,97.0,11291.7,10463.5,828.2,872713.5,809106.3,63607.1,889469.6,824641.2,64828.4
Mumbai,1020,784,67525.3,87921.3,2006.6,2007.2,2007.1,2007.1,1317.5,2013.9,1867.8,1731.4,136.5,245.2,319.4,289.0,29.0,109.7,71.0,84.1,7012.8,6270.4,742.4,541796.4,484744.1,57052.3,552198.9,494051.2,58147.7
New Tuticorin,786,367,31951.2,54321.0,2004.7,2007.9,2010.0,2010.1,522.8,2754.6,2219.3,2392.6,103.0,268.1,437.6,442.6,28.0,79.9,90.3,91.7,3200.1,2877.3,322.8,246796.4,222259.2,24537.2,251534.9,226526.6,25008.3
Jawaharlal Nehru,783,340,53120.1,66856.2,2006.7,2007.2,2006.8,2006.7,1314.1,1828.7,1607.8,1645.3,99.0,187.4,168.6,176.1,19.0,55.6,31.6,32.4,6844.8,6410.1,434.7,529523.8,496067.5,33456.3,539690.7,505592.0,34098.7
Hazira,730,568,87095.8,120502.9,2008.3,2008.7,2009.5,2009.6,1260.0,2579.1,2722.6,2757.3,116.0,243.5,453.7,462.0,30.0,78.1,71.2,80.5,8007.6,7517.1,490.5,574360.9,536649.6,37711.3,585388.7,546953.3,38435.4
Krishnapatnam,695,516,120564.1,222926.8,2008.0,2009.0,2010.7,2010.7,2642.1,4083.8,4507.7,4726.4,249.0,393.9,624.3,634.9,36.0,83.7,119.5,121.6,7710.6,7280.6,430.0,596539.6,563512.4,33027.2,607993.2,574331.9,33661.3
Visakhapatnam,679,502,70410.0,120385.5,2007.7,2008.1,2008.7,2008.8,1811.4,3011.3,2886.4,3044.1,200.0,302.7,424.1,444.4,25.0,80.0,89.5,93.0,6087.5,5637.6,449.8,470627.5,436020.5,34607.0,479663.6,444392.1,35271.4
Chennai,646,390,35354.8,53923.7,2005.4,2006.6,2006.6,2006.5,1381.0,2012.2,1720.2,1932.1,116.5,190.1,266.7,287.8,20.5,55.9,48.2,52.0,3744.4,3397.9,346.6,289391.4,262739.8,26651.6,294947.7,267784.4,27163.3
Cochin,599,290,55113.0,76425.9,2004.7,2006.0,2006.7,2006.7,1660.6,2104.3,1955.7,1927.9,133.0,186.6,224.4,222.1,24.0,73.6,62.6,72.7,5820.7,5136.2,684.5,441663.7,388944.4,52719.2,450143.6,396412.2,53731.4
Paradip,582,510,100867.3,186357.4,2008.8,2009.2,2007.8,2007.7,2638.0,3407.7,3656.6,3697.3,252.0,349.8,551.2,556.8,27.0,67.9,85.3,85.4,6847.1,6419.9,427.2,529919.8,496922.4,32997.4,540094.2,506463.3,33631.0
Dahej,490,306,104450.1,121844.7,2009.0,2009.3,2010.6,2010.4,1478.5,3390.3,3152.2,3444.8,119.5,286.6,435.6,489.4,32.0,92.0,72.6,80.5,10218.0,9444.7,773.3,693370.3,634995.7,58374.5,706683.0,647187.7,59495.3
Sikka,480,378,48888.3,86124.9,2009.2,2009.2,2009.3,2009.3,2731.0,2545.1,2473.6,2465.3,218.0,227.0,359.4,360.5,28.0,53.9,55.4,55.3,5183.3,4566.8,616.5,401036.5,353452.5,47584.0,408736.4,360238.8,48497.6
Vadinar,461,327,58131.3,107159.0,2008.0,2008.1,2007.8,2007.7,1148.8,2115.8,1608.3,1590.4,122.0,202.4,286.5,286.1,45.0,73.1,72.3,72.7,4923.7,4122.4,801.3,381354.8,319292.1,62062.7,388676.8,325422.5,63254.3
Kakinada,450,351,23631.2,40070.2,2006.1,2006.9,2007.9,2008.0,1595.4,2511.2,2741.4,2839.8,152.5,289.6,482.5,495.6,31.0,104.5,113.7,113.2,2595.9,2326.9,269.0,200050.6,179541.9,20508.6,203891.5,182989.1,20902.4
