Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Mumbai,1622,838,20705.7,28291.8,2004.8,2006.6,2007.1,2006.9,456.1,836.0,657.0,643.5,52.0,223.1,191.6,196.9,32.0,98.0,68.7,71.6,3561.8,2643.5,918.3,273550.4,203222.8,70327.6,278802.6,207124.6,71677.9
Jawaharlal Nehru,1607,597,33938.8,41658.0,2007.7,2007.3,2008.4,2008.2,437.4,698.2,444.0,458.0,33.0,156.3,111.0,123.2,23.0,59.4,39.1,42.3,4439.9,3417.9,1022.0,342302.0,263544.8,78757.3,348874.2,268604.8,80269.4
Hazira,1488,515,20954.3,32300.0,2002.5,2007.0,2006.9,2007.0,396.2,627.9,625.6,673.5,44.0,140.2,167.2,178.9,25.0,56.2,57.1,61.2,2713.9,2052.2,661.8,208885.4,158085.0,50800.4,212896.0,161120.3,51775.7
Visakhapatnam,1051,547,27941.9,46206.0,2004.0,2007.2,2006.5,2006.7,602.9,952.5,980.3,993.1,75.0,137.1,182.1,183.1,46.0,95.5,87.0,87.6,3380.6,2533.3,847.3,260937.5,195736.9,65200.6,265947.5,199495.1,66452.5
Mundra,1017,458,20474.7,26450.5,2005.3,2006.8,2005.7,2005.7,437.3,507.5,533.0,524.1,38.0,81.4,79.4,85.0,19.0,51.1,36.9,44.2,2632.3,2163.1,469.2,203343.1,167204.5,36138.6,207247.3,170414.8,36832.5
Paradip,1009,530,31211.8,55456.8,2006.1,2008.8,2006.2,2006.2,597.6,995.1,922.6,922.0,85.0,168.9,269.7,275.1,63.0,97.7,88.5,88.6,3311.6,2493.5,818.2,256138.7,192876.5,63262.3,261056.6,196579.7,64476.9
Haldia,831,374,13973.4,22635.4,2003.3,2006.3,2004.4,2004.5,448.1,1015.1,783.9,767.9,42.0,163.3,204.8,185.6,52.0,93.3,83.6,82.6,1942.5,1372.2,570.3,149589.1,105852.1,43737.0,152461.2,107884.5,44576.8
Chennai,763,313,11487.2,16304.9,2003.5,2006.1,2004.9,2005.2,690.2,1125.2,669.1,701.0,66.0,147.5,172.6,170.7,38.0,82.2,61.6,58.9,2044.4,1527.6,516.8,157426.0,117718.7,39707.3,160448.6,119978.9,40469.7
Cochin,749,261,14734.7,21918.3,2003.2,2004.3,2003.5,2003.4,755.5,1287.3,849.2,901.5,71.0,326.0,235.1,238.2,30.0,87.4,59.7,61.1,2462.0,1922.6,539.4,189827.0,148278.9,41548.1,193471.7,151125.8,42345.8
Kandla,725,413,10614.8,16605.0,2006.4,2006.9,2005.7,2005.9,512.9,830.6,773.7,783.1,56.0,130.2,161.0,156.7,28.0,77.3,73.4,74.8,1740.1,1295.0,445.2,133992.3,99831.1,34161.2,136565.0,101747.8,34817.1
Magdalla,680,33,299.5,390.8,2004.3,2001.6,2002.8,2003.4,152.6,359.1,222.6,227.4,22.0,238.0,131.3,146.3,12.5,78.7,57.6,54.4,114.9,77.7,37.2,8638.2,5837.3,2800.9,8804.0,5949.4,2854.7
Mangalore,556,281,10213.3,15045.2,2004.2,2007.2,2005.9,2006.2,551.0,846.6,792.7,814.9,59.0,117.5,142.6,140.5,37.0,94.4,92.3,97.8,1625.7,1107.7,517.9,125273.2,85349.8,39923.4,127678.4,86988.5,40689.9
Muldwarka,529,68,1006.9,1343.5,2000.3,2002.5,2001.3,2000.4,257.9,496.8,491.0,507.2,31.0,105.7,135.9,127.5,17.0,99.8,143.4,138.2,274.4,178.9,95.5,20819.5,13566.5,7253.0,21219.3,13827.0,7392.3
Dharamtar,525,42,424.7,641.9,2007.3,2005.3,2012.4,2012.5,150.9,598.0,229.3,230.0,25.0,83.7,104.9,103.1,16.0,101.4,124.8,133.6,116.3,81.0,35.3,8790.1,6124.9,2665.2,8958.9,6242.5,2716.4
Krishnapatnam,518,213,8847.7,14323.9,2005.8,2008.0,2007.0,2007.3,577.3,852.2,578.1,629.4,53.0,125.2,117.7,122.1,37.5,72.6,71.6,75.2,1196.6,878.6,318.0,92168.6,67790.3,24378.3,93938.2,69091.9,24846.3
Jaigad,491,149,2177.3,3713.3,2010.6,2007.2,2010.7,2010.9,154.6,627.1,315.5,311.1,24.0,139.4,145.2,122.7,31.0,229.6,154.9,134.2,371.3,212.6,158.7,28352.2,16259.9,12092.3,28896.6,16572.1,12324.5
Ennore,487,182,15179.8,24647.0,2002.9,2005.3,2003.8,2003.6,727.9,1021.5,950.9,938.7,64.0,125.2,152.9,148.0,57.0,96.6,93.8,97.0,1758.3,1264.0,494.3,136026.8,97817.0,38209.8,138638.5,99695.1,38943.5
Pipavav,479,164,5737.3,6934.4,2008.4,2006.9,2006.8,2007.1,285.5,499.7,374.0,394.4,30.0,79.2,74.8,87.6,32.0,77.4,49.2,52.8,762.9,521.2,241.6,58844.8,40239.4,18605.3,59974.6,41012.0,18962.6
New Tuticorin,417,140,10944.1,16467.2,2004.4,2006.9,2005.9,2006.1,1027.3,1034.9,1099.4,1143.2,83.0,147.6,148.6,153.0,31.0,70.1,63.3,66.9,1342.4,1140.9,201.5,103048.8,87675.7,15373.1,105027.3,89359.0,15668.3
Jafrabad,408,126,847.1,1288.0,2010.6,2006.2,2007.6,2007.6,117.8,208.2,181.0,169.3,30.5,30.6,40.8,40.5,23.0,87.1,118.1,123.8,148.7,79.2,69.4,11383.7,6060.3,5323.5,11602.3,6176.6,5425.7
