Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Naantali,463,91,927.2,825.0,1987.7,1995.6,2001.0,2002.3,204.2,1046.7,248.3,262.3,12.0,396.2,223.8,147.2,13.0,128.5,66.0,40.9,519.1,354.6,164.5,38905.4,26553.8,12351.6,39652.4,27063.7,12588.7
Kotka,336,112,416.8,538.5,2006.2,2003.0,2005.1,2004.9,94.3,300.1,160.3,163.6,13.0,73.0,71.1,70.5,18.0,29.6,33.7,31.0,207.8,137.2,70.6,15483.2,10185.1,5298.1,15780.4,10380.7,5399.8
Kilpilahti (Skoldvik),335,59,1293.2,1853.8,2004.1,2002.8,2005.1,2005.0,232.5,236.6,381.1,378.9,29.0,50.6,46.8,45.9,26.0,33.7,49.6,49.4,558.1,306.3,251.8,41893.9,22990.9,18902.9,42698.2,23432.4,19265.9
Rauma,334,110,1236.5,1090.3,2000.7,1999.0,2005.4,2005.2,251.1,304.5,278.8,290.1,21.0,54.3,27.2,30.2,22.0,119.8,52.3,44.0,430.9,323.2,107.6,32342.6,24262.7,8079.9,32963.6,24728.6,8235.0
Harvaluoto,312,13,185.6,58.3,1975.9,1985.5,1980.5,1976.0,72.3,1252.1,124.0,100.3,7.0,471.7,457.2,277.3,9.0,15.1,14.2,15.1,127.9,97.7,30.2,9600.4,7333.7,2266.7,9784.7,7474.5,2310.2
Oulu,270,83,472.6,551.4,2003.4,2002.9,2003.5,2006.5,139.2,230.1,208.3,225.1,15.5,23.5,52.6,49.5,20.0,46.7,24.0,24.0,201.0,151.8,49.2,15064.4,11373.4,3691.0,15353.6,11591.8,3761.8
Asikkala,254,42,39.2,56.2,1982.4,1992.7,1988.6,1989.6,119.9,175.3,149.4,149.3,14.0,28.5,37.5,36.1,10.0,22.5,30.8,29.7,53.1,27.7,25.4,3987.7,2080.7,1907.0,4064.3,2120.6,1943.6
Mustola,224,44,51.6,70.1,1984.2,1992.3,1990.5,1991.5,190.6,197.6,205.0,199.7,32.5,36.6,59.4,56.9,7.0,9.0,9.9,9.0,42.4,38.3,4.1,3187.0,2877.4,309.6,3248.2,2932.7,315.5
Turku,215,51,1030.3,202.6,1988.6,1990.9,2003.8,2005.4,111.3,1073.7,261.9,232.3,11.0,388.0,266.8,656.3,16.0,172.4,39.9,66.9,320.7,204.5,116.2,23848.4,15156.1,8692.3,24306.3,15447.1,8859.2
Vuosaari,195,76,334.0,277.8,2005.4,2003.2,2008.7,2007.6,83.6,164.1,106.8,114.3,8.0,21.5,20.7,22.0,12.0,39.5,19.3,21.3,110.6,79.7,30.8,8233.9,5929.3,2304.6,8392.0,6043.1,2348.8
Kokkola,195,98,464.1,667.6,2002.5,2001.6,2004.4,2006.1,198.6,239.3,346.0,345.3,20.0,73.8,48.1,46.5,33.0,48.4,47.0,45.8,165.4,119.1,46.2,12417.2,8945.7,3471.5,12655.6,9117.4,3538.1
Hanko,195,43,695.5,456.3,2002.0,1993.1,2006.9,2006.9,144.8,193.6,172.7,173.1,12.0,96.8,14.9,14.6,7.0,56.3,6.9,7.4,192.4,171.2,21.1,14442.6,12856.5,1586.1,14719.8,13103.3,1616.5
Sunila,191,57,295.7,231.2,2000.5,2000.0,2005.0,2003.9,142.7,340.6,137.4,186.5,14.0,88.3,45.7,47.6,35.0,26.3,35.7,34.5,177.2,119.6,57.6,13307.3,8979.6,4327.7,13562.8,9152.0,4410.8
