Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Manila South Harbor,1367,405,30907.8,34734.6,2004.9,2005.5,2005.4,2006.0,749.0,1293.0,965.5,1029.7,89.0,138.7,146.8,172.3,39.0,70.5,74.7,92.2,6123.3,5087.1,1036.2,472038.8,392837.7,79201.1,481101.9,400380.2,80721.7
Davao,954,370,29700.4,39073.2,2002.3,2006.3,2005.2,2005.9,1846.0,1910.3,1929.8,1894.1,121.0,179.3,228.5,233.0,46.0,68.4,70.3,71.0,6553.3,5578.8,974.5,501641.6,427931.6,73710.1,511273.2,436147.9,75125.3
Manila,931,439,28209.9,39528.6,2006.8,2006.3,2008.1,2008.3,1267.1,1506.2,1374.0,1442.1,109.0,205.8,224.3,249.0,57.0,160.5,143.5,162.6,4676.7,3950.0,726.7,360680.1,305063.5,55616.6,367605.2,310920.7,56684.5
Batangas City,694,432,33065.5,40655.0,2007.6,2007.5,2008.0,2008.1,1370.2,1888.6,1856.6,2181.8,106.0,182.5,253.9,309.7,25.0,87.0,73.7,91.6,4035.8,3426.6,609.2,311038.3,264212.6,46825.6,317010.2,269285.5,47724.7
Subic Bay,509,350,21776.9,32488.8,2006.7,2007.3,2009.7,2010.4,1595.3,2268.3,2206.2,2379.0,134.0,204.6,431.3,469.2,33.0,122.9,175.2,187.8,2660.9,2263.2,397.7,203886.5,173431.7,30454.8,207801.1,176761.6,31039.5
Bauan/Batangas,290,244,11955.9,13554.9,2007.7,2007.8,2008.9,2009.7,1487.6,1773.5,1849.2,2007.2,121.5,165.4,222.6,271.1,39.0,94.1,97.2,124.0,1455.9,1273.1,182.7,111914.7,97932.5,13982.2,114063.5,99812.8,14250.7
Taganito,280,183,11786.6,20420.2,2010.3,2009.8,2011.1,2011.2,1595.3,1619.0,1602.5,1601.4,140.0,161.2,191.9,191.5,185.0,193.6,223.3,223.9,1295.5,1011.3,284.2,100064.0,78168.0,21896.0,101985.2,79668.9,22316.4
Gen Santos,274,116,5866.2,8226.3,2003.1,2001.7,2006.3,2006.7,1447.0,2145.8,1568.7,1635.7,114.0,296.3,260.3,272.7,33.0,273.9,299.8,360.7,1763.7,1194.1,569.6,134264.5,91335.6,42928.9,136842.4,93089.2,43753.1
Lucanin,248,218,15477.8,26861.4,2007.5,2007.5,2007.9,2007.8,1351.7,1680.4,2493.6,2616.7,123.0,162.4,346.1,351.6,65.5,100.0,93.8,97.3,1474.8,1226.6,248.2,113959.7,94871.3,19088.4,116147.7,96692.8,19454.9
Surigao City,190,127,8426.5,14678.1,2010.1,2010.1,2010.5,2010.5,1477.6,1588.3,1511.6,1511.5,130.5,152.1,165.9,165.7,2.0,68.3,85.7,85.8,713.5,645.3,68.2,55198.8,49942.1,5256.7,56258.6,50900.9,5357.7
Laguna,178,134,6479.4,10754.4,2006.0,2007.1,2009.6,2009.9,1353.2,1853.3,1958.0,1981.6,126.0,200.2,349.5,354.9,85.5,149.5,200.3,207.2,775.7,664.1,111.6,59832.2,51271.9,8560.2,60981.0,52256.4,8724.6
Cebu,158,71,2846.3,4086.1,2002.4,2004.4,2006.1,2007.4,998.9,1574.9,1407.6,1560.3,83.0,174.0,275.1,315.2,16.5,296.8,103.9,102.2,574.2,475.5,98.7,44054.4,36622.5,7431.9,44900.2,37325.6,7574.6
Limay,148,94,13243.5,24690.0,2008.6,2009.2,2007.6,2007.5,1334.5,1858.9,3154.7,3333.5,118.5,194.0,376.2,383.5,44.5,62.0,89.2,90.8,1214.3,981.6,232.7,93804.0,75897.4,17906.6,95605.0,77354.6,18250.4
Masinloc,147,132,5667.6,9543.6,2006.4,2006.9,2008.5,2008.5,1540.6,1797.4,1896.2,1948.2,141.0,194.4,280.1,291.8,20.0,62.1,78.4,83.6,593.3,529.2,64.1,45803.1,40866.8,4936.3,46682.5,41651.5,5031.0
Mariveles,129,123,9640.2,16884.5,2006.8,2006.9,2008.0,2008.6,1671.0,2210.8,2767.0,2868.5,140.0,233.4,372.5,380.5,58.0,105.1,125.6,120.6,1007.0,821.3,185.7,76666.9,63158.7,13508.2,78138.9,64371.4,13767.5
Villanueva,109,102,13349.2,25453.0,2010.0,2010.1,2010.1,2010.1,1433.1,1998.8,2901.2,2986.3,134.0,218.8,647.4,660.3,66.0,80.9,120.2,120.8,814.6,740.2,74.3,63018.7,57299.7,5719.0,64228.6,58399.8,5828.8
Nasugbu,109,100,3677.3,5212.3,2006.5,2006.2,2007.2,2006.9,1608.3,2051.3,2176.8,2337.4,135.0,234.2,357.5,379.7,18.0,95.0,30.1,32.2,523.8,475.7,48.2,40348.4,36656.5,3691.9,41123.0,37360.3,3762.8
Toledo,93,64,2518.5,3994.1,2007.2,2007.3,2010.2,2010.6,1616.5,1719.6,1760.9,1739.8,133.0,152.4,191.5,195.7,104.0,182.2,227.1,191.4,354.2,265.4,88.8,27311.5,20488.0,6823.5,27835.9,20881.4,6954.5
Jasaan,90,68,9297.6,17754.3,2008.4,2008.2,2008.5,2008.6,1486.7,1863.5,3122.9,3207.9,126.0,164.9,643.3,657.6,16.5,46.1,54.7,55.0,564.7,523.0,41.7,43655.0,40448.9,3206.1,44493.2,41225.5,3267.6
Iloilo,87,66,2728.5,4367.8,2002.0,2004.0,2003.7,2004.0,1580.9,2380.6,2135.1,2243.9,154.0,267.9,477.6,480.5,95.0,138.6,138.8,140.3,326.2,275.3,51.0,25073.9,21196.1,3877.8,25555.3,21603.0,3952.2
Pulupandan,85,67,1029.2,1477.7,2003.1,2004.9,2004.0,2004.7,1331.8,1456.7,1458.4,1545.4,128.0,148.7,198.7,202.0,95.0,132.8,115.0,124.5,213.2,170.8,42.5,16338.6,13138.3,3200.4,16652.3,13390.5,3261.8
Zamboanga,82,37,949.1,1498.1,1997.8,2002.6,2002.9,2003.5,552.4,1597.4,1450.1,1581.8,23.5,190.8,239.1,249.9,113.5,130.3,104.0,100.4,189.5,114.0,75.5,14467.2,8766.6,5700.7,14745.0,8934.9,5810.1
Bauang,81,69,2379.4,4080.2,2006.3,2006.5,2007.8,2007.8,1192.4,1566.0,1823.8,1862.2,124.0,176.9,261.5,261.6,51.0,80.6,93.6,97.2,261.4,227.8,33.6,20174.7,17592.6,2582.1,20562.1,17930.4,2631.7
Semirara,73,69,2848.2,4988.0,2008.5,2008.8,2007.0,2006.8,1087.3,1400.9,1368.7,1375.3,102.0,148.8,256.5,262.0,59.0,64.9,73.5,74.2,246.0,216.0,30.1,19035.4,16712.1,2323.2,19400.8,17033.0,2367.9
Cagayan De Oro,71,63,1533.8,2421.0,2004.5,2005.0,2006.2,2006.6,1280.2,1498.7,1412.7,1456.7,130.0,157.8,167.1,171.2,76.0,131.7,95.8,98.3,209.0,172.8,36.2,16085.0,13329.6,2755.4,16393.8,13585.5,2808.3
"Pagudpud, Luzon",62,58,1855.5,3262.0,2005.6,2005.6,2005.2,2005.0,1692.1,1819.0,2027.6,2073.3,151.5,189.1,277.6,287.6,108.0,174.2,141.5,134.3,220.5,169.2,51.3,16945.2,13033.9,3911.2,17270.5,13284.2,3986.3
Bugo,61,35,838.4,1123.3,2003.9,2003.4,2004.8,2004.6,1145.4,1430.3,1194.7,1204.0,98.0,134.4,128.0,129.6,14.0,72.0,40.3,42.9,196.6,179.3,17.3,15112.0,13815.7,1296.2,15402.1,14081.0,1321.1
