Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,148,37,1618.6,200.0,1972.2,1985.4,2002.4,1995.9,761.0,853.5,768.1,836.7,95.5,97.5,79.6,106.3,18.0,13.9,20.8,30.0,582.9,474.5,108.4,44413.7,36215.9,8197.8,45266.5,36911.2,8355.2
General cargo,81,16,166.3,211.8,1988.3,1990.9,1995.1,1999.2,573.1,831.3,779.4,786.1,66.0,83.0,115.0,100.9,15.0,33.6,47.7,50.2,55.1,47.2,8.0,4163.3,3565.2,598.0,4243.2,3633.7,609.5
Service - other,67,22,290.3,107.7,1989.1,1991.1,1996.2,1995.2,833.5,1634.5,1355.7,1424.0,159.0,248.0,405.8,418.3,21.0,70.7,131.2,143.0,121.5,105.5,16.0,9132.0,7928.3,1203.6,9307.3,8080.6,1226.7
Miscellaneous - fishing,60,44,497.4,258.2,1990.1,1992.4,1993.9,1994.8,2551.2,3852.2,3686.2,3747.7,516.5,678.8,992.0,986.3,40.0,123.6,148.9,169.7,183.5,151.6,31.9,13789.8,11398.0,2391.8,14054.6,11616.9,2437.7
Oil tanker,27,3,51.5,63.0,1992.8,1995.3,1992.8,1994.8,781.3,1117.7,1046.4,983.4,124.0,142.2,305.8,276.9,18.0,28.5,46.9,44.5,42.8,36.3,6.5,3213.1,2727.3,485.8,3274.8,2779.7,495.1
Ferry-pax only,21,5,63.4,9.9,1989.7,1985.6,1989.5,1989.1,1002.7,1125.0,1013.5,995.7,149.0,179.8,188.1,198.2,17.0,213.0,110.9,81.7,31.4,23.0,8.5,2359.2,1724.2,635.1,2404.5,1757.3,647.3
Refrigerated bulk,16,10,83.3,93.5,1989.6,1988.8,1993.1,1993.2,1038.8,1281.2,1280.3,1310.1,99.5,153.9,147.5,147.4,55.5,67.8,75.8,74.4,70.5,54.0,16.5,5326.7,4086.1,1240.7,5429.0,4164.5,1264.5
Offshore,15,2,23.6,24.4,1997.7,1989.5,2012.1,2004.0,536.8,557.4,534.9,580.0,64.0,108.2,99.2,118.9,47.0,44.0,438.0,365.5,19.6,12.9,6.6,1469.1,970.8,498.4,1497.3,989.4,507.9
Bulk carrier,5,5,126.0,195.1,2006.2,2006.2,2006.2,2006.2,1741.3,1915.2,1850.7,1856.8,169.0,198.6,212.0,213.0,47.0,49.6,48.7,48.9,15.9,15.5,0.5,1221.9,1187.9,34.1,1245.4,1210.7,34.7
Chemical tanker,3,1,4.6,6.5,2007.0,2007.0,2007.0,2007.0,140.7,140.7,311.7,311.7,17.0,17.0,47.1,47.1,31.0,31.0,16.4,16.4,2.6,1.7,1.0,200.4,127.9,72.4,204.2,130.4,73.8
