Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,39,4,442.0,590.8,2004.2,2005.0,2003.7,2003.7,877.8,871.3,880.3,880.0,53.0,54.5,56.7,56.7,24.0,25.4,31.4,31.5,85.9,64.0,22.0,6587.0,4915.2,1671.8,6713.5,5009.6,1703.9
General cargo,20,5,219.2,239.1,1998.6,2001.8,1999.3,1999.6,1729.4,1412.0,1577.9,1548.5,121.0,99.9,122.4,120.8,35.0,35.5,34.4,34.9,42.7,37.5,5.2,3281.9,2883.8,398.1,3344.9,2939.2,405.7
Chemical tanker,7,4,67.9,105.3,2006.7,2005.8,2006.4,2006.4,1279.1,2221.2,2042.1,2063.0,106.0,194.9,226.8,228.8,24.0,33.4,27.2,27.6,22.7,20.7,2.0,1744.0,1590.1,154.0,1777.5,1620.6,156.9
Cruise,5,5,79.1,13.1,1985.8,1985.8,1982.2,1982.3,949.6,1163.0,1646.2,1606.5,143.0,254.0,137.2,142.9,52.0,157.8,30.4,33.7,42.4,30.1,12.3,3219.8,2291.5,928.3,3281.6,2335.5,946.1
Miscellaneous - fishing,3,3,5.8,6.8,2006.0,2006.0,2006.0,2004.6,2775.0,3523.9,3438.4,3476.9,284.0,298.3,288.6,292.6,73.0,179.7,224.7,228.1,6.8,4.8,2.0,513.6,362.7,150.8,523.4,369.7,153.7
Service - other,3,3,27.7,11.0,2013.3,2013.3,2014.3,2014.0,2219.5,2519.5,2786.7,2667.3,395.0,446.3,432.5,436.8,38.0,50.3,39.7,42.9,11.8,11.5,0.3,886.9,863.0,23.9,903.9,879.5,24.4
Offshore,2,2,4.8,5.2,2006.5,2006.5,2006.9,2006.9,894.0,894.0,810.7,810.8,81.5,81.5,72.5,72.5,103.5,103.5,112.5,112.5,2.4,1.8,0.6,186.1,139.1,46.9,189.6,141.8,47.8
Bulk carrier,2,2,1306.8,2301.4,2010.5,2010.5,2010.1,2010.1,17769.2,17769.2,13462.8,13684.3,1448.0,1448.0,2361.0,2369.0,6.0,6.0,8.3,8.3,111.2,110.8,0.4,8612.3,8584.4,27.9,8777.7,8749.2,28.5
Oil tanker,1,1,0.7,1.1,1990.0,1990.0,1990.0,1990.0,1685.1,1685.1,1685.1,1685.1,634.0,634.0,634.0,634.0,0.0,0.0,0.0,0.0,3.8,3.8,0.0,284.4,284.4,0.0,289.9,289.9,0.0
