Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,143,29,734.3,1080.3,2004.3,2002.7,2003.8,2003.9,859.8,1945.8,1079.9,1094.4,92.0,246.2,209.9,221.7,42.0,129.3,89.6,96.7,213.2,187.1,26.1,16340.6,14373.7,1966.9,16654.3,14649.6,2004.7
Oil tanker,24,5,158.9,268.2,1995.9,1999.0,1999.8,1998.6,1582.5,819.7,490.6,486.1,225.0,113.1,143.8,143.3,43.5,21.7,34.4,33.6,40.9,31.8,9.1,3124.9,2440.8,684.1,3184.9,2487.7,697.2
Container,23,1,118.2,154.3,2007.0,2007.0,2007.0,2007.0,822.4,822.4,823.2,823.2,74.0,74.0,73.9,73.9,56.0,56.0,55.8,55.8,33.9,25.0,8.9,2590.5,1920.3,670.2,2640.2,1957.1,683.1
Bulk carrier,9,8,684.0,1265.1,2006.6,2009.0,2013.4,2013.4,2147.4,2045.7,2116.9,2110.5,266.0,357.6,360.1,352.8,7.0,56.4,9.6,9.7,50.0,47.3,2.7,3867.3,3658.6,208.7,3941.5,3728.9,212.7
Offshore,7,2,7.7,2.7,2003.7,2000.5,2007.1,2005.5,2082.3,1962.3,3562.1,2646.9,266.0,210.8,654.3,596.6,29.0,32.5,26.2,28.0,21.1,20.3,0.8,1584.6,1526.9,57.7,1615.0,1556.2,58.8
Cruise,3,2,90.6,13.3,1989.7,1987.5,1987.7,1987.1,446.8,830.1,616.5,646.6,38.0,60.8,59.9,62.2,12.0,12.0,12.0,12.2,16.9,15.4,1.5,1306.8,1193.0,113.9,1331.9,1215.9,116.0
Chemical tanker,3,3,95.7,165.3,1996.7,1996.7,1997.9,1997.9,2036.3,2462.0,2422.9,2446.6,186.0,371.7,438.0,442.8,46.0,116.0,124.6,126.0,21.6,18.8,2.8,1652.4,1441.9,210.6,1684.2,1469.5,214.6
Service - other,3,2,6.5,3.6,2005.7,2008.5,2003.0,2003.8,892.4,1558.1,1764.3,1673.0,420.0,347.8,429.1,428.6,42.0,38.8,57.1,56.3,1.9,1.7,0.2,143.6,128.6,15.0,146.4,131.1,15.3
Liquefied gas tanker,2,2,1474.8,1118.8,2014.0,2014.0,2014.5,2014.6,6716.9,6716.9,6066.8,6622.1,111.5,111.5,70.9,61.8,506.0,506.0,740.8,793.7,166.2,31.5,134.6,10078.7,1910.1,8168.6,10272.2,1946.8,8325.4
Ferry-pax only,1,1,1.9,0.2,2004.0,2004.0,2004.0,2004.0,1207.7,1207.7,1207.7,1207.7,37.0,37.0,37.0,37.0,132.0,132.0,132.0,132.0,0.7,0.1,0.6,53.4,9.4,44.0,54.5,9.6,44.9
Ferry-RoPax,1,1,3.6,0.8,2007.0,2007.0,2007.0,2007.0,3210.9,3210.9,3210.9,3210.9,443.0,443.0,443.0,443.0,184.0,184.0,184.0,184.0,2.9,2.2,0.7,216.5,162.3,54.1,220.6,165.4,55.2
Service - tug,1,1,4.6,4.2,2012.0,2012.0,2012.0,2012.0,1661.2,1661.2,1661.2,1661.2,381.0,381.0,381.0,381.0,5.0,5.0,5.0,5.0,2.8,2.8,0.0,210.1,209.9,0.2,214.2,213.9,0.2
Ro-Ro,1,1,4.3,5.3,2016.0,2016.0,2016.0,2016.0,6511.6,6511.6,6511.6,6511.6,6326.0,6326.0,6326.0,6326.0,29.0,29.0,29.0,29.0,67.3,67.0,0.3,5049.7,5029.5,20.2,5146.7,5126.0,20.6
