Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,3526,689,378318.4,416723.7,2006.2,2007.0,2010.1,2009.8,1318.6,1847.4,1917.7,1873.6,90.0,126.8,200.3,199.2,19.0,22.2,20.9,21.0,37788.5,36517.2,1271.3,2924175.5,2826539.1,97636.3,2980319.6,2880808.7,99511.0
Bulk carrier,971,690,59387.6,104054.5,2007.9,2008.8,2009.5,2009.5,1295.7,2147.5,2001.2,1995.3,137.0,253.0,444.7,445.5,15.0,42.0,43.2,42.4,5240.7,5010.6,230.1,405533.1,387837.5,17695.6,413319.3,395284.0,18035.3
Oil tanker,464,381,80636.8,150886.9,2007.0,2007.2,2007.3,2007.3,1698.6,2315.5,2274.6,2271.1,172.5,250.3,327.6,326.4,11.0,59.7,55.3,53.6,5655.8,5059.9,595.9,437679.4,391668.0,46011.4,446082.8,399188.0,46894.8
Chemical tanker,324,223,11615.3,19026.8,2006.9,2007.6,2007.1,2007.0,1528.8,1712.8,1822.4,1821.6,136.0,164.7,217.1,217.6,15.0,45.6,54.1,53.7,1809.3,1559.2,250.1,139676.0,120454.6,19221.4,142357.8,122767.3,19590.5
Liquefied gas tanker,251,122,11875.1,12925.7,2009.1,2008.4,2008.0,2007.7,1495.0,2180.7,2229.0,2212.0,116.0,211.9,301.3,303.5,27.0,60.4,47.9,48.7,1581.9,1410.3,171.7,117074.7,103941.6,13133.1,119322.5,105937.3,13385.3
Vehicle,249,158,20164.3,6808.9,2007.2,2007.1,2006.9,2006.5,1424.2,1485.2,1456.0,1474.6,89.0,99.1,146.8,152.2,9.0,11.3,11.3,11.4,1296.1,1255.2,40.9,100395.0,97226.8,3168.2,102322.6,99093.5,3229.1
General cargo,186,146,5244.9,6574.9,2002.3,2003.0,2001.4,2002.2,1471.9,1910.3,2059.1,2012.2,146.0,204.1,419.7,414.4,21.5,78.0,60.1,65.6,871.1,780.5,90.6,66941.7,60097.2,6844.5,68227.0,61251.0,6976.0
Service - tug,75,60,176.7,126.2,2004.1,2007.2,2012.7,2011.1,1253.0,1476.1,2045.1,1739.1,223.0,473.6,732.7,852.3,14.0,86.9,44.8,61.5,148.8,144.0,4.8,11196.9,10833.6,363.3,11411.9,11041.6,370.3
Cruise,57,44,4001.6,453.3,2000.8,2000.9,2002.0,2001.5,1147.6,1302.2,1240.7,1217.4,65.0,100.7,139.4,136.1,12.0,28.3,14.0,14.5,919.8,850.9,68.8,71206.1,65899.8,5306.4,72573.3,67165.0,5408.3
Service - other,34,29,808.0,678.9,2000.6,1999.9,2003.2,2002.8,1958.9,3236.8,3277.2,3163.9,317.0,464.8,952.9,1069.0,42.5,188.1,92.5,85.7,296.0,285.7,10.3,22536.0,21759.0,777.0,22968.7,22176.7,791.9
Offshore,25,25,1027.1,688.5,2011.6,2011.6,2011.4,2010.9,1614.2,2680.1,3070.8,3180.4,270.0,603.0,629.7,732.8,5.0,92.1,383.7,566.6,275.2,269.1,6.2,20920.9,20458.6,462.3,21322.6,20851.4,471.2
Miscellaneous - fishing,8,7,42.2,20.6,2004.5,2003.1,1999.9,1993.9,3862.3,4370.7,3301.8,3934.8,353.5,473.4,584.0,745.8,14.5,20.8,30.1,21.8,27.4,27.1,0.3,2055.8,2035.4,20.5,2095.3,2074.4,20.9
Ro-Ro,5,1,45.2,14.5,1994.0,1994.0,1994.0,1994.0,390.6,390.6,667.8,667.8,25.0,25.0,67.8,67.8,12.0,12.0,15.1,15.1,7.9,7.1,0.8,609.9,550.6,59.2,621.6,561.2,60.4
Refrigerated bulk,3,3,40.0,43.5,1991.0,1991.0,1990.5,1990.5,1486.1,2153.3,2711.2,2734.1,140.0,686.3,1432.1,1443.7,0.0,1.0,2.4,2.4,38.4,38.3,0.1,2896.2,2892.4,3.8,2951.8,2947.9,3.9
Ferry-RoPax,1,1,80.0,18.4,1990.0,1990.0,1990.0,1990.0,3022.6,3022.6,3022.6,3022.6,187.0,187.0,187.0,187.0,13.0,13.0,13.0,13.0,15.6,15.4,0.3,1203.0,1182.5,20.5,1226.1,1205.2,20.9
Other liquids tankers,1,1,84.3,95.4,2009.0,2009.0,2009.0,2009.0,2727.5,2727.5,2727.5,2727.5,219.0,219.0,219.0,219.0,8.0,8.0,8.0,8.0,8.8,8.6,0.1,679.5,668.6,10.9,692.5,681.4,11.1
