Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,119,10,710.6,1103.6,1999.3,2002.7,1999.0,1998.9,296.2,459.8,771.1,740.4,32.0,62.4,497.6,477.6,53.0,59.4,53.2,56.1,195.4,132.9,62.5,14900.2,10190.2,4710.0,15186.3,10385.8,4800.5
Oil tanker,86,23,510.7,914.0,1991.6,1999.0,2002.2,2002.5,386.4,486.5,419.4,412.7,181.0,233.1,278.4,266.7,31.0,82.9,164.9,161.6,391.2,322.4,68.8,29591.2,24344.3,5247.0,30159.4,24811.7,5347.7
Bulk carrier,47,29,792.6,1372.0,2008.6,2007.9,2009.6,2009.7,269.7,520.6,646.8,649.2,28.0,107.4,288.2,291.8,11.0,17.7,70.7,71.0,72.6,62.1,10.4,5607.8,4801.9,805.9,5715.5,4894.1,821.3
Service - tug,27,14,26.2,25.1,2000.8,2007.4,2002.9,1998.3,353.4,1598.3,889.3,826.9,73.0,1079.9,2904.2,2435.5,32.0,244.1,421.5,335.9,37.2,30.9,6.3,2790.6,2317.8,472.8,2844.2,2362.3,481.9
Container,27,19,168.6,216.1,2002.7,2003.4,2002.1,2001.9,150.5,194.4,230.4,238.9,16.0,44.7,129.3,132.8,9.0,11.3,10.9,10.9,39.6,34.5,5.1,3033.6,2643.0,390.6,3091.8,2693.7,398.1
Chemical tanker,18,15,404.1,668.0,2007.5,2007.8,2007.7,2007.7,526.4,600.4,893.1,892.9,87.5,87.9,231.7,231.8,50.5,80.0,52.0,52.0,86.7,60.9,25.7,6692.2,4719.4,1972.8,6820.7,4810.0,2010.6
Cruise,16,8,64.5,7.4,2000.8,1999.2,1997.6,1998.0,131.6,187.6,185.5,180.9,13.0,16.0,21.5,21.1,10.0,9.6,11.0,11.2,17.3,11.5,5.9,1337.1,887.2,449.9,1362.8,904.2,458.6
Offshore,12,3,37.9,19.0,2007.2,2000.0,2010.4,2009.6,196.5,241.5,296.7,360.9,119.0,111.3,855.2,754.7,18.0,25.2,18.3,26.3,17.1,16.1,1.0,1285.7,1207.5,78.2,1310.4,1230.6,79.7
Vehicle,10,10,92.7,30.9,2003.3,2003.3,2004.0,2003.6,163.4,171.0,171.3,171.3,12.5,15.1,15.7,15.6,10.5,22.5,27.2,27.7,7.9,5.4,2.5,612.4,421.0,191.4,624.2,429.1,195.1
Liquefied gas tanker,9,9,57.5,72.2,2002.8,2002.8,1996.5,1996.5,251.6,251.1,267.5,280.0,39.0,53.6,97.3,102.0,28.0,44.2,28.9,29.8,15.9,10.1,5.8,1220.5,782.8,437.7,1244.0,797.9,446.1
Service - other,8,6,29.5,22.0,2004.5,2006.8,1995.4,1994.3,232.3,755.6,926.3,1096.6,67.5,111.2,287.1,296.0,36.0,57.3,135.7,141.9,16.9,12.2,4.7,1268.7,919.4,349.3,1293.1,937.1,356.0
Miscellaneous - fishing,2,1,9.5,2.6,2017.0,2017.0,2017.0,2017.0,1232.6,1232.6,1232.6,1232.6,173.0,173.0,200.2,200.2,29.0,29.0,23.3,23.3,2.3,2.0,0.3,169.7,149.5,20.2,173.0,152.4,20.6
