Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Offshore,332,13,38.0,56.7,1982.4,1984.2,1982.8,1983.1,126.9,236.4,147.5,148.3,20.0,36.2,155.7,169.4,7.0,178.6,40.1,37.0,106.9,84.1,22.8,8024.0,6314.0,1710.0,8178.1,6435.3,1742.8
Ro-Ro,209,8,274.6,308.3,1990.5,1995.4,1990.4,1989.8,122.6,363.2,276.6,317.5,19.0,36.1,74.6,83.1,10.0,30.1,19.7,20.6,174.3,146.8,27.5,13220.6,11155.1,2065.4,13474.4,11369.3,2105.1
Cruise,154,43,4476.7,373.1,1996.4,1998.5,2010.5,2009.4,162.3,420.9,615.6,575.6,20.0,34.0,67.5,66.3,9.5,12.0,8.3,8.6,912.6,812.2,100.4,70327.3,62634.6,7692.7,71677.6,63837.2,7840.4
General cargo,110,21,364.3,468.5,1981.5,1988.8,2005.0,2004.7,129.3,873.8,1102.6,1092.0,21.5,101.7,207.4,204.4,10.0,43.3,82.5,85.7,65.1,58.1,7.0,4982.9,4456.4,526.5,5078.6,4542.0,536.6
Service - tug,51,9,9.2,7.8,1986.0,1985.8,1997.0,1995.7,110.7,824.1,315.3,239.5,15.0,864.8,996.3,790.1,27.0,68.4,46.8,44.9,31.3,28.3,3.0,2351.5,2125.6,225.9,2396.6,2166.4,230.2
Ferry-RoPax,46,2,3.6,1.0,1970.1,1971.5,1970.1,1970.1,95.0,94.4,104.5,104.5,15.0,13.8,26.8,26.9,6.0,9.5,10.9,10.9,7.2,5.2,2.0,537.6,387.2,150.4,547.9,394.6,153.3
Chemical tanker,27,12,74.4,118.4,2011.0,2007.2,2009.2,2009.3,157.5,385.5,276.3,279.0,16.0,42.0,80.7,81.2,23.0,73.3,44.0,43.1,30.6,16.2,14.4,2325.1,1240.3,1084.7,2369.7,1264.2,1105.5
Oil tanker,25,7,50.0,84.3,2002.1,2004.3,2004.9,2005.0,174.3,214.9,215.5,217.6,16.0,18.6,23.8,23.7,23.0,26.0,27.4,27.4,19.5,8.6,11.0,1476.9,653.5,823.4,1505.3,666.1,839.2
Liquefied gas tanker,14,1,12.0,12.5,2007.0,2007.0,2007.0,2007.0,164.9,164.9,179.8,179.8,18.0,18.0,20.2,20.2,8.0,8.0,12.0,12.0,7.1,4.5,2.6,536.7,341.3,195.4,547.0,347.8,199.2
Miscellaneous - fishing,12,2,0.8,0.6,1957.1,1967.5,1973.0,1970.9,99.0,832.6,330.4,268.3,12.5,279.0,400.3,357.7,47.0,3532.0,5057.2,4483.3,15.8,2.4,13.3,1182.6,180.7,1001.9,1205.3,184.1,1021.1
Service - other,2,1,0.5,0.2,1991.0,1991.0,1991.0,1991.0,257.2,257.2,257.2,257.2,51.0,51.0,57.9,57.9,36.0,36.0,26.6,26.6,0.6,0.5,0.1,47.3,37.2,10.2,48.2,37.9,10.4
Ferry-pax only,2,1,0.2,0.0,2000.0,2000.0,2000.0,2000.0,129.4,129.4,129.4,129.4,41.5,41.5,47.5,47.5,10.5,10.5,8.7,8.7,0.2,0.1,0.0,12.0,9.6,2.4,12.3,9.8,2.5
Container,2,2,11.0,13.1,2012.0,2012.0,2010.2,2010.1,1043.7,1043.7,1047.8,1048.3,112.5,112.5,112.1,112.0,41.5,41.5,31.7,30.7,4.1,3.5,0.5,311.5,271.9,39.5,317.4,277.2,40.3
Refrigerated bulk,1,1,13.8,15.2,1993.0,1993.0,1993.0,1993.0,1888.0,1888.0,1888.0,1888.0,113.0,113.0,113.0,113.0,80.0,80.0,80.0,80.0,6.4,5.0,1.3,485.6,386.1,99.6,494.9,393.5,101.5
Vehicle,1,1,3.8,1.0,2010.0,2010.0,2010.0,2010.0,189.0,189.0,189.0,189.0,21.0,21.0,21.0,21.0,2.0,2.0,2.0,2.0,0.5,0.4,0.0,35.9,34.4,1.6,36.6,35.0,1.6
Bulk carrier,1,1,101.1,175.2,2014.0,2014.0,2014.0,2014.0,2769.3,2769.3,2769.3,2769.3,309.0,309.0,309.0,309.0,130.0,130.0,130.0,130.0,12.2,11.3,0.9,943.3,875.7,67.6,961.5,892.6,68.9
