Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Miscellaneous - fishing,1679,204,3411.6,2274.9,1990.6,1993.9,1999.8,2000.3,592.5,1300.2,1610.6,1452.2,100.0,268.7,977.5,869.4,28.0,100.7,332.0,339.3,1969.3,1429.1,540.2,148096.3,107485.9,40610.4,150939.7,109549.6,41390.1
Cruise,523,64,2394.4,304.6,1991.0,1993.6,1999.5,1994.3,175.8,228.9,217.4,208.1,16.0,19.9,18.6,19.9,8.0,11.6,13.2,13.4,789.1,555.6,233.5,60694.8,42809.8,17885.0,61860.1,43631.7,18228.4
General cargo,484,80,351.2,448.5,1999.3,2001.0,2001.2,2001.4,192.8,246.8,215.8,213.2,20.0,30.8,32.6,29.4,9.0,27.2,18.4,16.9,133.6,118.1,15.5,10223.8,9056.9,1166.9,10420.1,9230.8,1189.3
Service - other,186,9,241.3,138.1,1993.4,1996.2,2002.2,2000.2,226.5,1143.1,594.2,608.0,43.5,292.0,292.0,464.4,15.0,186.2,334.6,329.2,167.6,113.7,53.9,12581.6,8536.3,4045.3,12823.1,8700.2,4122.9
Container,161,13,458.4,545.5,2005.2,2006.5,2001.9,2002.1,178.6,250.6,264.1,263.4,31.0,27.3,36.6,36.4,5.0,5.6,5.8,5.8,152.5,142.6,9.9,11706.2,10957.9,748.3,11930.9,11168.3,762.6
Oil tanker,154,3,13.1,12.1,1978.7,2000.7,1991.8,1993.9,119.1,286.4,186.6,197.0,20.0,28.5,42.6,41.8,5.0,9.3,15.2,14.7,64.8,42.0,22.8,4873.3,3163.9,1709.4,4966.9,3224.7,1742.2
Chemical tanker,92,13,193.5,270.6,2004.2,2000.8,2004.9,2004.9,219.7,287.3,251.0,250.9,24.5,31.3,30.1,30.1,7.0,11.7,7.9,7.9,60.3,49.4,10.9,4612.3,3791.8,820.5,4700.9,3864.6,836.3
Refrigerated bulk,67,17,42.2,40.3,1990.1,1990.8,1991.0,1991.9,149.7,204.0,191.7,191.4,17.0,21.4,28.9,29.7,16.0,17.3,23.3,23.2,41.4,23.9,17.5,3129.5,1811.3,1318.2,3189.6,1846.1,1343.5
Service - tug,52,4,2.2,1.0,1993.7,1997.8,1995.1,1990.8,122.1,299.5,229.3,198.0,187.0,505.2,929.8,911.4,18.5,29.9,118.5,77.7,31.1,26.1,5.1,2338.4,1958.9,379.4,2383.2,1996.5,386.7
Ferry-RoPax,41,2,168.2,22.1,2000.4,1999.5,1995.1,1994.0,203.5,381.2,512.4,705.7,15.0,17.5,1475.4,1607.9,8.0,13.5,26.8,28.6,97.9,84.5,13.3,7461.4,6444.9,1016.5,7604.7,6568.7,1036.0
Ferry-pax only,27,3,19.2,2.8,1972.3,1978.3,1981.4,1976.5,1011.3,2026.8,1934.9,1542.9,322.0,464.0,763.4,759.7,16.0,30.3,149.1,190.5,38.3,30.0,8.3,2873.9,2249.2,624.7,2929.1,2292.4,636.7
Bulk carrier,14,5,22.9,33.3,2003.4,1999.8,2007.1,2007.4,324.4,232.3,269.6,267.1,29.0,25.8,29.6,29.4,19.5,14.4,21.3,20.9,6.4,5.9,0.6,495.9,454.4,41.5,505.4,463.1,42.3
Ro-Ro,4,2,3.1,3.0,1980.8,1980.5,1980.7,1980.7,181.3,181.3,167.6,167.5,15.5,15.5,16.2,16.2,18.0,17.0,16.9,17.0,1.8,1.0,0.8,134.6,75.9,58.6,137.2,77.4,59.8
