Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Nagoya,12540,2118,57190.4,56130.1,2007.2,2007.6,2006.9,2007.7,240.5,333.0,316.8,312.1,23.0,46.4,103.9,108.4,9.0,28.6,34.5,43.1,10718.1,9027.5,1690.5,813185.3,684827.8,128357.5,828798.4,697976.5,130821.9
Mizushima,8844,1347,17247.1,27567.1,2007.7,2007.7,2008.9,2009.3,169.3,324.8,386.4,403.6,18.0,41.9,94.3,96.9,12.5,41.5,55.3,58.3,4671.6,3088.4,1583.2,355896.9,235547.9,120349.0,362730.1,240070.4,122659.7
Tomakomai Ko,7550,662,28568.8,22710.2,2008.2,2007.2,2009.1,2008.5,381.2,483.5,494.7,518.0,22.0,46.7,77.0,115.4,10.0,33.2,28.0,39.0,10755.6,8749.0,2006.6,828279.1,674579.0,153700.1,844182.1,687530.9,156651.2
Osaka,7299,1008,12735.6,10987.9,2006.8,2006.6,2007.1,2007.6,243.9,343.9,327.7,322.9,22.0,42.2,56.4,59.5,10.0,37.0,28.9,31.1,5658.8,4527.3,1131.5,433040.2,346849.2,86191.0,441354.6,353508.8,87845.8
Kobe,7226,1347,29975.2,28583.9,2007.1,2007.4,2006.9,2007.8,242.9,318.3,326.0,318.6,21.0,38.2,49.1,56.2,10.0,27.1,20.5,23.0,6060.3,5016.3,1044.0,465476.1,386041.6,79434.5,474413.2,393453.6,80959.6
Kawasaki,6673,1229,12568.2,15804.0,2006.5,2006.5,2007.9,2008.0,283.6,364.7,357.7,380.2,32.0,49.3,88.3,104.9,12.0,34.5,40.4,48.6,4950.7,3565.0,1385.7,376930.2,271836.9,105093.3,384167.3,277056.2,107111.1
Yokkaichi,6648,742,6748.8,10076.2,2006.7,2007.2,2008.0,2008.6,237.2,314.5,328.4,333.5,23.0,36.3,96.4,113.3,13.0,27.5,38.0,42.0,3953.4,2570.5,1382.9,300142.1,195824.7,104317.4,305904.8,199584.5,106320.3
Yokohama,6606,1729,33454.3,28167.4,2006.9,2006.9,2006.8,2007.9,250.2,349.1,330.0,326.7,27.0,45.5,63.6,63.8,11.0,37.0,46.0,48.7,6317.7,4738.0,1579.6,482816.4,362453.6,120362.8,492086.4,369412.7,122673.8
Oita,6462,1009,11616.9,16480.0,2006.9,2007.0,2007.9,2009.2,185.5,357.5,483.3,497.5,16.0,43.4,161.1,189.1,13.0,33.7,49.5,50.7,3496.2,2618.0,878.2,265616.1,199062.0,66554.2,270716.0,202884.0,67832.0
Sakaisenboku,6045,1018,16397.5,21518.7,2007.8,2007.1,2009.5,2009.8,232.1,328.4,419.0,449.2,22.0,38.6,164.5,170.1,8.0,27.2,87.3,75.2,4535.8,3235.9,1299.9,341495.1,243683.7,97811.4,348051.8,248362.4,99689.4
