Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
"Korea, Republic of",14359,2905,133842.9,157572.2,2003.2,2006.5,2008.2,2008.7,518.9,879.0,715.2,750.5,41.0,85.1,122.3,137.6,15.0,56.7,86.7,84.6,22789.9,16521.6,6268.3,1740175.1,1265702.1,474473.0,1773586.4,1290003.6,483582.8
China,12708,2719,244273.9,250831.1,2005.5,2006.7,2008.0,2008.2,950.2,1191.2,1047.6,1138.2,81.0,128.8,131.6,162.8,19.0,69.6,57.3,72.6,38636.2,32752.7,5883.4,2972147.0,2521006.8,451140.2,3029212.2,2569410.1,459802.1
"Taiwan, Province of China",2732,919,72476.3,76604.3,2006.8,2007.2,2007.5,2007.9,1078.5,1366.8,1185.6,1303.5,83.0,130.9,290.7,273.5,11.0,42.9,32.4,33.3,10851.3,9830.7,1020.6,821534.8,743256.2,78278.6,837308.3,757526.7,79781.6
Russian Federation,2571,879,53809.4,66966.6,1999.5,2004.2,2007.5,2008.1,664.8,1060.3,1179.2,1131.2,71.0,147.3,209.9,197.0,45.0,82.6,82.3,87.5,6591.1,5140.6,1450.5,485729.6,377246.3,108483.3,495055.7,384489.5,110566.2
Australia,2484,1092,704974.3,1038747.4,2009.7,2010.1,2009.5,2010.2,4062.5,4199.5,4144.3,4111.4,346.0,364.9,371.5,372.7,36.0,82.7,86.3,95.9,46220.8,43963.3,2257.5,3332236.5,3164811.9,167424.6,3396215.5,3225576.3,170639.2
United States of America,1612,930,439529.0,434297.9,2008.6,2009.4,2009.0,2010.1,4839.2,5949.5,6204.1,5965.3,390.0,509.3,533.4,556.4,47.0,79.4,63.0,84.3,38342.0,37068.4,1273.7,2919283.8,2825324.6,93959.2,2975334.1,2879570.8,95763.2
Singapore,1486,1091,218323.2,234190.5,2008.4,2008.9,2008.2,2008.9,2810.1,2991.3,2998.5,2974.9,227.0,268.1,277.1,286.2,15.0,42.5,61.4,60.4,20804.0,19212.3,1591.7,1528924.7,1406928.4,121996.4,1558280.1,1433941.4,124338.7
Philippines,915,339,21874.4,28631.6,2003.1,2006.4,2005.3,2006.5,1900.0,2020.4,2054.5,2076.5,139.0,187.4,185.1,196.2,44.0,92.2,78.8,85.0,4891.0,4138.2,752.8,374514.2,317603.0,56911.2,381704.8,323700.9,58003.9
Hong Kong,754,357,33760.3,35738.2,2007.5,2007.1,2008.5,2008.1,1467.4,1720.2,1551.1,1589.6,117.0,165.4,131.2,145.5,10.0,20.0,21.3,18.6,4423.6,4144.6,279.0,340859.7,319353.3,21506.4,347404.2,325484.8,21919.3
Indonesia,735,450,100863.1,151573.7,2006.4,2008.2,2006.1,2008.0,2895.3,3729.1,3171.5,3092.6,244.0,395.4,418.8,399.4,33.0,74.4,84.9,83.7,8487.8,7798.4,689.3,619356.9,569307.8,50049.1,631248.6,580238.5,51010.0
