Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Guyana,289,76,605.5,791.1,2005.4,2005.4,2007.0,2007.4,232.7,267.4,247.4,250.0,21.0,53.4,61.9,64.1,22.0,31.0,29.5,30.8,238.6,158.2,80.4,18148.5,12099.5,6048.9,18496.9,12331.8,6165.1
Trinidad and Tobago,175,63,796.9,1008.3,2001.6,2006.1,2005.4,2004.8,571.1,1863.2,682.8,639.8,57.0,197.0,279.9,163.5,28.0,116.9,252.8,125.9,308.1,243.9,64.2,23402.4,18570.5,4832.0,23851.8,18927.0,4924.8
Guadeloupe,48,9,363.3,491.2,2006.0,2006.4,2005.5,2005.5,741.0,759.4,748.5,748.1,54.0,58.4,56.6,56.6,10.5,25.1,11.6,11.8,89.0,83.5,5.5,6841.4,6425.7,415.7,6972.7,6549.1,423.7
Ecuador,22,8,641.4,734.5,1998.5,1998.6,1998.5,1998.5,2482.8,2495.1,2489.1,2489.8,151.0,152.4,154.0,154.0,48.0,47.9,44.9,44.7,237.5,210.8,26.7,18148.2,16142.7,2005.5,18496.7,16452.6,2044.1
French Guiana,21,10,32.4,42.7,2000.0,2004.4,2008.1,2007.7,285.1,342.8,285.7,281.8,29.0,80.2,63.3,64.8,34.0,472.0,59.7,49.8,21.2,10.9,10.2,1599.2,829.6,769.6,1629.9,845.5,784.4
Dominican Republic,21,9,237.2,289.8,2006.0,2004.0,2006.5,2007.4,1188.6,1255.4,1213.0,1185.0,106.0,112.1,117.6,112.7,17.0,44.1,32.4,28.0,59.3,52.8,6.6,4543.9,4050.4,493.4,4631.1,4128.2,502.9
Brazil,19,19,346.7,502.1,2010.3,2010.3,2011.9,2011.9,1151.9,1550.2,1367.1,1336.5,165.0,230.4,238.8,232.5,73.0,187.7,130.7,116.2,59.9,52.5,7.5,4570.9,4008.2,562.7,4658.7,4085.2,573.5
South Africa,18,18,1931.2,3081.3,2007.3,2007.3,2007.6,2007.6,5716.5,5644.5,5646.7,5645.8,509.5,594.2,583.5,584.4,11.0,13.0,12.9,12.9,186.8,186.2,0.5,14427.9,14387.5,40.4,14704.9,14663.8,41.2
Barbados,16,5,128.0,45.4,2007.8,2002.8,2009.5,2008.0,530.3,566.4,530.4,542.2,41.5,51.4,41.1,43.8,7.5,10.0,7.6,8.7,27.8,26.1,1.8,2146.2,2011.6,134.6,2187.4,2050.2,137.2
Antigua and Barbuda,16,7,80.0,119.5,2008.1,2006.9,2007.3,2007.3,855.5,945.0,911.5,912.7,86.0,144.6,122.9,123.8,33.5,33.8,42.1,42.4,36.9,28.0,8.9,2811.1,2145.3,665.9,2865.1,2186.4,678.6
