Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Tauranga,891,417,128982.7,169108.3,2008.0,2008.9,2007.7,2008.2,5134.7,4944.5,4428.7,4505.9,315.0,388.6,368.2,380.9,23.0,75.6,48.1,55.2,17746.8,17386.5,360.3,1372474.2,1344885.4,27588.8,1398825.7,1370707.2,28118.5
Auckland,559,192,49539.6,42236.6,2005.5,2006.2,2006.5,2006.9,1389.3,3274.7,2639.5,2742.6,100.0,271.9,287.0,299.7,19.0,55.9,41.2,35.9,6676.6,6453.8,222.8,516676.1,499536.3,17139.9,526596.3,509127.4,17468.9
Marsden Point,258,211,39347.0,65859.2,2010.8,2010.8,2010.4,2010.3,5121.8,4874.6,4964.3,5043.0,451.0,456.1,547.5,558.5,69.5,99.9,97.6,96.5,3808.0,3545.3,262.8,294624.8,274383.1,20241.7,300281.6,279651.2,20630.4
Port Chalmers,89,40,18491.9,19288.3,2004.9,2006.9,2004.6,2004.6,5235.4,3885.4,3422.6,5109.4,342.0,302.1,315.3,374.5,18.0,49.8,29.0,35.7,2797.5,2737.3,60.2,216678.5,212020.5,4658.0,220838.7,216091.3,4747.4
Lyttelton,78,64,12611.1,13296.4,2008.5,2008.7,2008.6,2010.7,5263.0,4681.5,4784.8,4785.0,319.0,367.6,478.0,536.5,21.0,81.9,61.2,75.6,1215.9,1168.6,47.3,93990.1,90364.4,3625.8,95794.7,92099.4,3695.4
New Plymouth,76,51,7944.1,13101.4,2010.5,2010.5,2009.7,2009.5,5055.5,3945.8,3866.4,3916.6,393.5,395.0,433.9,431.1,37.5,58.7,41.6,40.8,1011.9,932.2,79.7,76493.5,70387.1,6106.4,77962.2,71738.5,6223.6
Seaview,72,69,8533.4,12548.4,2010.9,2011.0,2011.7,2012.2,5537.7,5163.8,4885.1,5281.4,488.5,466.6,487.4,507.8,66.0,104.5,106.0,114.3,1062.6,1033.0,29.5,82149.4,79886.4,2263.0,83726.6,81420.2,2306.5
Nelson,68,44,18018.4,12209.4,2006.8,2007.2,2007.3,2009.8,5245.3,5504.0,5603.6,6445.2,325.0,439.0,510.8,830.1,16.0,50.8,47.0,87.2,1275.5,1234.1,41.4,98735.8,95553.5,3182.3,100631.5,97388.1,3243.4
Gisborne,34,32,3920.2,6292.8,2009.8,2009.6,2010.1,2010.1,6017.0,6093.9,6016.1,6005.1,575.5,572.2,608.6,611.4,58.5,69.0,81.1,82.1,446.9,436.6,10.2,34505.5,33728.7,776.8,35168.0,34376.3,791.7
Picton,32,28,4559.1,5497.8,2011.7,2012.0,2012.0,2013.3,6465.5,5509.7,3330.2,5692.9,533.5,486.0,471.4,578.5,56.5,92.6,93.3,100.0,587.0,550.4,36.6,45388.5,42579.9,2808.6,46259.9,43397.4,2862.5
Timaru,30,29,2750.2,4239.7,2008.6,2009.0,2010.3,2010.3,6020.5,5453.0,5575.9,5513.0,501.5,515.9,555.3,544.0,60.0,135.5,102.8,100.9,345.8,323.4,22.4,26677.9,24964.8,1713.1,27190.1,25444.1,1746.0
Bluff,29,28,1784.1,2667.4,2005.4,2005.7,2007.3,2007.7,1334.3,2456.3,2662.7,2595.7,145.0,222.8,351.6,347.5,47.0,145.6,263.9,277.0,256.5,181.9,74.6,19828.4,14059.3,5769.1,20209.1,14329.2,5879.8
Burnham Wharf,24,20,2605.0,2768.4,2006.0,2005.7,2008.1,2008.0,5063.5,3942.5,3894.4,4742.8,295.5,315.6,375.4,446.5,25.5,72.7,46.3,60.3,309.2,289.4,19.8,23902.2,22382.9,1519.3,24361.1,22812.7,1548.4
Dunedin,19,13,1589.0,2560.5,2010.6,2009.7,2011.2,2011.4,1998.8,5052.4,6039.1,6328.4,326.0,442.2,624.4,638.3,35.0,321.9,76.6,44.4,225.2,204.7,20.5,17357.4,15804.4,1553.0,17690.7,16107.9,1582.8
Shelly Bay,19,15,3599.2,1156.0,2005.0,2005.0,2005.8,2007.6,5101.8,4049.4,3261.7,4302.4,288.0,268.6,326.2,392.3,16.0,31.9,25.0,26.8,432.6,399.2,33.4,33497.3,30911.8,2585.5,34140.5,31505.4,2635.1
Russel,17,12,1638.0,166.7,1997.6,1998.8,2000.8,1999.3,1181.1,1231.9,1207.7,1211.4,66.0,75.8,69.1,70.2,10.0,16.7,13.7,14.1,388.3,366.8,21.5,30076.6,28408.3,1668.3,30654.1,28953.8,1700.3
Milford Sound,7,4,859.1,69.8,2011.6,2008.2,2013.6,2012.6,1176.2,1113.8,1209.8,1206.4,66.0,73.8,67.2,68.1,14.0,15.5,35.6,32.7,122.9,105.6,17.3,9523.0,8183.8,1339.1,9705.8,8341.0,1364.8
Wellington,6,6,747.5,1253.4,2009.2,2009.2,2009.6,2009.7,5269.8,4264.3,4257.7,4288.9,407.5,362.2,429.5,430.2,34.5,39.7,45.1,45.2,89.5,83.5,6.0,6931.3,6470.3,461.0,7064.4,6594.5,469.9
Matiatia Bay,6,6,368.2,161.7,2007.0,2007.0,2011.6,2010.9,1565.3,1822.0,3256.7,2651.9,111.0,136.3,356.7,308.7,74.5,97.0,133.4,136.0,34.7,31.8,2.9,2677.9,2457.0,220.9,2729.3,2504.2,225.1
Waitangi,5,3,612.1,59.8,2005.8,2003.7,2009.2,2007.1,1178.2,1136.3,1167.6,1161.5,64.0,64.3,64.3,64.4,11.0,10.3,11.3,11.1,125.0,119.8,5.2,9684.5,9282.5,402.0,9870.4,9460.7,409.7
Devonport,5,5,96.5,32.4,2001.2,2001.2,2000.2,1998.5,1347.8,1985.5,1506.6,1365.9,98.0,132.8,121.9,113.7,22.0,88.4,28.3,15.6,11.1,10.2,0.9,846.9,778.9,68.0,863.1,793.8,69.3
Ravensbourne,3,3,268.4,448.6,2013.3,2013.3,2014.5,2014.4,2365.8,3557.8,3169.8,3074.8,218.0,334.3,442.4,430.8,42.0,87.7,121.6,117.8,19.9,19.2,0.7,1539.4,1486.3,53.1,1569.0,1514.8,54.2
Half Moon Bay,2,2,36.8,49.1,2008.0,2008.0,2008.1,2008.1,1643.4,1643.4,1631.5,1631.2,130.0,130.0,128.7,128.7,90.5,90.5,98.6,98.8,8.0,7.1,0.9,613.0,544.0,69.0,624.8,554.4,70.4
Takapuna,2,2,86.0,111.0,2002.5,2002.5,2003.3,2003.3,1402.9,1402.9,1512.6,1504.2,93.0,93.0,97.5,97.2,17.5,17.5,17.8,17.8,14.5,14.0,0.5,1123.2,1085.1,38.1,1144.7,1105.9,38.8
Stewart Island,2,2,90.6,17.0,2001.0,2001.0,1996.4,2000.0,1924.4,1924.4,1436.9,1644.8,181.0,181.0,127.5,169.6,22.5,22.5,15.3,21.0,24.4,23.9,0.5,1863.0,1824.3,38.7,1898.7,1859.3,39.4
Waitara,1,1,168.2,259.4,2006.0,2006.0,2006.0,2006.0,5411.3,5411.3,5411.3,5411.3,539.0,539.0,539.0,539.0,40.0,40.0,40.0,40.0,25.0,24.0,1.0,1938.2,1861.9,76.4,1975.4,1897.6,77.8
Whangaroa,1,1,12.9,17.8,2007.0,2007.0,2007.0,2007.0,1301.4,1301.4,1301.4,1301.4,117.0,117.0,117.0,117.0,17.0,17.0,17.0,17.0,3.3,3.1,0.2,253.8,239.6,14.2,258.7,244.2,14.5
Mangawhai,1,1,25.6,21.3,2001.0,2001.0,2001.0,2001.0,2098.0,2098.0,2098.0,2098.0,755.0,755.0,755.0,755.0,48.0,48.0,48.0,48.0,4.0,3.9,0.1,297.0,290.7,6.3,302.7,296.3,6.4
Glenavy,1,1,193.8,309.9,2012.0,2012.0,2012.0,2012.0,6745.3,6745.3,6745.3,6745.3,552.0,552.0,552.0,552.0,90.0,90.0,90.0,90.0,19.1,18.4,0.7,1475.7,1421.5,54.1,1504.0,1448.8,55.2
Kaikura,1,1,181.4,293.3,2014.0,2014.0,2014.0,2014.0,7779.2,7779.2,7779.2,7779.2,773.0,773.0,773.0,773.0,67.0,67.0,67.0,67.0,16.6,16.3,0.3,1285.0,1265.0,20.0,1309.7,1289.3,20.4
