Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,372,80,1032.1,1316.4,1978.9,1991.8,1999.2,1999.9,203.7,985.7,754.6,746.6,49.5,236.6,292.5,300.9,32.0,121.8,126.6,131.1,285.7,227.7,58.0,21696.3,17327.1,4369.2,22112.9,17659.8,4453.1
Container,172,42,2333.0,2831.2,2002.7,2004.7,2004.7,2004.6,261.4,564.6,505.7,497.0,158.0,190.1,236.8,235.5,20.0,33.6,30.6,31.0,622.5,543.2,79.2,47852.2,41798.1,6054.2,48771.0,42600.6,6170.4
Bulk carrier,105,86,4703.6,8308.8,2006.1,2006.2,2008.3,2008.4,1363.9,1492.4,1586.7,1598.3,271.0,398.7,435.8,431.7,75.0,114.1,101.0,100.1,479.6,437.1,42.5,37028.9,33762.5,3266.5,37739.9,34410.7,3329.2
Chemical tanker,69,59,3368.2,5530.3,2009.4,2009.2,2009.9,2009.9,1771.9,1860.2,2001.2,1995.2,373.0,573.3,771.0,773.1,31.0,47.1,46.6,47.0,723.3,670.3,53.1,55968.5,51881.5,4087.0,57043.1,52877.6,4165.4
Oil tanker,66,50,12959.9,23704.3,2005.8,2006.3,2007.5,2007.5,3467.5,3472.1,3924.5,3959.1,402.0,443.6,476.5,475.5,26.5,41.6,42.3,42.5,1218.5,1128.6,89.9,94370.8,87411.3,6959.6,96182.8,89089.6,7093.2
Ro-Ro,46,12,372.8,275.8,1979.7,1983.9,1988.6,1990.8,271.5,1138.8,857.6,1004.5,96.5,290.2,280.2,304.7,51.5,119.6,160.3,150.6,146.1,89.6,56.5,11125.5,6851.1,4274.4,11339.2,6982.7,4356.5
Vehicle,32,31,3295.6,1083.9,2006.5,2006.2,2006.1,2005.7,1103.3,1972.8,1799.2,1819.4,98.5,138.8,233.6,244.4,8.5,14.2,17.1,17.5,201.1,196.3,4.9,15579.9,15202.0,378.0,15879.1,15493.8,385.2
Liquefied gas tanker,31,13,684.0,772.8,2012.7,2012.8,2013.3,2013.2,2219.6,2748.8,2735.9,2737.1,205.0,693.7,1031.8,1033.0,29.0,44.4,39.2,38.9,200.9,184.1,16.8,15368.7,14098.3,1270.4,15663.8,14369.0,1294.8
Ferry-RoPax,16,3,9.8,3.7,1973.8,1977.3,1975.2,1975.2,211.8,276.5,249.7,229.2,63.0,52.2,116.0,141.5,23.5,55.5,55.1,50.3,12.9,9.2,3.7,966.8,691.0,275.8,985.4,704.3,281.1
Service - tug,5,5,3.3,3.1,1998.8,1998.8,1991.2,1992.4,820.8,877.6,759.5,729.0,624.0,843.2,994.7,1163.7,71.0,516.4,654.3,887.6,9.5,7.8,1.7,715.3,589.0,126.4,729.1,600.3,128.8
Service - other,1,1,2.9,1.0,1991.0,1991.0,1991.0,1991.0,1818.5,1818.5,1818.5,1818.5,426.0,426.0,426.0,426.0,4.0,4.0,4.0,4.0,1.1,1.1,0.0,86.0,85.4,0.7,87.7,87.0,0.7
