Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Rodman,269,86,497.2,665.3,2006.0,2001.9,1997.6,1996.4,394.3,1088.2,481.2,502.5,163.0,385.9,697.2,725.0,80.0,185.3,487.6,515.9,627.6,396.5,231.1,47394.2,29895.9,17498.3,48304.2,30469.9,17834.3
Balboa,263,55,392.3,550.2,2009.2,2003.6,2003.5,2002.3,390.5,892.5,433.5,473.5,205.0,512.5,780.2,822.0,47.0,201.2,175.2,191.9,517.4,375.9,141.5,39185.1,28439.9,10745.2,39937.5,28985.9,10951.6
Manzanillo,151,60,254.8,321.2,2001.1,2001.4,2005.7,2007.2,125.8,706.3,305.0,276.5,111.0,348.0,177.3,134.0,66.0,148.0,195.9,197.0,335.0,173.5,161.5,25284.5,13039.9,12244.6,25769.9,13290.3,12479.7
Cristobal,149,84,589.7,872.3,1998.8,2005.0,2007.1,2006.3,66.3,702.4,164.4,183.2,75.0,302.7,701.1,694.8,68.0,218.8,183.1,125.8,430.0,253.8,176.1,32623.6,19245.2,13378.4,33250.0,19614.7,13635.3
Taboguilla,117,65,1268.2,1604.3,2001.0,2001.2,2007.7,2007.8,171.4,597.2,1013.5,780.4,111.0,248.0,1156.9,1059.2,68.0,261.7,144.8,150.5,557.7,345.7,212.0,42351.6,26308.5,16043.1,43164.7,26813.6,16351.1
Puerto Colon,93,24,188.9,273.3,1997.9,2000.0,2004.6,2004.3,63.3,528.7,485.6,476.9,123.0,172.6,772.7,831.9,59.0,71.1,164.9,159.5,161.5,107.1,54.3,12221.3,8114.3,4107.0,12455.9,8270.1,4185.8
Las Minas,70,13,15.4,18.9,2002.6,2007.5,2002.3,1999.6,90.0,182.1,79.2,67.2,129.0,301.7,330.4,187.1,47.0,128.8,81.7,76.5,103.7,68.8,34.9,7791.0,5166.9,2624.1,7940.5,5266.1,2674.5
Melones,66,17,31.8,48.3,1990.7,1990.8,1997.1,1996.5,119.1,301.5,125.0,116.8,225.0,409.6,607.2,592.0,84.5,325.2,264.1,272.8,272.1,199.5,72.6,20449.7,14985.4,5464.3,20842.4,15273.1,5569.2
Ancon,28,17,245.8,393.6,1996.5,1995.0,2001.9,2001.9,140.7,718.8,2244.6,2502.6,53.0,226.5,491.1,490.4,82.5,212.8,131.6,127.6,56.6,32.5,24.1,4264.9,2452.2,1812.7,4346.8,2499.3,1847.5
Panama Canal,14,6,76.0,121.1,2010.4,2008.3,2003.0,2002.4,1041.6,1526.6,1516.9,1691.3,477.0,979.0,746.8,732.2,96.5,277.1,121.0,115.0,49.6,36.1,13.5,3754.8,2725.7,1029.1,3826.9,2778.0,1048.9
